rank_overall,rank_profit_potential,rank_risk_control,rank_upside,experiment_id,display_name,evidence_tier,run_status,p_90d_target_300_before_stop,p_90d_target_400_before_stop,p_90d_target_600_before_stop,p_90d_target_900_before_stop,p_90d_target_1200_before_stop,p_90d_any_stop_hit,median_90d_stop_enforced_final_equity,p95_90d_stop_enforced_final_equity,worst_90d_max_drawdown,expected_profit_90d,stress_degradation,profit_score,risk_penalty,final_score,profit_verdict,ranking_notes,accounting_integrity_status,profit_results_usable,ranking_blocked_reason,canonical_rule_hash,duplicate_of,candidate_exhaustive_queue_rank,deserves_candidate_exhaustive,queue_reason
1,7,5,18,combo_SPY200d_GLD_50_50_v1,Combo SPY200d GLD 50/50,tier2_credible_prototype,completed,0.225,0.15,0.0,0.0,0.0,0.0,3077.5727172300453,3389.6980511680545,-419.15464214180656,103.34541033512141,22.032430724469577,74.34264739057853,1.7625944579575663,72.58005293262097,leading_profit_candidate,"diagnostic score rewards target ladder and stop-enforced equity; penalizes stops, drawdown, stress degradation, and evidence tier",passed,True,,,,1.0,True,research_sample accounting-valid row improves diagnostic score versus SPY_200d
2,8,3,11,asset_class_tsmom_top2_v1,Asset Class TSMOM Top 2,tier2_credible_prototype,completed,0.2,0.125,0.0,0.0,0.0,0.0,3097.461589347202,3281.0029059755825,-539.082920535167,65.49611888358868,6.014355715166403,63.05269516636307,0.48114845721331223,62.57154670914976,watchlist,"diagnostic score rewards target ladder and stop-enforced equity; penalizes stops, drawdown, stress degradation, and evidence tier",passed,True,,d03c7e83b354051ab0ccde6b79b46577eb8f5a2592a21bff790cf944a2fb458a,,2.0,True,research_sample accounting-valid row improves diagnostic score versus SPY_200d
3,10,4,9,asset_class_tsmom_equal_weight_v1,Asset Class TSMOM Equal Weight,tier2_credible_prototype,completed,0.175,0.125,0.0,0.0,0.0,0.0,3089.105650308349,3265.464351465729,-539.082920535167,61.09873143758432,6.924255805282883,58.79787502025764,0.5539404644226307,58.24393455583501,watchlist,"diagnostic score rewards target ladder and stop-enforced equity; penalizes stops, drawdown, stress degradation, and evidence tier",passed,True,,53e5237d0853d047a69f1dee02befbba0092e80aff46cadff10fef41b12b23ef,,3.0,True,research_sample accounting-valid row improves diagnostic score versus SPY_200d
4,11,1,4,IEF_buy_hold,IEF Buy And Hold,benchmark,completed,0.175,0.125,0.0,0.0,0.0,0.0,3006.2410168279494,3280.191579315572,-316.1995631787454,41.399086203781735,0.0,53.824096768413305,0.0,53.824096768413305,watchlist,"diagnostic score rewards target ladder and stop-enforced equity; penalizes stops, drawdown, stress degradation, and evidence tier",passed,True,,,,,False,
5,12,6,3,SPY_200d_trend_model,SPY 200-Day Trend Model,tier3_candidate_validation,completed,0.2,0.05,0.0,0.0,0.0,0.0,3076.4821905341773,3350.585757266993,-567.4545568109511,82.13304046254143,63.17683548326568,53.0763529366066,5.0541468386612545,48.02220609794534,watchlist,"diagnostic score rewards target ladder and stop-enforced equity; penalizes stops, drawdown, stress degradation, and evidence tier",passed,True,,,,,False,
6,1,15,1,GLD_buy_hold,GLD Buy And Hold,benchmark,completed,0.475,0.325,0.15,0.15,0.0,0.2,3074.219478192749,3716.464996043193,-842.6148956076154,109.80561182406154,0.0,190.4059368880145,154.91521346266538,35.49072342534913,high_upside_high_risk,"diagnostic score rewards target ladder and stop-enforced equity; penalizes stops, drawdown, stress degradation, and evidence tier",passed,True,,,,,False,
7,2,10,10,asset_class_tsmom_top1_v1,Asset Class TSMOM Top 1,tier2_credible_prototype,completed,0.475,0.275,0.0,0.0,0.0,0.175,3044.423325128223,3278.593172514395,-678.3449214264192,27.54394628596947,4.694672629672368,115.63544479684826,89.04629630962052,26.589148487227746,too_risky,"diagnostic score rewards target ladder and stop-enforced equity; penalizes stops, drawdown, stress degradation, and evidence tier",passed,True,,235c97bf8a90cbc0064fa0406435a98d4cbad891d2f425030572d4d77e2118f0,,,False,
8,3,12,15,SPY_GLD_IEF_dual_momentum_v1,SPY GLD IEF Dual Momentum,tier2_credible_prototype,completed,0.475,0.275,0.0,0.0,0.0,0.175,3044.423325128223,3278.593172514395,-678.3449214264192,27.54394628596947,4.694672629672368,115.63544479684826,89.04629630962052,26.589148487227746,too_risky,"diagnostic score rewards target ladder and stop-enforced equity; penalizes stops, drawdown, stress degradation, and evidence tier",passed,True,,,,,False,
9,4,13,17,GLD_SPY_rotation_v1,GLD SPY Rotation,tier2_credible_prototype,completed,0.5,0.175,0.0,0.0,0.0,0.175,3062.8200731683155,3242.243498413356,-678.3449214264192,16.581522656548714,4.694672629672368,101.95639000632963,89.04629630962052,12.910093696709112,too_risky,"diagnostic score rewards target ladder and stop-enforced equity; penalizes stops, drawdown, stress degradation, and evidence tier",passed,True,,,,,False,
10,14,8,19,combo_SPY200d_GLD_BIL_60_30_10_v1,Combo SPY200d GLD BIL 60/30/10,tier2_credible_prototype,completed,0.1,0.0,0.0,0.0,0.0,0.0,3084.00360421757,3300.264790550519,-316.8115536642172,88.83845249781734,277.743350800657,31.715961450009473,22.219468064052563,9.49649338595691,watchlist,"diagnostic score rewards target ladder and stop-enforced equity; penalizes stops, drawdown, stress degradation, and evidence tier",passed,True,,,,,False,
