experiment_id,horizon,standard_or_stress,rolling_method,number_of_windows,possible_window_count,p_target_300_before_stop,p_target_400_before_stop,p_target_600_before_stop,p_target_900_before_stop,p_target_1200_before_stop,p_any_project_stop_hit,median_stop_enforced_final_equity,mean_stop_enforced_final_equity,p25_stop_enforced_final_equity,p75_stop_enforced_final_equity,p90_stop_enforced_final_equity,p95_stop_enforced_final_equity,max_stop_enforced_final_equity,median_max_drawdown,worst_max_drawdown,expected_profit_dollars,expected_profit_pct,evidence_finality,notes,window_start_equity_min,window_start_equity_max,window_start_equity_violation_count,high_water_start_violation_count,target_state_start_violation_count,stop_state_start_violation_count,reference_check_available,reference_median_abs_error,reference_max_abs_error,reference_error_status,accounting_integrity_status
SPY_200d_trend_model,30,standard,deterministic_stratified_sample,40,4853,0.05,0.0,0.0,0.0,0.0,0.0,3044.774149474557,3059.7841582145747,3000.1509889038757,3142.096066509871,3227.9616849267472,3261.0604229541723,3279.3098049248333,-57.7966243081446,-240.21595684392787,59.784158214574745,0.019928052738191537,sampled_non_final,computed from cached adjusted SPY/BIL prices,3000.0,3000.0,0,0,0,0,False,,,not_applicable,passed
SPY_200d_trend_model,60,standard,deterministic_stratified_sample,40,4823,0.025,0.0,0.0,0.0,0.0,0.0,3018.824237867631,3065.3703508783187,3002.1926338617295,3196.601708641938,3261.192567415458,3279.4535451518254,3337.060585269918,-81.55053236948493,-509.64697785651697,65.37035087831873,0.021790116959439665,sampled_non_final,computed from cached adjusted SPY/BIL prices,3000.0,3000.0,0,0,0,0,False,,,not_applicable,passed
SPY_200d_trend_model,90,standard,deterministic_stratified_sample,40,4793,0.2,0.05,0.0,0.0,0.0,0.0,3076.4821905341773,3082.1330404625414,3004.6946089972016,3209.9558583929747,3244.7365698442054,3350.585757266993,3437.554098248198,-184.07977346062512,-567.4545568109511,82.13304046254143,0.027377680154180517,sampled_non_final,computed from cached adjusted SPY/BIL prices,3000.0,3000.0,0,0,0,0,False,,,not_applicable,passed
SPY_200d_trend_model,180,standard,deterministic_stratified_sample,40,4703,0.575,0.2,0.075,0.0,0.0,0.025,3208.3865749428214,3180.481678132791,3021.481055722828,3335.15221836194,3467.7203982675096,3539.451693705977,3614.695003951657,-214.97215681194916,-727.9989847119946,180.48167813279088,0.0601605593775969,sampled_non_final,computed from cached adjusted SPY/BIL prices,3000.0,3000.0,0,0,0,0,False,,,not_applicable,passed
SPY_200d_trend_model,30,stress,deterministic_stratified_sample,40,4853,0.05,0.0,0.0,0.0,0.0,0.0,3044.774149474557,3058.8606236695823,3000.1509889038757,3142.096066509871,3227.9616849267472,3260.897463874237,3279.3098049248333,-57.7966243081446,-245.98891628414094,58.86062366958231,0.019620207889860852,sampled_non_final,computed from cached adjusted SPY/BIL prices,3000.0,3000.0,0,0,0,0,False,,,not_applicable,passed
SPY_200d_trend_model,60,stress,deterministic_stratified_sample,40,4823,0.025,0.0,0.0,0.0,0.0,0.0,3018.824237867631,3062.0699627444246,3001.8569103948125,3195.0040118904867,3258.274230232819,3279.2930648752836,3337.060585269918,-81.51027801010832,-523.0008029363203,62.06996274442463,0.020689987581474778,sampled_non_final,computed from cached adjusted SPY/BIL prices,3000.0,3000.0,0,0,0,0,False,,,not_applicable,passed
SPY_200d_trend_model,90,stress,deterministic_stratified_sample,40,4793,0.2,0.05,0.0,0.0,0.0,0.0,3073.4012647022746,3077.3623641808567,3004.6946089972016,3207.0388059265524,3244.7365698442054,3350.417130244455,3434.1945137467324,-185.4858761338446,-585.953089982369,77.36236418085673,0.02578745472695232,sampled_non_final,computed from cached adjusted SPY/BIL prices,3000.0,3000.0,0,0,0,0,False,,,not_applicable,passed
SPY_200d_trend_model,180,stress,deterministic_stratified_sample,40,4703,0.575,0.2,0.075,0.0,0.0,0.025,3206.8229425683203,3173.3620443689233,3021.481055722828,3331.747029214201,3467.7203982675096,3539.273955302184,3611.1622964027088,-215.373132987615,-757.2403807560049,173.3620443689233,0.05778734812297448,sampled_non_final,computed from cached adjusted SPY/BIL prices,3000.0,3000.0,0,0,0,0,False,,,not_applicable,passed
SPY_buy_hold,30,standard,deterministic_stratified_sample,40,4853,0.05,0.025,0.0,0.0,0.0,0.15,3068.2198947176485,2986.527966879529,2919.427297026793,3142.096066509871,3227.9616849267472,3261.2896665562744,3361.4729099888345,-86.260171610837,-804.4696449158359,-13.472033120471224,-0.004490677706823765,sampled_non_final,computed from cached adjusted SPY prices,3000.0,3000.0,0,0,0,0,True,4.547473508864641e-13,2.7284841053187847e-12,passed,passed
SPY_buy_hold,60,standard,deterministic_stratified_sample,40,4823,0.15,0.025,0.0,0.0,0.0,0.175,3046.3891291961218,2998.7011697216976,2837.0237269025056,3247.246556994557,3320.1620848792368,3337.578663975547,3403.446898702606,-226.01054171872943,-1076.7253981252495,-1.2988302783023755,-0.00043294342610078473,sampled_non_final,computed from cached adjusted SPY prices,3000.0,3000.0,0,0,0,0,True,4.547473508864641e-13,4.547473508864641e-12,passed,passed
