experiment_id,display_name,standard_or_stress,run_status,stop_enforced_final_equity,max_drawdown_dollars,max_drawdown_pct,any_project_stop_hit,first_project_stop_date,target_300_before_stop,target_400_before_stop,target_600_before_stop,run_validation_scope,selected_horizons,omitted_horizons,selected_horizons_completed,full_horizon_validation_completed,candidate_exhaustive_completed,reduced_validation,reduced_validation_reason,risk_framework_verdict,profit_verdict,accounting_integrity_status,profit_results_usable,integrity_error_count,integrity_notes,notes
SPY_200d_trend_model,SPY 200-Day Trend Model,standard,completed,2998.7910372983606,-1966.9698800688138,0.1366123621131777,True,2010-06-21,True,True,False,all_horizons,"30,60,90,180",,False,False,False,False,,watchlist,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","computed from cached adjusted SPY/BIL prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
SPY_200d_trend_model,SPY 200-Day Trend Model,stress,completed,2943.0129483646133,-1983.799242921581,0.15313289913722997,True,2010-06-07,True,True,False,all_horizons,"30,60,90,180",,False,False,False,False,,watchlist,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","computed from cached adjusted SPY/BIL prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
GLD_buy_hold,GLD Buy And Hold,standard,completed,4131.3629210438485,-4586.33675937419,0.19209514099718192,True,2008-04-29,True,True,True,all_horizons,"30,60,90,180",,False,False,False,False,,watchlist,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","computed from cached adjusted GLD prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
GLD_buy_hold,GLD Buy And Hold,stress,completed,4129.296206225915,-4584.042443836737,0.19209514099718186,True,2008-04-29,True,True,True,all_horizons,"30,60,90,180",,False,False,False,False,,watchlist,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","computed from cached adjusted GLD prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
BIL_cash_proxy,BIL Cash Proxy,standard,completed,3870.861683204045,-24.504552555487408,0.006314004839416981,False,,True,True,True,all_horizons,"30,60,90,180",,False,False,False,False,,watchlist,watchlist,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","computed from cached adjusted BIL prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
BIL_cash_proxy,BIL Cash Proxy,stress,completed,3868.9252841629063,-24.49229415000036,0.006314004839415316,False,,True,True,True,all_horizons,"30,60,90,180",,False,False,False,False,,watchlist,watchlist,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","computed from cached adjusted BIL prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
asset_class_tsmom_top2_v1,Asset Class TSMOM Top 2,standard,completed,3014.7451086717447,-2135.342750112848,0.12886265921346318,True,2008-08-14,True,True,True,all_horizons,"30,60,90,180",,False,False,False,False,,diagnostic_only,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","predeclared asset-class TSMOM top-2 SPY/GLD/IEF with BIL fallback; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
asset_class_tsmom_top2_v1,Asset Class TSMOM Top 2,stress,completed,3008.7307512431325,-2054.644928310576,0.12886265921346352,True,2008-08-14,True,True,True,all_horizons,"30,60,90,180",,False,False,False,False,,diagnostic_only,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","predeclared asset-class TSMOM top-2 SPY/GLD/IEF with BIL fallback; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
global_multi_asset_tsmom_top2_v1,Global Multi-Asset TSMOM Top 2,standard,completed,3941.067013079601,-3284.358332299901,0.2001807049095743,True,2008-09-04,True,True,True,all_horizons,"30,60,90,180",,False,False,False,False,,watchlist,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","predeclared global multi-asset ETF/fund wrapper top-2 126-day return rule with BIL fallback; yfinance-compatible exploratory public data; research_sample only; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
global_multi_asset_tsmom_top2_v1,Global Multi-Asset TSMOM Top 2,stress,completed,3917.5257960985,-3153.299556330101,0.20840467387514852,True,2008-09-04,True,True,True,all_horizons,"30,60,90,180",,False,False,False,False,,watchlist,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","predeclared global multi-asset ETF/fund wrapper top-2 126-day return rule with BIL fallback; yfinance-compatible exploratory public data; research_sample only; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
