rank_overall,rank_profit_potential,rank_risk_control,rank_upside,experiment_id,display_name,evidence_tier,run_status,p_90d_target_300_before_stop,p_90d_target_400_before_stop,p_90d_target_600_before_stop,p_90d_target_900_before_stop,p_90d_target_1200_before_stop,p_90d_any_stop_hit,median_90d_stop_enforced_final_equity,p95_90d_stop_enforced_final_equity,worst_90d_max_drawdown,expected_profit_90d,stress_degradation,run_validation_scope,selected_horizons,omitted_horizons,selected_horizons_completed,full_horizon_validation_completed,reduced_validation,reduced_validation_reason,profit_score,risk_penalty,final_score,profit_verdict,ranking_notes,accounting_integrity_status,profit_results_usable,ranking_blocked_reason,canonical_rule_hash,duplicate_of,candidate_exhaustive_queue_rank,deserves_candidate_exhaustive,queue_reason
1,1,7,1,GLD_buy_hold,GLD Buy And Hold,benchmark,completed,0.52,0.36,0.2,0.16,0.0,0.16,3100.583018172384,3682.0048386439057,-678.3449214264192,134.9987966800145,0.0,reduced_horizon_validation,90,"30,60,180",False,False,True,runtime_control_2_to_3_hours,214.1651385364997,83.42072249924672,130.744416037253,high_upside_high_risk,"diagnostic score rewards target ladder and stop-enforced equity; penalizes stops, drawdown, stress degradation, and evidence tier",passed,True,,,,,False,
2,3,5,11,combo_SPY200d_GLD_50_50_v1,Combo SPY200d GLD 50/50,tier2_credible_prototype,completed,0.32,0.16,0.0,0.0,0.0,0.0,3117.985000532106,3373.025868760759,-447.352767897205,138.80003209771667,22.032430724469577,reduced_horizon_validation,90,"30,60,180",False,False,True,runtime_control_2_to_3_hours,90.1641357452882,1.7625944579575663,88.40154128733064,leading_profit_candidate,"diagnostic score rewards target ladder and stop-enforced equity; penalizes stops, drawdown, stress degradation, and evidence tier",passed,True,,,,1.0,True,reduced 90/180 validation leader/watchlist requires full 30/60/90/180 candidate_exhaustive before any promotion review
3,5,3,9,asset_class_tsmom_top2_v1,Asset Class TSMOM Top 2,tier2_credible_prototype,completed,0.24,0.16,0.0,0.0,0.0,0.0,3102.7665947385426,3256.843171957205,-577.7173859922927,70.43231378169958,6.014355715166403,reduced_horizon_validation,90,"30,60,180",False,False,True,runtime_control_2_to_3_hours,72.95269197605174,0.48114845721331223,72.47154351883843,watchlist,"diagnostic score rewards target ladder and stop-enforced equity; penalizes stops, drawdown, stress degradation, and evidence tier",passed,True,,d03c7e83b354051ab0ccde6b79b46577eb8f5a2592a21bff790cf944a2fb458a,,2.0,True,reduced 90/180 validation leader/watchlist requires full 30/60/90/180 candidate_exhaustive before any promotion review
4,7,4,7,asset_class_tsmom_equal_weight_v1,Asset Class TSMOM Equal Weight,tier2_credible_prototype,completed,0.2,0.16,0.0,0.0,0.0,0.0,3083.3822776534407,3243.756739815941,-406.34735606736876,78.63052044195774,6.924255805282883,reduced_horizon_validation,90,"30,60,180",False,False,True,runtime_control_2_to_3_hours,66.7121218651028,0.5539404644226307,66.15818140068018,watchlist,"diagnostic score rewards target ladder and stop-enforced equity; penalizes stops, drawdown, stress degradation, and evidence tier",passed,True,,53e5237d0853d047a69f1dee02befbba0092e80aff46cadff10fef41b12b23ef,,3.0,True,reduced 90/180 validation leader/watchlist requires full 30/60/90/180 candidate_exhaustive before any promotion review
5,6,6,2,SPY_200d_trend_model,SPY 200-Day Trend Model,tier3_candidate_validation,completed,0.32,0.04,0.0,0.0,0.0,0.0,3130.121930299573,3298.9638492831614,-587.0888830833665,127.12072504464777,63.17683548326568,reduced_horizon_validation,90,"30,60,180",False,False,True,runtime_control_2_to_3_hours,68.37949154064026,5.0541468386612545,63.325344701979006,watchlist,"diagnostic score rewards target ladder and stop-enforced equity; penalizes stops, drawdown, stress degradation, and evidence tier",passed,True,,,,,False,
6,8,1,4,IEF_buy_hold,IEF Buy And Hold,benchmark,completed,0.2,0.16,0.0,0.0,0.0,0.0,3002.9873062168986,3269.520662001508,-269.6958486525541,39.4540474345481,0.0,reduced_horizon_validation,90,"30,60,180",False,False,True,runtime_control_2_to_3_hours,61.74368627611067,0.0,61.74368627611067,watchlist,"diagnostic score rewards target ladder and stop-enforced equity; penalizes stops, drawdown, stress degradation, and evidence tier",passed,True,,,,,False,
7,9,2,5,BIL_cash_proxy,BIL Cash Proxy,benchmark,completed,0.0,0.0,0.0,0.0,0.0,0.0,3011.6338405650554,3044.176370898537,-13.8881521987023,15.576786668154455,1.936397592126923,reduced_horizon_validation,90,"30,60,180",False,False,True,runtime_control_2_to_3_hours,2.932388869889428,0.15491180737015384,2.7774770625192744,benchmark_only,"diagnostic score rewards target ladder and stop-enforced equity; penalizes stops, drawdown, stress degradation, and evidence tier",passed,True,,,,,False,
8,2,8,8,asset_class_tsmom_top1_v1,Asset Class TSMOM Top 1,tier2_credible_prototype,completed,0.56,0.28,0.0,0.0,0.0,0.2,3027.2571275606947,3278.401151391445,-1100.9508810881625,33.707972526448884,4.694672629672368,reduced_horizon_validation,90,"30,60,180",False,False,True,runtime_control_2_to_3_hours,125.78271288509296,245.70838219123067,-119.9256693061377,too_risky,"diagnostic score rewards target ladder and stop-enforced equity; penalizes stops, drawdown, stress degradation, and evidence tier",passed,True,,235c97bf8a90cbc0064fa0406435a98d4cbad891d2f425030572d4d77e2118f0,,,False,
9,4,9,3,SPY_buy_hold,SPY Buy And Hold,benchmark,completed,0.4,0.04,0.0,0.0,0.0,0.24,3214.083359893709,3344.1375935053884,-1112.6484015736578,58.52862235138309,0.0,reduced_horizon_validation,90,"30,60,180",False,False,True,runtime_control_2_to_3_hours,82.76636400437957,263.4269405507802,-180.66057654640065,too_risky,"diagnostic score rewards target ladder and stop-enforced equity; penalizes stops, drawdown, stress degradation, and evidence tier",passed,True,,,,,False,
10,10,10,6,A_ETF_sector_momentum,A ETF Sector Momentum,tier2_credible_prototype,incomplete_evidence,,,,,,,,,,,,reduced_horizon_validation,90,"30,60,180",False,False,True,runtime_control_2_to_3_hours,0.0,1000.0,-1000.0,incomplete_evidence,not runnable or excluded; no performance metrics used,not_applicable,False,incomplete_evidence,,,,False,
