experiment_id,benchmark_id,correlation_status,daily_equity_return_correlation,target_window_incremental_status,drawdown_coincidence_status,diversification_claim
global_multi_asset_tsmom_top2_v1,combo_SPY200d_GLD_50_50_v1,available,0.5051829768508276,not_separately_exported_for_this_fast_batch,available_via_equity_return_correlation_only,possible_only_not_proven
global_multi_asset_tsmom_top2_v1,asset_class_tsmom_top2_v1,available,0.6673494473351308,not_separately_exported_for_this_fast_batch,available_via_equity_return_correlation_only,possible_only_not_proven
global_multi_asset_tsmom_top2_v1,SPY_200d_trend_model,available,0.4812302871146675,not_separately_exported_for_this_fast_batch,available_via_equity_return_correlation_only,possible_only_not_proven
global_multi_asset_tsmom_top2_v1,GLD_buy_hold,available,0.3109397849668074,not_separately_exported_for_this_fast_batch,available_via_equity_return_correlation_only,possible_only_not_proven
global_multi_asset_tsmom_top2_v1,BIL_cash_proxy,available,-0.005779297214129172,not_separately_exported_for_this_fast_batch,available_via_equity_return_correlation_only,possible_only_not_proven
global_multi_asset_tsmom_top2_v1,commodity_basket_tsmom_top2_v1,unavailable,,not_separately_exported_for_this_fast_batch,unavailable,possible_only_not_proven
global_multi_asset_tsmom_top2_v1,combo_plus_commodity_basket_80_20_v1,unavailable,,not_separately_exported_for_this_fast_batch,unavailable,possible_only_not_proven
global_multi_asset_tsmom_top2_v1,combo_plus_crypto_spot_tsmom_90_10_v1,unavailable,,not_separately_exported_for_this_fast_batch,unavailable,possible_only_not_proven
global_multi_asset_tsmom_top2_defensive_50_v1,combo_SPY200d_GLD_50_50_v1,available,0.5047382530642452,not_separately_exported_for_this_fast_batch,available_via_equity_return_correlation_only,possible_only_not_proven
global_multi_asset_tsmom_top2_defensive_50_v1,asset_class_tsmom_top2_v1,available,0.6626018304779511,not_separately_exported_for_this_fast_batch,available_via_equity_return_correlation_only,possible_only_not_proven
global_multi_asset_tsmom_top2_defensive_50_v1,SPY_200d_trend_model,available,0.48340412003878086,not_separately_exported_for_this_fast_batch,available_via_equity_return_correlation_only,possible_only_not_proven
global_multi_asset_tsmom_top2_defensive_50_v1,GLD_buy_hold,available,0.30900560047594794,not_separately_exported_for_this_fast_batch,available_via_equity_return_correlation_only,possible_only_not_proven
global_multi_asset_tsmom_top2_defensive_50_v1,BIL_cash_proxy,available,0.13446161775953128,not_separately_exported_for_this_fast_batch,available_via_equity_return_correlation_only,possible_only_not_proven
global_multi_asset_tsmom_top2_defensive_50_v1,commodity_basket_tsmom_top2_v1,unavailable,,not_separately_exported_for_this_fast_batch,unavailable,possible_only_not_proven
global_multi_asset_tsmom_top2_defensive_50_v1,combo_plus_commodity_basket_80_20_v1,unavailable,,not_separately_exported_for_this_fast_batch,unavailable,possible_only_not_proven
global_multi_asset_tsmom_top2_defensive_50_v1,combo_plus_crypto_spot_tsmom_90_10_v1,unavailable,,not_separately_exported_for_this_fast_batch,unavailable,possible_only_not_proven
combo_plus_global_multi_asset_80_20_v1,combo_SPY200d_GLD_50_50_v1,available,0.9603115399379973,not_separately_exported_for_this_fast_batch,available_via_equity_return_correlation_only,possible_only_not_proven
combo_plus_global_multi_asset_80_20_v1,asset_class_tsmom_top2_v1,available,0.7885169546122189,not_separately_exported_for_this_fast_batch,available_via_equity_return_correlation_only,possible_only_not_proven
combo_plus_global_multi_asset_80_20_v1,SPY_200d_trend_model,available,0.6177895238082493,not_separately_exported_for_this_fast_batch,available_via_equity_return_correlation_only,possible_only_not_proven
combo_plus_global_multi_asset_80_20_v1,GLD_buy_hold,available,0.7809246792438685,not_separately_exported_for_this_fast_batch,available_via_equity_return_correlation_only,possible_only_not_proven
combo_plus_global_multi_asset_80_20_v1,BIL_cash_proxy,available,0.021639039772016467,not_separately_exported_for_this_fast_batch,available_via_equity_return_correlation_only,possible_only_not_proven
combo_plus_global_multi_asset_80_20_v1,commodity_basket_tsmom_top2_v1,unavailable,,not_separately_exported_for_this_fast_batch,unavailable,possible_only_not_proven
combo_plus_global_multi_asset_80_20_v1,combo_plus_commodity_basket_80_20_v1,unavailable,,not_separately_exported_for_this_fast_batch,unavailable,possible_only_not_proven
combo_plus_global_multi_asset_80_20_v1,combo_plus_crypto_spot_tsmom_90_10_v1,unavailable,,not_separately_exported_for_this_fast_batch,unavailable,possible_only_not_proven
