run_id,experiment_id,display_name,experiment_type,family_group,strategy_family,evidence_tier,run_status,starting_equity,independent_account,shared_capital,standard_or_stress,final_validation_completed,sampled_results_are_final,unconditional_final_equity,stop_enforced_final_equity,total_return_unconditional,total_return_stop_enforced,max_equity,min_equity,max_drawdown_dollars,max_drawdown_pct,any_project_stop_hit,first_project_stop_date,target_300_before_stop,target_400_before_stop,target_600_before_stop,target_900_before_stop,target_1200_before_stop,days_to_target_300,days_to_target_400,days_to_target_600,days_to_target_900,days_to_target_1200,stress_degradation,run_validation_scope,selected_horizons,omitted_horizons,selected_horizons_completed,full_horizon_validation_completed,candidate_exhaustive_completed,reduced_validation,reduced_validation_reason,evidence_finality,risk_framework_verdict,profit_verdict,promotion_blockers,notes,accounting_integrity_status,rolling_rebase_check_passed,buy_hold_reference_check_passed,combination_return_check_passed,profit_results_usable,integrity_error_count,integrity_notes,canonical_rule_hash,duplicate_of,duplicate_status,qqq_selection_frequency,spy_selection_frequency,gld_selection_frequency,ief_selection_frequency,bil_allocation_frequency,max_single_asset_allocation,qqq_allocation_share,equity_asset_allocation_share,defensive_asset_allocation_share,concentration_warning,equity_beta_duplicate_warning,mtum_selection_frequency,vtv_selection_frequency,qual_selection_frequency,usmv_selection_frequency,mtum_allocation_share,vtv_allocation_share,qual_allocation_share,usmv_allocation_share,spy_allocation_share,bil_allocation_share,max_single_etf_allocation,equity_factor_allocation_share,cash_treasury_allocation_share,xlb_selection_frequency,xle_selection_frequency,xlf_selection_frequency,xli_selection_frequency,xlk_selection_frequency,xlp_selection_frequency,xlu_selection_frequency,xlv_selection_frequency,xly_selection_frequency,xlb_allocation_share,xle_allocation_share,xlf_allocation_share,xli_allocation_share,xlk_allocation_share,xlp_allocation_share,xlu_allocation_share,xlv_allocation_share,xly_allocation_share,equity_sector_allocation_share,max_single_sector_allocation,top_sector_dominance,sector_turnover,required_label,wrapper_proxy_warning,short_history_warning,dbmf_selection_frequency,kmlm_selection_frequency,dbmf_allocation_share,kmlm_allocation_share,max_single_proxy_allocation,proxy_concentration_warning,too_slow_warning,wrapper_proxy_only_warning,direct_futures_claim_disallowed,correlation_to_combo_if_available,correlation_to_top2_if_available,correlation_to_spy200d_if_available,drawdown_coincidence_warning_if_available,fixed_combination_batch_warning,component_combo_allocation_share,component_top2_allocation_share,component_managed_futures_allocation_share,max_single_sleeve_allocation,duplicate_correlation_warning,correlation_diagnostics_status,drawdown_coincidence_diagnostics_status,commodity_required_label,commodity_wrapper_warning,exploratory_public_data_warning,not_paper_forward_warning,commodity_risk_control_batch_warning,commodity_risk_control_rule_type,component_commodity_allocation_share,component_bil_allocation_share,dbc_selection_frequency,pdbc_selection_frequency,comt_selection_frequency,gsg_selection_frequency,usci_selection_frequency,dbc_allocation_share,pdbc_allocation_share,comt_allocation_share,gsg_allocation_share,usci_allocation_share,commodity_wrapper_allocation_share,bil_fallback_frequency,bil_fallback_allocation_share,max_single_commodity_wrapper_allocation,product_concentration_warning,crypto_required_label,crypto_spot_warning,crypto_tier2_warning,public_or_cached_crypto_data_warning,crypto_not_paper_forward_warning,crypto_no_exchange_execution_warning,crypto_24_7_calendar_warning,uses_perpetuals,uses_options,btc_selection_frequency,eth_selection_frequency,btc_allocation_share,eth_allocation_share,crypto_spot_allocation_share,bil_cash_allocation_share,max_crypto_exposure,max_single_crypto_allocation,component_crypto_allocation_share
20260608_053732,SPY_200d_trend_model,SPY 200-Day Trend Model,exact_family,broad_etf_trend,absolute_trend,tier3_candidate_validation,completed,3000.0,True,False,standard,False,False,14398.18366100178,2998.7910372983606,3.79939455366726,-0.0004029875672131311,14398.18366100178,2562.098542934538,-1966.9698800688138,0.1366123621131777,True,2010-06-21,True,True,False,False,False,979,1033,1805,1884.0,1983.0,55.77808893374731,all_horizons,"30,60,90,180",,False,False,False,False,,sampled_non_final,watchlist,too_risky,research_only;no_real_money_recommendation,"computed from cached adjusted SPY/BIL prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable",passed,True,True,True,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable",,,canonical_unique,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,False,False,False,False,,,,False,False,,,,,False,not_applicable,not_applicable,,False,False,False,False,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,False,False,,,,,,,,,
20260608_053732,SPY_200d_trend_model,SPY 200-Day Trend Model,exact_family,broad_etf_trend,absolute_trend,tier3_candidate_validation,completed,3000.0,True,False,stress,False,False,12954.755340612995,2943.0129483646133,3.3182517802043314,-0.01899568387846229,12954.755340612995,2522.6752336935065,-1983.799242921581,0.15313289913722997,True,2010-06-07,True,True,False,False,False,987,1038,1829,1945.0,2051.0,55.77808893374731,all_horizons,"30,60,90,180",,False,False,False,False,,sampled_non_final,watchlist,too_risky,research_only;no_real_money_recommendation,"computed from cached adjusted SPY/BIL prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable",passed,True,True,True,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable",,,canonical_unique,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,False,False,False,False,,,,False,False,,,,,False,not_applicable,not_applicable,,False,False,False,False,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,False,False,,,,,,,,,
20260608_053732,GLD_buy_hold,GLD Buy And Hold,benchmark_family,gold_commodity_etf,buy_and_hold,benchmark,completed,3000.0,True,False,standard,False,False,20082.439464893792,4131.3629210438485,5.694146488297931,0.37712097368128283,23875.339769481583,2896.91302257311,-4586.33675937419,0.19209514099718192,True,2008-04-29,True,True,True,True,True,302,405,425,441.0,485.0,2.0667148179336436,all_horizons,"30,60,90,180",,False,False,False,False,,sampled_non_final,watchlist,too_risky,research_only;no_real_money_recommendation,"computed from cached adjusted GLD prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable",passed,True,True,True,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable",,,canonical_unique,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,False,False,False,False,,,,False,False,,,,,False,not_applicable,not_applicable,,False,False,False,False,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,False,False,,,,,,,,,
20260608_053732,GLD_buy_hold,GLD Buy And Hold,benchmark_family,gold_commodity_etf,buy_and_hold,benchmark,completed,3000.0,True,False,stress,False,False,20072.393222039937,4129.296206225915,5.690797740679979,0.37643206874197155,23863.396127776014,2895.4638414712726,-4584.042443836737,0.19209514099718186,True,2008-04-29,True,True,True,True,True,302,405,425,441.0,485.0,2.0667148179336436,all_horizons,"30,60,90,180",,False,False,False,False,,sampled_non_final,watchlist,too_risky,research_only;no_real_money_recommendation,"computed from cached adjusted GLD prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable",passed,True,True,True,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable",,,canonical_unique,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,False,False,False,False,,,,False,False,,,,,False,not_applicable,not_applicable,,False,False,False,False,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,False,False,,,,,,,,,
20260608_053732,BIL_cash_proxy,BIL Cash Proxy,benchmark_family,cash_treasury_proxy,cash_proxy,benchmark,completed,3000.0,True,False,standard,False,False,3870.861683204045,3870.861683204045,0.29028722773468174,0.29028722773468174,3880.9841263520625,2998.5,-24.504552555487408,0.006314004839416981,False,,True,True,True,False,False,4192,4391,4655,,,1.936399041138884,all_horizons,"30,60,90,180",,False,False,False,False,,sampled_non_final,watchlist,watchlist,research_only;no_real_money_recommendation,"computed from cached adjusted BIL prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable",passed,True,True,True,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable",,,canonical_unique,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,False,False,False,False,,,,False,False,,,,,False,not_applicable,not_applicable,,False,False,False,False,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,False,False,,,,,,,,,
20260608_053732,BIL_cash_proxy,BIL Cash Proxy,benchmark_family,cash_treasury_proxy,cash_proxy,benchmark,completed,3000.0,True,False,stress,False,False,3868.9252841629063,3868.9252841629063,0.2896417613876354,0.2896417613876354,3879.042663557473,2997.0,-24.49229415000036,0.006314004839415316,False,,True,True,True,False,False,4203,4392,4655,,,1.936399041138884,all_horizons,"30,60,90,180",,False,False,False,False,,sampled_non_final,watchlist,watchlist,research_only;no_real_money_recommendation,"computed from cached adjusted BIL prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable",passed,True,True,True,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable",,,canonical_unique,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,False,False,False,False,,,,False,False,,,,,False,not_applicable,not_applicable,,False,False,False,False,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,False,False,,,,,,,,,
20260608_053732,asset_class_tsmom_top2_v1,Asset Class TSMOM Top 2,strategy_variant,multi_asset_etf,asset_class_time_series_momentum,tier2_credible_prototype,completed,3000.0,True,False,standard,False,False,15208.240747332084,3014.7451086717447,4.069413582444028,0.004915036223914981,16570.686676390997,2918.725314376858,-2135.342750112848,0.12886265921346318,True,2008-08-14,True,True,True,False,False,483,495,529,959.0,1169.0,6.014357428612129,all_horizons,"30,60,90,180",,False,False,False,False,,sampled_non_final,diagnostic_only,too_risky,research_only;no_real_money_recommendation,"predeclared asset-class TSMOM top-2 SPY/GLD/IEF with BIL fallback; all rolling windows rebased to $3,000; reference/combination checks passed where applicable",passed,True,True,True,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable",d03c7e83b354051ab0ccde6b79b46577eb8f5a2592a21bff790cf944a2fb458a,,canonical_unique,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,False,False,False,False,,,,False,False,,,,,False,not_applicable,not_applicable,,False,False,False,False,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,False,False,,,,,,,,,
20260608_053732,asset_class_tsmom_top2_v1,Asset Class TSMOM Top 2,strategy_variant,multi_asset_etf,asset_class_time_series_momentum,tier2_credible_prototype,completed,3000.0,True,False,stress,False,False,14618.711175588356,3008.7307512431325,3.872903725196119,0.0029102504143774244,15944.455444668547,2909.9938464540724,-2054.644928310576,0.12886265921346352,True,2008-08-14,True,True,True,False,False,483,495,529,962.0,1172.0,6.014357428612129,all_horizons,"30,60,90,180",,False,False,False,False,,sampled_non_final,diagnostic_only,too_risky,research_only;no_real_money_recommendation,"predeclared asset-class TSMOM top-2 SPY/GLD/IEF with BIL fallback; all rolling windows rebased to $3,000; reference/combination checks passed where applicable",passed,True,True,True,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable",d03c7e83b354051ab0ccde6b79b46577eb8f5a2592a21bff790cf944a2fb458a,,canonical_unique,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,False,False,False,False,,,,False,False,,,,,False,not_applicable,not_applicable,,False,False,False,False,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,False,False,,,,,,,,,
20260608_053732,combo_SPY200d_GLD_50_50_v1,Combo SPY200d GLD 50/50,fixed_combination,fixed_combination_etf,fixed_weight_combination,tier2_credible_prototype,completed,3000.0,True,False,standard,False,False,18869.569460033163,4883.475408847377,5.289856486677721,0.6278251362824592,19970.2925659659,2948.261722327093,-2530.8205151189504,0.12672926582117613,True,2011-12-12,True,True,True,True,True,415,437,520,908.0,949.0,1848.9750119601017,all_horizons,"30,60,90,180",,False,False,False,False,,sampled_non_final,diagnostic_only,too_risky,research_only;no_real_money_recommendation,"predeclared fixed monthly combination account using window-local sleeve returns; all rolling windows rebased to $3,000; reference/combination checks passed where applicable",passed,True,True,True,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable",,,canonical_unique,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,False,False,False,False,,,,False,False,,,,,False,not_applicable,not_applicable,,False,False,False,False,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,False,False,,,,,,,,,
20260608_053732,combo_SPY200d_GLD_50_50_v1,Combo SPY200d GLD 50/50,fixed_combination,fixed_combination_etf,fixed_weight_combination,tier2_credible_prototype,completed,3000.0,True,False,stress,False,False,17895.613852466133,3034.5003968872757,4.965204617488711,0.011500132295758636,18958.53027002721,2947.5244725840757,-2410.97694610526,0.1271710893073253,True,2008-11-12,True,True,True,False,False,415,437,522,909.0,952.0,1848.9750119601017,all_horizons,"30,60,90,180",,False,False,False,False,,sampled_non_final,diagnostic_only,too_risky,research_only;no_real_money_recommendation,"predeclared fixed monthly combination account using window-local sleeve returns; all rolling windows rebased to $3,000; reference/combination checks passed where applicable",passed,True,True,True,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable",,,canonical_unique,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,False,False,False,False,,,,False,False,,,,,False,not_applicable,not_applicable,,False,False,False,False,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,False,False,,,,,,,,,
20260608_053732,crypto_spot_tsmom_top1_cash_filter_v1,Crypto Spot TSMOM Top1 Cash Filter v1,crypto_spot_risk_control_exploratory,crypto_spot_tier2,crypto_spot_time_series_momentum,tier2_exploratory,completed,3000.0,True,False,standard,False,False,16100.481290441736,3230.571651640428,4.366827096813912,0.07685721721347605,20291.051523984977,2198.892472140931,-4591.847595454561,0.22629914423246036,True,2019-09-24,True,True,True,False,False,3361,3366,3368,3725.0,3726.0,4.8659304811344555,all_horizons,"30,60,90,180",,False,False,False,False,,sampled_non_final,watchlist,too_risky,research_only;no_real_money_recommendation,"predeclared crypto spot Tier 2 top-1 BTC/ETH trend rule with 50% BIL cash sleeve; research_sample only; all rolling windows rebased to $3,000; reference/combination checks passed where applicable",passed,True,True,True,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable",63f7c076284ff9bc9506c3a37fe7a8cd48f9da858a4e24170a675ec2c78711cf,,canonical_unique,,,,,0.9998043052837573,,,,,False,False,,,,,,,,,,0.8769080234833659,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,False,False,False,True,,,,False,False,0.0,,,,False,not_applicable,not_applicable,,False,False,False,False,,,,,,,,,,,,,,,,,,False,crypto_spot_tier2_exploratory,True,True,True,True,True,True,False,False,0.13561643835616438,0.1101761252446184,0.06780821917808219,0.0550880626223092,0.12289628180039139,0.8769080234833659,0.12289628180039139,0.06780821917808219,1.0
20260608_053732,crypto_spot_tsmom_top1_cash_filter_v1,Crypto Spot TSMOM Top1 Cash Filter v1,crypto_spot_risk_control_exploratory,crypto_spot_tier2,crypto_spot_time_series_momentum,tier2_exploratory,completed,3000.0,True,False,stress,False,False,15932.000604318522,3225.7057211592937,4.310666868106174,0.07523524038643115,20098.675973321824,2193.3679866703774,-4555.9809514297485,0.22668065087855413,True,2019-09-24,True,True,True,False,False,3361,3366,3368,3726.0,3726.0,4.8659304811344555,all_horizons,"30,60,90,180",,False,False,False,False,,sampled_non_final,watchlist,too_risky,research_only;no_real_money_recommendation,"predeclared crypto spot Tier 2 top-1 BTC/ETH trend rule with 50% BIL cash sleeve; research_sample only; all rolling windows rebased to $3,000; reference/combination checks passed where applicable",passed,True,True,True,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable",63f7c076284ff9bc9506c3a37fe7a8cd48f9da858a4e24170a675ec2c78711cf,,canonical_unique,,,,,0.9998043052837573,,,,,False,False,,,,,,,,,,0.8769080234833659,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,False,False,False,True,,,,False,False,0.0,,,,False,not_applicable,not_applicable,,False,False,False,False,,,,,,,,,,,,,,,,,,False,crypto_spot_tier2_exploratory,True,True,True,True,True,True,False,False,0.13561643835616438,0.1101761252446184,0.06780821917808219,0.0550880626223092,0.12289628180039139,0.8769080234833659,0.12289628180039139,0.06780821917808219,1.0
