run_id,lane,strategy,instrument_family,credibility_tier,data_source,start_date,end_date,starting_equity,target_300_equity,target_400_equity,absolute_stop_equity,trailing_drawdown_dollars,project_stop_mode,leverage_model,leverage_multiplier,standard_or_stress,cost_model,spread_slippage_per_side,financing_cost_assumption,unconditional_final_equity,stop_enforced_final_equity,total_return_unconditional,total_return_stop_enforced,max_equity,min_equity,max_drawdown_dollars,max_drawdown_pct,absolute_floor_stop_hit,trailing_drawdown_stop_hit,any_project_stop_hit,first_project_stop_date,first_project_stop_type,equity_at_first_project_stop,target_300_hit,target_300_before_stop,target_300_first_date,target_400_hit,target_400_before_stop,target_400_first_date,days_to_target_300,days_to_target_400,days_to_first_stop,time_in_market,number_of_trades_or_rebalances,turnover_estimate,benchmark_name,benchmark_stop_enforced_final_equity,benchmark_target_300_before_stop,benchmark_target_400_before_stop,result_status,audit_verdict,main_failure_mode,stop_enforced_metric_quality,stop_enforced_metric_source,stop_enforced_metric_notes,notes
20260531_151622,etf_validated_lane,current_no_cash_proxy_alpha_AB,daily_etf,ETF evidence lane; not a real-money recommendation,existing_evidence_latest,from_existing_evidence,from_existing_evidence,3000.0,3300.0,3400.0,2400.0,600.0,both,none,1.0,standard,spread_slippage_per_side,0.0005,0.0,3392.201266116984,3402.011905114574,0.130733755372328,0.13400396837152462,4002.011905114574,3392.2012661169842,-609.8106389975896,-0.1523760182267952,False,True,True,2016-01-04,trailing_drawdown,3402.011905114574,True,True,,True,True,,,,,,190.0,,SPY_200d_trend_model,,False,False,watchlist,watchlist,project stop hit,approximate,evidence/latest/strategy_variant_results.csv summary_drawdown,Variant equity curve is not present in compact evidence; stop-enforced equity is approximated from summary max drawdown.,Loaded from evidence/latest/strategy_variant_results.csv; stop equity is approximated from summary drawdown because variant equity curves are not in compact evidence.
20260531_151622,etf_validated_lane,current_no_cash_proxy_alpha_AB,daily_etf,ETF evidence lane; not a real-money recommendation,existing_evidence_latest,from_existing_evidence,from_existing_evidence,3000.0,3300.0,3400.0,2400.0,600.0,both,none,1.0,stress,spread_slippage_per_side,0.001,0.0,3239.9316755965556,3264.3987370391933,0.07997722519885175,0.08813291234639786,3864.3987370391933,3239.9316755965574,-624.4670614426359,-0.161594882913425,False,True,True,2015-12-03,trailing_drawdown,3264.3987370391933,True,True,,True,True,,,,,,188.0,,SPY_200d_trend_model,,False,False,watchlist,watchlist,project stop hit,approximate,evidence/latest/strategy_variant_results.csv summary_drawdown,Variant equity curve is not present in compact evidence; stop-enforced equity is approximated from summary max drawdown.,Loaded from evidence/latest/strategy_variant_results.csv; stop equity is approximated from summary drawdown because variant equity curves are not in compact evidence.
20260531_151622,etf_validated_lane,current_core_only_AB,daily_etf,ETF evidence lane; not a real-money recommendation,existing_evidence_latest,from_existing_evidence,from_existing_evidence,3000.0,3300.0,3400.0,2400.0,600.0,both,none,1.0,standard,spread_slippage_per_side,0.0005,0.0,3305.9478457759783,3307.224537033232,0.10198261525865937,0.10240817901107735,3907.224537033232,3305.94784577598,-601.276691257252,-0.1538884406458512,False,True,True,2016-05-17,trailing_drawdown,3307.224537033232,True,True,,True,True,,,,,,198.0,,SPY_200d_trend_model,,False,False,watchlist,watchlist,project stop hit,approximate,evidence/latest/strategy_variant_results.csv summary_drawdown,Variant equity curve is not present in compact evidence; stop-enforced equity is approximated from summary max drawdown.,Loaded from evidence/latest/strategy_variant_results.csv; stop equity is approximated from summary drawdown because variant equity curves are not in compact evidence.
20260531_151622,etf_validated_lane,current_core_only_AB,daily_etf,ETF evidence lane; not a real-money recommendation,existing_evidence_latest,from_existing_evidence,from_existing_evidence,3000.0,3300.0,3400.0,2400.0,600.0,both,none,1.0,stress,spread_slippage_per_side,0.001,0.0,3159.6287668532505,3166.8679037572547,0.05320958895108352,0.05562263458575156,3766.8679037572547,3159.6287668532514,-607.2391369040033,-0.1612053176322732,False,True,True,2016-04-25,trailing_drawdown,3166.8679037572547,True,True,,True,True,,,,,,195.0,,SPY_200d_trend_model,,False,False,watchlist,watchlist,project stop hit,approximate,evidence/latest/strategy_variant_results.csv summary_drawdown,Variant equity curve is not present in compact evidence; stop-enforced equity is approximated from summary max drawdown.,Loaded from evidence/latest/strategy_variant_results.csv; stop equity is approximated from summary drawdown because variant equity curves are not in compact evidence.
20260531_151622,etf_validated_lane,current_momentum_only_A,daily_etf,ETF evidence lane; not a real-money recommendation,existing_evidence_latest,from_existing_evidence,from_existing_evidence,3000.0,3300.0,3400.0,2400.0,600.0,both,none,1.0,standard,spread_slippage_per_side,0.0005,0.0,3409.440841137106,3410.2622537586967,0.13648028037903526,0.13675408458623228,4010.2622537586967,3409.440841137107,-600.8214126215898,-0.1498209779319191,False,True,True,2016-05-04,trailing_drawdown,3410.2622537586967,True,True,,True,True,,,,,,191.0,,SPY_200d_trend_model,,False,False,watchlist,watchlist,project stop hit,approximate,evidence/latest/strategy_variant_results.csv summary_drawdown,Variant equity curve is not present in compact evidence; stop-enforced equity is approximated from summary max drawdown.,Loaded from evidence/latest/strategy_variant_results.csv; stop equity is approximated from summary drawdown because variant equity curves are not in compact evidence.
20260531_151622,etf_validated_lane,current_momentum_only_A,daily_etf,ETF evidence lane; not a real-money recommendation,existing_evidence_latest,from_existing_evidence,from_existing_evidence,3000.0,3300.0,3400.0,2400.0,600.0,both,none,1.0,stress,spread_slippage_per_side,0.001,0.0,3268.951773593808,3271.667469057493,0.08965059119793595,0.09055582301916432,3871.667469057493,3268.9517735938084,-602.7156954636844,-0.1556734146929224,False,True,True,2016-03-14,trailing_drawdown,3271.667469057493,True,True,,True,True,,,,,,188.0,,SPY_200d_trend_model,,False,False,watchlist,watchlist,project stop hit,approximate,evidence/latest/strategy_variant_results.csv summary_drawdown,Variant equity curve is not present in compact evidence; stop-enforced equity is approximated from summary max drawdown.,Loaded from evidence/latest/strategy_variant_results.csv; stop equity is approximated from summary drawdown because variant equity curves are not in compact evidence.
20260531_151622,etf_benchmark,SPY_buy_hold,daily_etf_benchmark,ETF benchmark,data/cache adjusted OHLCV,2007-01-03,2026-05-29,3000.0,3300.0,3400.0,2400.0,600.0,both,none,1.0,standard,spread_slippage_per_side,0.0005,0.0,22883.48304840306,2752.9007161024706,6.62782768280102,-0.08236642796584315,22883.48304840306,1506.706989878106,-3427.702294326209,-0.551894317086492,True,True,True,2008-07-02,trailing_drawdown,2752.9007161024706,True,True,2007-07-12,True,False,2012-09-06,131.0,1431.0,377.0,0.9997951659156084,1.0,1.0,,,False,False,benchmark,benchmark_only,benchmark,exact,computed_from_cached_adjusted_benchmark_equity_curve,Computed by challenge audit from cached adjusted SPY/BIL prices; raw OHLCV not copied into evidence.,ETF benchmark computed directly for compact challenge audit.
20260531_151622,etf_benchmark,SPY_buy_hold,daily_etf_benchmark,ETF benchmark,data/cache adjusted OHLCV,2007-01-03,2026-05-29,3000.0,3300.0,3400.0,2400.0,600.0,both,none,1.0,stress,spread_slippage_per_side,0.001,0.0,22872.05983191051,2751.526494320048,6.624019943970169,-0.08282450189331725,22872.05983191051,1505.9548561185754,-3425.991218031686,-0.5518943170864918,True,True,True,2008-07-02,trailing_drawdown,2751.526494320048,True,True,2007-07-12,True,False,2012-09-06,131.0,1431.0,377.0,0.9997951659156084,1.0,1.0,,,False,False,benchmark,benchmark_only,benchmark,exact,computed_from_cached_adjusted_benchmark_equity_curve,Computed by challenge audit from cached adjusted SPY/BIL prices; raw OHLCV not copied into evidence.,ETF benchmark computed directly for compact challenge audit.
20260531_151622,etf_benchmark,SPY_200d_trend_model,daily_etf_benchmark,ETF benchmark,data/cache adjusted OHLCV,2007-01-03,2026-05-29,3000.0,3300.0,3400.0,2400.0,600.0,both,none,1.0,standard,spread_slippage_per_side,0.0005,0.0,14440.403682680057,2966.663066194596,3.8134678942266858,-0.011112311268468011,14440.403682680057,2562.091252446425,-2031.3188369707868,-0.2145300486335285,False,True,True,2010-06-22,trailing_drawdown,2966.663066194596,True,True,2009-12-24,True,True,2010-03-16,751.0,805.0,873.0,0.9791069233920524,106.0,211.0,,,False,False,benchmark,benchmark_only,benchmark,exact,computed_from_cached_adjusted_benchmark_equity_curve,Computed by challenge audit from cached adjusted SPY/BIL prices; raw OHLCV not copied into evidence.,ETF benchmark computed directly for compact challenge audit.
20260531_151622,etf_benchmark,SPY_200d_trend_model,daily_etf_benchmark,ETF benchmark,data/cache adjusted OHLCV,2007-01-03,2026-05-29,3000.0,3300.0,3400.0,2400.0,600.0,both,none,1.0,stress,spread_slippage_per_side,0.001,0.0,12992.590697243422,2903.4862307113303,3.3308635657478076,-0.03217125642955654,12992.590697243422,2522.668085143741,-2043.994597379662,-0.22314703608429534,False,True,True,2010-06-22,trailing_drawdown,2903.4862307113303,True,True,2010-01-07,True,True,2010-03-23,759.0,810.0,873.0,0.9791069233920524,106.0,211.0,,,False,False,benchmark,benchmark_only,benchmark,exact,computed_from_cached_adjusted_benchmark_equity_curve,Computed by challenge audit from cached adjusted SPY/BIL prices; raw OHLCV not copied into evidence.,ETF benchmark computed directly for compact challenge audit.
