experiment_id,display_name,standard_or_stress,run_status,stop_enforced_final_equity,max_drawdown_dollars,max_drawdown_pct,any_project_stop_hit,first_project_stop_date,target_300_before_stop,target_400_before_stop,target_600_before_stop,run_validation_scope,selected_horizons,omitted_horizons,selected_horizons_completed,full_horizon_validation_completed,candidate_exhaustive_completed,reduced_validation,reduced_validation_reason,risk_framework_verdict,profit_verdict,accounting_integrity_status,profit_results_usable,integrity_error_count,integrity_notes,notes
combo_SPY200d_GLD_50_50_v1,Combo SPY200d GLD 50/50,standard,completed,3053.1441467787595,-2537.967490208597,0.1267293219607234,True,2008-11-12,True,True,True,all_horizons,"30,60,90,180",,True,True,True,False,,diagnostic_only,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","predeclared fixed monthly combination account using window-local sleeve returns; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
combo_SPY200d_GLD_50_50_v1,Combo SPY200d GLD 50/50,stress,completed,3031.11171605429,-2418.3831675161164,0.1271711454151622,True,2008-11-12,True,True,True,all_horizons,"30,60,90,180",,True,True,True,False,,diagnostic_only,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","predeclared fixed monthly combination account using window-local sleeve returns; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
asset_class_tsmom_top2_v1,Asset Class TSMOM Top 2,standard,completed,3014.744249794655,-2129.0798296959856,0.1288626592134632,True,2008-08-14,True,True,True,all_horizons,"30,60,90,180",,True,True,True,False,,diagnostic_only,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","predeclared asset-class TSMOM top-2 SPY/GLD/IEF with BIL fallback; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
asset_class_tsmom_top2_v1,Asset Class TSMOM Top 2,stress,completed,3008.7298940794885,-2048.62473961278,0.128862659213463,True,2008-08-14,True,True,True,all_horizons,"30,60,90,180",,True,True,True,False,,diagnostic_only,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","predeclared asset-class TSMOM top-2 SPY/GLD/IEF with BIL fallback; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
asset_class_tsmom_equal_weight_v1,Asset Class TSMOM Equal Weight,standard,completed,2972.6836808407793,-1713.5722522015349,0.120545446916801,True,2008-08-14,True,True,False,all_horizons,"30,60,90,180",,True,True,True,False,,diagnostic_only,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","predeclared asset-class TSMOM equal-weight eligible SPY/GLD/IEF with BIL fallback; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
asset_class_tsmom_equal_weight_v1,Asset Class TSMOM Equal Weight,stress,completed,2965.7594250354964,-1697.221433450195,0.1243941878616172,True,2008-08-14,True,True,False,all_horizons,"30,60,90,180",,True,True,True,False,,diagnostic_only,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","predeclared asset-class TSMOM equal-weight eligible SPY/GLD/IEF with BIL fallback; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
SPY_200d_trend_model,SPY 200-Day Trend Model,standard,completed,2966.663066194596,-2031.3188369707868,0.1406691171249712,True,2010-06-22,True,True,False,all_horizons,"30,60,90,180",,True,True,True,False,,watchlist,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","computed from cached adjusted SPY/BIL prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
SPY_200d_trend_model,SPY 200-Day Trend Model,stress,completed,2903.4862307113303,-2043.994597379662,0.157320017616912,True,2010-06-22,True,True,False,all_horizons,"30,60,90,180",,True,True,True,False,,watchlist,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","computed from cached adjusted SPY/BIL prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
GLD_buy_hold,GLD Buy And Hold,standard,completed,4133.42963586178,-4588.631074911653,0.1920951409971823,True,2008-04-29,True,True,True,all_horizons,"30,60,90,180",,True,True,True,False,,watchlist,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","computed from cached adjusted GLD prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
GLD_buy_hold,GLD Buy And Hold,stress,completed,4133.42963586178,-4588.631074911653,0.1920951409971823,True,2008-04-29,True,True,True,all_horizons,"30,60,90,180",,True,True,True,False,,watchlist,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","computed from cached adjusted GLD prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
SPY_buy_hold,SPY Buy And Hold,standard,completed,2754.2749378848903,-3429.413370620739,0.1497893606089571,True,2008-07-02,True,False,False,all_horizons,"30,60,90,180",,True,True,True,False,,watchlist,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","computed from cached adjusted SPY prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
SPY_buy_hold,SPY Buy And Hold,stress,completed,2754.2749378848903,-3429.413370620739,0.1497893606089571,True,2008-07-02,True,False,False,all_horizons,"30,60,90,180",,True,True,True,False,,watchlist,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","computed from cached adjusted SPY prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
BIL_cash_proxy,BIL Cash Proxy,standard,completed,3870.8587865925583,-24.50801348259529,0.00633141502539,False,,True,True,True,all_horizons,"30,60,90,180",,True,True,True,False,,watchlist,watchlist,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","computed from cached adjusted BIL prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
