experiment_id,horizon,standard_or_stress,rolling_method,number_of_windows,possible_window_count,p_target_300_before_stop,p_target_400_before_stop,p_target_600_before_stop,p_target_900_before_stop,p_target_1200_before_stop,p_any_project_stop_hit,median_stop_enforced_final_equity,mean_stop_enforced_final_equity,p25_stop_enforced_final_equity,p75_stop_enforced_final_equity,p90_stop_enforced_final_equity,p95_stop_enforced_final_equity,max_stop_enforced_final_equity,median_max_drawdown,worst_max_drawdown,expected_profit_dollars,expected_profit_pct,evidence_finality,notes
SPY_200d_trend_model,30,standard,deterministic_stratified_sample,500,4853,0.672,0.65,0.61,0.602,0.59,0.072,5051.45998550932,6205.320786081423,3006.8461149692844,8432.195749902923,13146.950040379634,13523.757609409144,13804.406519126642,-136.02750345451523,-1317.9859375632814,3205.3207860814227,1.0684402620271407,sampled_non_final,computed from cached adjusted SPY/BIL prices
SPY_200d_trend_model,60,standard,deterministic_stratified_sample,500,4823,0.684,0.664,0.614,0.606,0.596,0.148,5237.449135573958,6238.645490285186,3019.680393215366,8441.560433409557,13146.950040379634,13146.950040379634,13759.5450402032,-239.5309747603701,-1317.9859375632814,3238.6454902851856,1.0795484967617286,sampled_non_final,computed from cached adjusted SPY/BIL prices
SPY_200d_trend_model,90,standard,deterministic_stratified_sample,500,4793,0.696,0.678,0.616,0.606,0.596,0.262,5286.082581869969,6231.443691150875,3037.626280247261,8440.321077507506,12915.044647355104,12919.822007306642,13598.47087569502,-309.75268179063096,-1321.1268233316332,3231.4436911508747,1.0771478970502915,sampled_non_final,computed from cached adjusted SPY/BIL prices
SPY_200d_trend_model,180,standard,deterministic_stratified_sample,500,4703,0.754,0.726,0.624,0.614,0.606,0.42,5456.708819775398,6156.992771039251,3047.921266546089,8118.698409197948,12915.044647355104,12915.044647355104,12915.044647355104,-427.5562300683132,-1376.2423103078836,3156.9927710392512,1.0523309236797505,sampled_non_final,computed from cached adjusted SPY/BIL prices
SPY_200d_trend_model,30,stress,deterministic_stratified_sample,500,4853,0.658,0.634,0.61,0.598,0.588,0.06,4933.516337141869,5810.730061463954,3000.0,7752.368822982407,11638.630820106524,12192.173912595134,12445.18941423909,-133.20905734755934,-1258.1422252875136,2810.7300614639544,0.9369100204879848,sampled_non_final,computed from cached adjusted SPY/BIL prices
SPY_200d_trend_model,60,stress,deterministic_stratified_sample,500,4823,0.664,0.642,0.616,0.602,0.594,0.134,5131.626239382937,5892.652271532189,3018.169797721013,7796.010185805555,11837.076906460617,12139.489802485345,12445.18941423909,-234.3691248801515,-1258.1422252875136,2892.652271532189,0.9642174238440631,sampled_non_final,computed from cached adjusted SPY/BIL prices
SPY_200d_trend_model,90,stress,deterministic_stratified_sample,500,4793,0.672,0.652,0.614,0.602,0.59,0.25,5071.322292326082,5818.58890865233,3035.592903854436,7696.498756057729,11643.396382668821,11837.076906460617,12259.530719959217,-316.28479378390784,-1296.870162572709,2818.5889086523302,0.9395296362174435,sampled_non_final,computed from cached adjusted SPY/BIL prices
SPY_200d_trend_model,180,stress,deterministic_stratified_sample,500,4703,0.73,0.69,0.622,0.61,0.6,0.42,5232.847605254356,5753.7925317019035,3042.739618630116,7458.820983533757,11643.396382668821,11643.396382668821,11643.396382668821,-442.33823442156745,-1363.3828782752498,2753.7925317019035,0.9179308439006344,sampled_non_final,computed from cached adjusted SPY/BIL prices
SPY_buy_hold,30,standard,deterministic_stratified_sample,500,4853,0.724,0.704,0.694,0.686,0.678,0.318,6596.498999903846,8164.069534897383,3088.396862797767,11384.618060738274,20093.40686952006,20446.233121639896,20978.825399765505,-269.2581981455992,-2722.7006145528676,5164.069534897383,1.721356511632461,sampled_non_final,computed from cached adjusted SPY prices
SPY_buy_hold,60,standard,deterministic_stratified_sample,500,4823,0.736,0.714,0.702,0.694,0.684,0.472,6787.556368823296,8334.044559939128,3147.905355601956,11632.354624646588,20284.066127728704,20284.066127728704,20910.648536659788,-431.3699181349216,-3427.702294326209,5334.044559939128,1.7780148533130427,sampled_non_final,computed from cached adjusted SPY prices
SPY_buy_hold,90,standard,deterministic_stratified_sample,500,4793,0.748,0.712,0.702,0.694,0.684,0.618,6849.541167945896,8109.5511567589665,3144.6646190215943,11270.487682164803,19641.982095479732,20022.477157394907,20284.066127728704,-561.0048048864837,-3427.702294326209,5109.5511567589665,1.7031837189196555,sampled_non_final,computed from cached adjusted SPY prices
SPY_buy_hold,180,standard,deterministic_stratified_sample,500,4703,0.77,0.72,0.71,0.702,0.692,0.718,7027.130393821625,8099.41748563555,3185.8419022065646,11447.07920798093,19641.982095479732,19641.982095479732,19641.982095479732,-770.7917249247694,-3427.702294326209,5099.41748563555,1.6998058285451836,sampled_non_final,computed from cached adjusted SPY prices
SPY_buy_hold,30,stress,deterministic_stratified_sample,500,4853,0.724,0.704,0.694,0.686,0.678,0.318,6593.206090515483,8159.994109248237,3086.8551645386233,11378.934967980178,20083.37643244638,20436.026557066143,20968.35297020597,-269.12378702106366,-2721.3414683731316,5159.994109248237,1.719998036416079,sampled_non_final,computed from cached adjusted SPY prices
SPY_buy_hold,60,stress,deterministic_stratified_sample,500,4823,0.736,0.714,0.702,0.694,0.684,0.472,6784.168085418527,8329.884284378573,3146.33395127075,11626.547864158514,20273.940515371694,20273.940515371694,20900.2101403401,-431.15458238586325,-3425.991218031686,5329.884284378573,1.7766280947928577,sampled_non_final,computed from cached adjusted SPY prices
SPY_buy_hold,90,stress,deterministic_stratified_sample,500,4793,0.746,0.712,0.702,0.694,0.684,0.618,6846.121942320568,8105.511496773619,3143.0948324351857,11264.861562203203,19632.177005347912,20012.482127757055,20273.940515371694,-560.7247566383182,-3425.991218031686,5105.511496773619,1.7018371655912063,sampled_non_final,computed from cached adjusted SPY prices
SPY_buy_hold,180,stress,deterministic_stratified_sample,500,4703,0.77,0.72,0.71,0.702,0.692,0.718,7023.62251734845,8095.513392490668,3184.251560313109,11441.364935213842,19632.177005347912,19632.177005347912,19632.177005347912,-770.4069530469133,-3425.991218031686,5095.513392490668,1.6985044641635558,sampled_non_final,computed from cached adjusted SPY prices
GLD_buy_hold,30,standard,deterministic_stratified_sample,500,4853,0.986,0.98,0.978,0.952,0.892,0.296,6330.375186303325,8851.066701968624,5484.222787075107,8799.50332339166,21412.107734475972,21586.370446940295,22538.707218995518,-329.07258167776945,-4302.256769152937,5851.066701968624,1.950355567322875,sampled_non_final,computed from cached adjusted GLD prices
GLD_buy_hold,60,standard,deterministic_stratified_sample,495,4823,0.9939393939393939,0.9818181818181818,0.9818181818181818,0.9797979797979798,0.9494949494949495,0.42424242424242425,6426.424678853927,8874.940419548897,5462.3168043455535,8937.679889466282,19190.68773004523,21422.219290000252,22538.707218995518,-508.413478359018,-4586.3133139167585,5874.940419548897,1.9583134731829657,sampled_non_final,computed from cached adjusted GLD prices
GLD_buy_hold,90,standard,deterministic_stratified_sample,500,4793,1.0,0.988,0.984,0.982,0.97,0.55,6150.552734503955,7965.983071410906,5385.525108693628,8618.2363898973,17893.173277795744,18162.30491976742,19190.68773004523,-623.4805412276228,-4586.3133139167585,4965.983071410906,1.655327690470302,sampled_non_final,computed from cached adjusted GLD prices
GLD_buy_hold,180,standard,deterministic_stratified_sample,500,4703,1.0,1.0,0.998,0.994,0.982,0.764,6626.949960225381,7579.257476797049,5385.525108693628,8612.699607995404,14489.787071783343,14502.305300941562,18162.30491976742,-825.4499369751088,-4586.3133139167585,4579.257476797049,1.5264191589323497,sampled_non_final,computed from cached adjusted GLD prices
GLD_buy_hold,30,stress,deterministic_stratified_sample,500,4853,0.986,0.98,0.978,0.952,0.892,0.296,6327.1760379491625,8846.59368502431,5481.451254300693,8795.056364760301,21401.286810407175,21575.46145664267,22527.316951281107,-328.9062800009997,-4300.08256031742,5846.593685024311,1.9488645616747702,sampled_non_final,computed from cached adjusted GLD prices
GLD_buy_hold,60,stress,deterministic_stratified_sample,495,4823,0.9939393939393939,0.9818181818181818,0.9818181818181818,0.9797979797979798,0.9494949494949495,0.42424242424242425,6423.1769904737885,8870.455337669713,5459.556342082212,8933.16310127174,19180.989433299776,21411.39325590793,22527.316951281107,-508.1565441182056,-4583.995552921868,5870.455337669713,1.9568184458899043,sampled_non_final,computed from cached adjusted GLD prices
GLD_buy_hold,90,stress,deterministic_stratified_sample,500,4793,1.0,0.988,0.984,0.982,0.97,0.55,6147.444462074793,7961.9573445176,5382.803454244913,8613.881037181054,17884.130699092628,18153.126331424402,19180.989433299776,-623.1654561515224,-4583.995552921868,4961.9573445176,1.6539857815058667,sampled_non_final,computed from cached adjusted GLD prices
GLD_buy_hold,180,stress,deterministic_stratified_sample,500,4703,1.0,1.0,0.998,0.994,0.982,0.764,6623.600933440321,7575.427187379898,5382.803454244913,8608.347053373458,14482.464444435258,14494.976347321968,18153.126331424402,-825.032783689619,-4583.995552921868,4575.427187379898,1.5251423957932992,sampled_non_final,computed from cached adjusted GLD prices
IEF_buy_hold,30,standard,deterministic_stratified_sample,500,4853,0.96,0.958,0.922,0.836,0.786,0.0,5103.3501564050075,4993.241275732115,4565.873429381478,5634.317935136665,6180.250039158494,6223.530017197905,6256.232350139771,-90.52454042614136,-478.9516362330114,1993.2412757321154,0.6644137585773717,sampled_non_final,computed from cached adjusted IEF prices
IEF_buy_hold,60,standard,deterministic_stratified_sample,500,4823,0.964,0.96,0.938,0.866,0.798,0.004,5139.33761004508,4999.647407438254,4579.603513898952,5635.3282324956635,6152.1973098887065,6203.931761564534,6276.782929882552,-123.86536955518659,-606.9444662851283,1999.647407438254,0.6665491358127513,sampled_non_final,computed from cached adjusted IEF prices
IEF_buy_hold,90,standard,deterministic_stratified_sample,500,4793,0.968,0.964,0.94,0.866,0.8,0.018,5112.999190642888,4995.08092751428,4582.492916919185,5630.8029540043435,6139.770889505539,6201.223189011572,6298.277071124356,-167.40696119930817,-757.6965959126037,1995.0809275142801,0.6650269758380933,sampled_non_final,computed from cached adjusted IEF prices
IEF_buy_hold,180,standard,deterministic_stratified_sample,500,4703,0.994,0.982,0.948,0.886,0.82,0.036,5176.997864073686,5031.844450324481,4611.984521014865,5648.464582407838,5931.993633761579,6141.350259690109,6252.649616865348,-218.3249543946904,-989.7964641587896,2031.844450324481,0.6772814834414937,sampled_non_final,computed from cached adjusted IEF prices
IEF_buy_hold,30,stress,deterministic_stratified_sample,500,4853,0.96,0.958,0.922,0.834,0.786,0.0,5100.806440694138,4990.752442731846,4563.59761376622,5631.509563652776,6177.169553077805,6220.427958629195,6253.113991408319,-90.47941934123719,-478.7129074049881,1990.7524427318458,0.6635841475772819,sampled_non_final,computed from cached adjusted IEF prices
IEF_buy_hold,60,stress,deterministic_stratified_sample,500,4823,0.964,0.96,0.938,0.864,0.798,0.004,5136.775956734713,4997.155381363363,4577.320854655374,5632.519357438789,6149.130806420613,6200.839471557501,6273.654327912645,-123.80363005526715,-606.6419406642744,1997.1553813633627,0.6657184604544542,sampled_non_final,computed from cached adjusted IEF prices
IEF_buy_hold,90,stress,deterministic_stratified_sample,500,4793,0.968,0.964,0.94,0.866,0.8,0.018,5110.450665463879,4992.591177557307,4580.208817480507,5627.996334528929,6136.710579866945,6198.1322490664315,6295.13775560686,-167.32351881258955,-757.3189293453452,1992.5911775573068,0.6641970591857689,sampled_non_final,computed from cached adjusted IEF prices
IEF_buy_hold,180,stress,deterministic_stratified_sample,500,4703,0.994,0.982,0.948,0.886,0.82,0.036,5174.417439372584,5029.336375943806,4609.6857217703,5645.649159663929,5929.036888694028,6138.289162829666,6249.533043912774,-218.21613242489866,-989.303109648662,2029.3363759438062,0.6764454586479354,sampled_non_final,computed from cached adjusted IEF prices
BIL_cash_proxy,30,standard,deterministic_stratified_sample,500,4853,0.214,0.194,0.166,0.0,0.0,0.0,3129.2363621437607,3249.257708966413,3120.638291418405,3275.322774314379,3832.3082349137994,3844.997912465077,3858.1904382881517,-0.7152708165463082,-24.275389370206994,249.2577089664128,0.08308590298880425,sampled_non_final,computed from cached adjusted BIL prices
BIL_cash_proxy,60,standard,deterministic_stratified_sample,500,4823,0.208,0.19,0.16,0.0,0.0,0.0,3128.758226156486,3247.668876742107,3120.638291418394,3274.4185366807565,3830.3402735861137,3844.5781097126364,3857.769652843823,-1.365458432667765,-24.275389370206994,247.66887674210693,0.08255629224736905,sampled_non_final,computed from cached adjusted BIL prices
BIL_cash_proxy,90,standard,deterministic_stratified_sample,500,4793,0.212,0.192,0.164,0.0,0.0,0.0,3129.305311672926,3252.6187049660916,3121.31908747037,3274.776655380122,3831.8897048279023,3844.976937631673,3858.1904382881517,-1.7886603324573116,-24.275389370206994,252.61870496609163,0.08420623498869717,sampled_non_final,computed from cached adjusted BIL prices
BIL_cash_proxy,180,standard,deterministic_stratified_sample,500,4703,0.22,0.2,0.168,0.0,0.0,0.0,3129.4432107312487,3265.757164488105,3121.8313760281644,3275.6286975757807,3832.8105354556897,3845.8792259912207,3859.87873517045,-2.730594671266772,-24.275389370206994,265.757164488105,0.08858572149603505,sampled_non_final,computed from cached adjusted BIL prices
BIL_cash_proxy,30,stress,deterministic_stratified_sample,500,4853,0.216,0.196,0.166,0.0,0.0,0.0,3127.602851307307,3249.0550751230517,3118.9061117532483,3273.657484449293,3830.893171505953,3843.955324427409,3857.94783035042,-0.7155570679985885,-24.26324560363946,249.05507512305167,0.08301835837435045,sampled_non_final,computed from cached adjusted BIL prices
BIL_cash_proxy,60,stress,deterministic_stratified_sample,500,4823,0.212,0.194,0.166,0.0,0.0,0.0,3127.361809693717,3249.5781636051593,3119.0771917228153,3273.1384479486924,3830.7676108845253,3843.493754694934,3856.68127501809,-1.364775361916145,-24.26324560363946,249.57816360515926,0.08319272120171983,sampled_non_final,computed from cached adjusted BIL prices
BIL_cash_proxy,90,stress,deterministic_stratified_sample,500,4793,0.228,0.208,0.18,0.0,0.0,0.0,3127.808147270784,3263.495567586224,3119.7576472064684,3273.990063910132,3834.58898189789,3848.2856523121163,3861.3246671708666,-1.9776039399557703,-24.26324560363946,263.49556758622384,0.08783185586207454,sampled_non_final,computed from cached adjusted BIL prices
BIL_cash_proxy,180,stress,deterministic_stratified_sample,500,4703,0.224,0.202,0.17,0.0,0.0,0.0,3127.877706373704,3265.1026055331313,3119.75764720647,3274.01590704906,3832.0232170988024,3845.172190085756,3858.7918785390907,-2.729228690948503,-24.26324560363946,265.1026055331313,0.08836753517771045,sampled_non_final,computed from cached adjusted BIL prices
GLD_200d_trend_model_v1,30,standard,deterministic_stratified_sample,484,4853,0.7871900826446281,0.7830578512396694,0.7727272727272727,0.7520661157024794,0.628099173553719,0.20867768595041322,4614.190194453835,5570.677122454393,3781.154302934948,5821.4552649557745,10677.326934308048,10677.326934308048,11058.63393709831,-166.58367015920362,-2144.34375158454,2570.6771224543927,0.8568923741514642,sampled_non_final,predeclared GLD 200-day trend model
GLD_200d_trend_model_v1,60,standard,deterministic_stratified_sample,482,4823,0.7925311203319502,0.7863070539419087,0.7780082987551867,0.7593360995850622,0.6369294605809128,0.2551867219917012,4594.593432336574,5532.75417233345,3732.4320586339195,5436.791122696822,10677.326934308048,11055.226411695458,11899.95778467462,-237.29294619682696,-2285.924068507584,2532.75417233345,0.8442513907778166,sampled_non_final,predeclared GLD 200-day trend model
GLD_200d_trend_model_v1,90,standard,deterministic_stratified_sample,500,4793,0.784,0.778,0.768,0.76,0.644,0.284,4510.897624204142,5256.101915109551,3519.308421194444,5348.292286066664,10677.326934308048,10677.326934308048,10677.326934308048,-311.92791941203814,-2285.924068507584,2256.1019151095506,0.7520339717031836,sampled_non_final,predeclared GLD 200-day trend model
GLD_200d_trend_model_v1,180,standard,deterministic_stratified_sample,500,4703,0.92,0.858,0.84,0.784,0.672,0.41,4514.304311928371,5045.543046353174,3663.0121391768557,5348.292286066664,9052.51061450347,9052.51061450347,9513.487531887744,-501.7708487982627,-2285.924068507584,2045.5430463531738,0.6818476821177246,sampled_non_final,predeclared GLD 200-day trend model
GLD_200d_trend_model_v1,30,stress,deterministic_stratified_sample,477,4853,0.7840670859538784,0.779874213836478,0.7693920335429769,0.6268343815513627,0.5283018867924528,0.20754716981132076,4243.995798437258,5071.675782757906,3634.3795319542724,5584.455189147949,9192.421394041787,9192.421394041787,9520.699686137961,-159.81265413202118,-1846.1279212972768,2071.675782757906,0.6905585942526353,sampled_non_final,predeclared GLD 200-day trend model
GLD_200d_trend_model_v1,60,stress,deterministic_stratified_sample,491,4823,0.790224032586558,0.7861507128309573,0.7780040733197556,0.6456211812627292,0.5376782077393075,0.24439918533604887,4251.19082105508,5047.150478533782,3645.4649979920696,5265.58157786523,9192.421394041787,9491.363308590815,10245.019863215994,-230.24756639316047,-1968.0185351434066,2047.150478533782,0.682383492844594,sampled_non_final,predeclared GLD 200-day trend model
GLD_200d_trend_model_v1,90,stress,deterministic_stratified_sample,500,4793,0.784,0.78,0.768,0.68,0.53,0.276,4123.692489626873,4809.378375448887,3510.5772296302366,5244.427701200608,9192.421394041787,9192.421394041787,9192.421394041787,-293.26434924574096,-1968.0185351434066,1809.3783754488868,0.6031261251496289,sampled_non_final,predeclared GLD 200-day trend model
