combination_id,horizon,cost_mode,rolling_method,possible_window_count,window_start,window_end,target_300_hit,target_400_hit,target_600_hit,target_900_hit,target_1200_hit,stop_hit,final_equity,worst_drawdown,combo_benchmark_target_300_hit,combo_benchmark_target_400_hit,top2_benchmark_target_300_hit,top2_benchmark_target_400_hit,incremental_target_300_vs_combo,incremental_target_400_vs_combo,incremental_target_300_vs_top2,incremental_target_400_vs_top2,primary_component_id,secondary_component_id,component_primary_return_contribution_if_available,component_secondary_return_contribution_if_available,component_primary_share_of_profit_if_available,component_secondary_share_of_profit_if_available,turnover_cost_total,component_contribution_status,combo_benchmark_final_equity,top2_benchmark_final_equity,spy200d_benchmark_final_equity,combo_benchmark_worst_drawdown,top2_benchmark_worst_drawdown,spy200d_benchmark_worst_drawdown,combo_drawdown_overlap_flags_if_available,top2_drawdown_overlap_flags_if_available,spy200d_drawdown_overlap_flags_if_available
combo_plus_top2_50_50_v1,30,standard,deterministic_stratified_sample,4853,2007-01-03,2007-02-14,False,False,False,False,False,False,3048.2336033615206,-26.29154518014184,False,False,False,False,False,False,False,False,combo_SPY200d_GLD_50_50_v1,asset_class_tsmom_top2_v1,48.983603361519435,-0.7499999999999174,1.015549325526799,-0.015549325526822356,0.0,available_final_equity_window_contribution,3098.1760779526794,2998.5,3000.0,-51.001027929889005,-1.5,0.0,False,False,False
combo_plus_top2_50_50_v1,30,standard,deterministic_stratified_sample,4853,2007-03-21,2007-05-02,False,False,False,False,False,False,3010.0566015083127,-22.619873229486075,False,False,False,False,False,False,False,False,combo_SPY200d_GLD_50_50_v1,asset_class_tsmom_top2_v1,10.056601508312061,0.0,0.9999999999999342,0.0,0.0,available_final_equity_window_contribution,3019.791680712058,3000.0,3000.0,-45.65718103559493,0.0,0.0,False,False,False
combo_plus_top2_50_50_v1,30,standard,deterministic_stratified_sample,4853,2008-07-11,2008-08-21,False,False,False,False,False,False,2737.357427632161,-403.42233845162855,False,False,False,False,False,False,False,False,combo_SPY200d_GLD_50_50_v1,asset_class_tsmom_top2_v1,-102.46829122016825,-160.17428114766847,0.3901434953837502,0.6098565046162413,0.0,available_final_equity_window_contribution,2794.88542169908,2679.930573525017,3004.3173992258826,-302.8666218640542,-501.53283066985887,-9.750222679690069,True,True,False
combo_plus_top2_50_50_v1,30,standard,deterministic_stratified_sample,4853,2008-08-11,2008-09-22,False,False,False,False,False,False,3032.1009991716555,-136.57795110046027,False,False,False,False,False,False,False,False,combo_SPY200d_GLD_50_50_v1,asset_class_tsmom_top2_v1,78.41779973861085,-46.31680056695466,2.4428460721513003,-1.4428460721512797,0.0,available_final_equity_window_contribution,3157.023922639964,2907.420954760917,3005.4326083558067,-172.10523220429877,-145.3223384033904,-18.988437632285695,False,False,False
combo_plus_top2_50_50_v1,30,standard,deterministic_stratified_sample,4853,2008-10-28,2008-12-09,False,False,False,False,False,False,3166.9315972045215,-41.839299742720414,False,False,False,False,False,False,False,False,combo_SPY200d_GLD_50_50_v1,asset_class_tsmom_top2_v1,31.788186595443374,135.1434106090779,0.19042642092795098,0.8095735790720477,0.0,available_final_equity_window_contribution,3058.8660883871107,3272.559702775977,3000.200980690655,-126.29755468917665,-58.777619449085705,-16.68511918909644,False,False,False
combo_plus_top2_50_50_v1,30,standard,deterministic_stratified_sample,4853,2008-10-29,2008-12-10,False,False,False,False,False,False,3197.689631956923,-41.790293344016845,False,False,False,False,False,False,False,False,combo_SPY200d_GLD_50_50_v1,asset_class_tsmom_top2_v1,66.38380390565808,131.30582805126423,0.33579810558867945,0.6642018944113159,0.0,available_final_equity_window_contribution,3125.6462491743246,3264.70535370762,3005.433630071634,-126.18663138380452,-58.69155961969227,-16.703289333348494,False,False,False
combo_plus_top2_50_50_v1,30,standard,deterministic_stratified_sample,4853,2008-10-30,2008-12-11,False,False,False,False,False,False,3243.361153236328,-37.87121409104566,False,False,True,False,False,False,False,False,combo_SPY200d_GLD_50_50_v1,asset_class_tsmom_top2_v1,89.68434673346925,153.6768065028591,0.36852367578311407,0.6314763242168877,0.0,available_final_equity_window_contribution,3171.7486143178426,3309.8098912015844,3007.065970870972,-127.21229762153598,-59.144740753749375,-16.681483695737825,False,False,False
combo_plus_top2_50_50_v1,30,standard,deterministic_stratified_sample,4853,2008-10-31,2008-12-12,False,False,False,False,False,False,3267.094470575467,-38.09996882543601,False,False,True,False,False,False,False,False,combo_SPY200d_GLD_50_50_v1,asset_class_tsmom_top2_v1,104.84294571401604,162.25152486144992,0.3925313223000359,0.6074686776999607,0.0,available_final_equity_window_contribution,3202.8466882542953,3325.862627133318,3002.815870154374,-128.49272815453696,-59.26582845683288,-16.69965283041347,False,False,False
combo_plus_top2_50_50_v1,30,standard,deterministic_stratified_sample,4853,2008-11-03,2008-12-15,False,False,False,False,False,False,3288.92496766281,-38.10424999889938,False,False,True,False,False,False,False,False,combo_SPY200d_GLD_50_50_v1,asset_class_tsmom_top2_v1,125.50639596715043,163.41857169565918,0.434390966562719,0.5656090334372792,0.0,available_final_equity_window_contribution,3243.8855369543357,3327.7635834873226,3003.010737552038,-128.727458780083,-59.17122778843395,-16.704376789332855,False,False,False
combo_plus_top2_50_50_v1,30,standard,deterministic_stratified_sample,4853,2008-11-05,2008-12-17,True,False,False,False,False,False,3304.0935183021493,-31.100620324909414,False,False,True,False,True,False,False,False,combo_SPY200d_GLD_50_50_v1,asset_class_tsmom_top2_v1,131.91534421504812,172.17817408710167,0.4337986056117651,0.5662013943882366,0.0,available_final_equity_window_contribution,3257.092479904616,3345.6270840960774,3000.395869922604,-127.08293585496631,-58.16330620140252,-16.689826298109438,False,False,False
