absolute_600_stop_hit_rate,average_profit_dollars,best_window_final_equity,bil_weight_average,days_to_300,days_to_400,final_equity_75th_percentile,final_equity_90th_percentile,final_equity_mean,final_equity_median,horizon,loss_window_rate,max_drawdown_median,max_drawdown_worst,median_profit_dollars,profit_to_median_drawdown_ratio,profit_to_worst_drawdown_ratio,strategy_id,target_300_before_stop_rate,target_400_before_stop_rate,total_return_median,trailing_drawdown_stop_hit_rate,validation_status,window_count,worst_loss_dollars,worst_window_final_equity
0.0,32.10581291451433,3505.0947526952186,0.21027777777777779,36.0,38.5,3110.146702265537,3196.881459361219,3032.1058129145144,3016.054691896137,30,0.4125,-105.97406361510593,-622.5081415585487,16.054691896136774,0.1514964260920186,0.025790332405840163,dm_global_dual_momentum_top1_v1,0.04583333333333333,0.016666666666666666,0.005351563965378947,not_supported,complete,240,-349.7640891523447,2650.2359108476553
0.008333333333333333,56.62764348042343,3775.072820971025,0.2101388888888889,52.0,50.0,3147.2299133959086,3266.239844456963,3056.6276434804236,3042.8889836086037,60,0.325,-166.21181422476843,-671.8273246801573,42.88898360860367,0.25803811725804787,0.06383929624925899,dm_global_dual_momentum_top1_v1,0.13333333333333333,0.07083333333333333,0.014296327869534498,not_supported,complete,240,-463.56843904558673,2536.4315609544133
0.016666666666666666,77.11682829110562,3911.051554002468,0.21032407407407405,85.0,92.0,3232.6350198163955,3365.895436072346,3077.1168282911053,3053.3309549849637,90,0.3625,-224.55327331561648,-850.6471329636524,53.33095498496391,0.2374980074772975,0.06269456854472547,dm_global_dual_momentum_top1_v1,0.24166666666666667,0.12916666666666668,0.017776984994988032,not_supported,complete,240,-518.291727543744,2481.708272456256
0.016666666666666666,161.05454357718463,4222.092725026512,0.2065740740740741,135.0,167.0,3379.5673208126136,3572.1991300346804,3161.0545435771846,3125.822576373105,180,0.30833333333333335,-329.1321518019697,-701.3227183245967,125.82257637310522,0.38228588633543586,0.17940752963726198,dm_global_dual_momentum_top1_v1,0.4708333333333333,0.32916666666666666,0.04194085879103504,not_supported,complete,240,-555.9388908093597,2444.0611091906403
0.0,31.130700447196606,3428.9549928614397,0.06736111111111111,36.0,41.5,3100.3007254332124,3176.3750144527894,3031.130700447197,3029.427619653217,30,0.3958333333333333,-100.39906644017287,-585.1587666506261,29.42761965321688,0.29310650682944944,0.050289974841625985,dm_multi_asset_top2_absolute_momentum_v1,0.0375,0.016666666666666666,0.009809206551072203,not_supported,complete,240,-433.8477128717591,2566.152287128241
0.0,66.24786057951906,3802.574837364962,0.07107638888888888,58.0,65.0,3142.403621901989,3264.6982064732765,3066.2478605795186,3065.4246460603995,60,0.3333333333333333,-155.61405132457548,-611.2953921764129,65.42464606039948,0.4204289105226016,0.10702623788389146,dm_multi_asset_top2_absolute_momentum_v1,0.11666666666666667,0.0625,0.021808215353466442,not_supported,complete,240,-346.2809008457466,2653.7190991542534
0.0,99.68858793759912,4156.864657352086,0.06905092592592593,90.0,93.0,3208.5372268696874,3359.7204851913975,3099.688587937599,3083.225414777516,90,0.32916666666666666,-199.72673140804022,-644.5452966395883,83.22541477751611,0.41669642411304075,0.12912267797379248,dm_multi_asset_top2_absolute_momentum_v1,0.22083333333333333,0.1125,0.027741804925838665,not_supported,complete,240,-378.76308795302475,2621.2369120469752
0.0,202.50171074899535,4434.305356368345,0.06747685185185186,143.5,179.0,3394.3418710575415,3597.1036990623306,3202.5017107489957,3164.2317065577304,180,0.25416666666666665,-278.76860279133916,-650.4405337695484,164.23170655773038,0.5891327248236032,0.2524930382274082,dm_multi_asset_top2_absolute_momentum_v1,0.44166666666666665,0.32083333333333336,0.05474390218591019,not_supported,complete,240,-418.63886707327447,2581.3611329267255
0.0,33.74836964234534,3301.703472695134,0.33006944444444447,38.0,42.0,3093.022154146073,3172.418118696708,3033.748369642345,3008.8971612459395,30,0.38333333333333336,-66.95226992286439,-395.8322591074475,8.897161245939515,0.13288811949452828,0.022477099936224265,dm_protective_canary_bil_v1,0.016666666666666666,0.004166666666666667,0.0029657204153131778,not_supported,complete,240,-339.577541113857,2660.422458886143
0.0,70.90643395054737,3457.3024178747946,0.33322916666666663,63.0,65.0,3141.2347749681226,3257.785559642488,3070.9064339505476,3042.3895887183753,60,0.25416666666666665,-104.81930891669344,-429.46710307363173,42.38958871837508,0.40440629838596603,0.09870276073533722,dm_protective_canary_bil_v1,0.09583333333333334,0.020833333333333332,0.014129862906125057,not_supported,complete,240,-328.89890936372194,2671.101090636278
0.0,110.48887123951856,3625.3133883666137,0.3333796296296296,90.5,113.0,3230.756318945143,3368.2664398686684,3110.4888712395186,3077.791992953352,90,0.2375,-131.41999696073754,-468.25947773846246,77.79199295335161,0.5919342166519179,0.16613009805815585,dm_protective_canary_bil_v1,0.25,0.12916666666666668,0.025930664317783902,not_supported,complete,240,-327.49970029651695,2672.500299703483
0.0,232.07280956977633,3933.9370583454993,0.33239583333333333,144.5,170.0,3427.0416237172103,3578.58090301799,3232.0728095697764,3202.5831744186085,180,0.20833333333333334,-188.51106863290352,-634.138483320829,202.58317441860845,1.0746486977542322,0.31946204141046547,dm_protective_canary_bil_v1,0.525,0.37916666666666665,0.06752772480620273,not_supported,complete,240,-369.5616115585294,2630.4383884414706
0.0,33.545159093719676,3431.4319758211245,0.18883333333333335,40.0,41.5,3089.4088517981127,3171.5274664097724,3033.5451590937196,3021.48173198424,30,0.3541666666666667,-84.17708851011912,-428.100889873936,21.481731984240014,0.25519689935174755,0.050179134153553843,dm_balanced_offensive_defensive_v1,0.0375,0.008333333333333333,0.007160577328080064,not_supported,complete,240,-261.6031833721654,2738.3968166278346
0.0,62.56447956068684,3592.385426348207,0.1935694444444445,57.0,61.0,3144.7922299798784,3235.1707833831124,3062.564479560687,3062.6375483980064,60,0.3375,-132.51932059315982,-479.68567882388334,62.63754839800663,0.47266729196647994,0.13058040121519662,dm_balanced_offensive_defensive_v1,0.0875,0.0375,0.02087918279933554,not_supported,complete,240,-274.847142050342,2725.152857949658
0.0,96.80633093641217,3752.9238987584154,0.19075925925925932,82.0,95.0,3189.614177401117,3305.366637464098,3096.806330936412,3081.108852556774,90,0.2875,-171.73927285520563,-501.04786040801946,81.10885255677408,0.47227900298120756,0.16187845306978163,dm_balanced_offensive_defensive_v1,0.1875,0.10833333333333334,0.02703628418559134,not_supported,complete,240,-332.2865367110462,2667.713463288954
