strategy_id,family,instrument_lane,registry_lane,evidence_tier,current_status,implementation_status,paper_forward_active,real_money_recommendation,candidate_exhaustive_run,candidate_exhaustive_recommended,promotion_review_required,promotion_decision,promotion_reason,primary_failure_mode,duplication_risk,risk_budget_status,latest_evidence_path,metrics_source,target_300_evidence,target_400_evidence,drawdown_evidence,stop_hit_evidence,stress_evidence,missing_evidence,evidence_needed,blocked_reason,duplicate_of,recommended_next_action,candidate_exhaustive_allowed,paper_forward_allowed,allowed_next_actions,forbidden_next_actions
SPY_200d_trend_model_sim_1_25x_v1,trend leverage diagnostic,ETF simulated leverage,compact_challenge,tier1_exploratory,too_risky,implemented_exploratory,False,False,False,False,False,blocked,"Promotion is blocked by unresolved data, provider, terms, survivorship, instrument, or execution gate.",blocked_by_gate,not_flagged,evidence_missing,evidence/challenge_runs/latest/,,,,,,,,resolve blocker before any candidate_exhaustive queue decision,too_risky,,resolve_blocker_before_review,False,False,audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_leverage_multiplier
SPY_200d_trend_model_sim_1_5x_v1,trend leverage diagnostic,ETF simulated leverage,compact_challenge,tier1_exploratory,too_risky,implemented_exploratory,False,False,False,False,False,blocked,"Promotion is blocked by unresolved data, provider, terms, survivorship, instrument, or execution gate.",blocked_by_gate,not_flagged,evidence_missing,evidence/challenge_runs/latest/,,,,,,,,resolve blocker before any candidate_exhaustive queue decision,too_risky,,resolve_blocker_before_review,False,False,audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_leverage_multiplier
SPY_buy_hold_sim_1_25x_v1,buy_hold leverage diagnostic,ETF simulated leverage,compact_challenge,tier1_exploratory,too_risky,implemented_exploratory,False,False,False,False,False,blocked,"Promotion is blocked by unresolved data, provider, terms, survivorship, instrument, or execution gate.",blocked_by_gate,not_flagged,evidence_missing,evidence/challenge_runs/latest/,,,,,,,,resolve blocker before any candidate_exhaustive queue decision,too_risky,,resolve_blocker_before_review,False,False,audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_leverage_multiplier
SPY_buy_hold_sim_1_5x_v1,buy_hold leverage diagnostic,ETF simulated leverage,compact_challenge,tier1_exploratory,too_risky,implemented_exploratory,False,False,False,False,False,blocked,"Promotion is blocked by unresolved data, provider, terms, survivorship, instrument, or execution gate.",blocked_by_gate,not_flagged,evidence_missing,evidence/challenge_runs/latest/,,,,,,,,resolve blocker before any candidate_exhaustive queue decision,too_risky,,resolve_blocker_before_review,False,False,audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_leverage_multiplier
SPY_200d_exposure_frontier_1_05x_v1,SPY_200d exposure frontier diagnostic,ETF simulated exposure,compact_challenge,tier1_exploratory,too_risky,implemented_exploratory,False,False,False,False,False,blocked,"Promotion is blocked by unresolved data, provider, terms, survivorship, instrument, or execution gate.",blocked_by_gate,not_flagged,evidence_missing,evidence/challenge_runs/latest/,,,,,,,,resolve blocker before any candidate_exhaustive queue decision,too_risky,,resolve_blocker_before_review,False,False,audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_exposure_multiplier
SPY_200d_exposure_frontier_1_10x_v1,SPY_200d exposure frontier diagnostic,ETF simulated exposure,compact_challenge,tier1_exploratory,too_risky,implemented_exploratory,False,False,False,False,False,blocked,"Promotion is blocked by unresolved data, provider, terms, survivorship, instrument, or execution gate.",blocked_by_gate,not_flagged,evidence_missing,evidence/challenge_runs/latest/,,,,,,,,resolve blocker before any candidate_exhaustive queue decision,too_risky,,resolve_blocker_before_review,False,False,audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_exposure_multiplier
SPY_200d_exposure_frontier_1_15x_v1,SPY_200d exposure frontier diagnostic,ETF simulated exposure,compact_challenge,tier1_exploratory,too_risky,implemented_exploratory,False,False,False,False,False,blocked,"Promotion is blocked by unresolved data, provider, terms, survivorship, instrument, or execution gate.",blocked_by_gate,not_flagged,evidence_missing,evidence/challenge_runs/latest/,,,,,,,,resolve blocker before any candidate_exhaustive queue decision,too_risky,,resolve_blocker_before_review,False,False,audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_exposure_multiplier
SPY_200d_exposure_frontier_1_20x_v1,SPY_200d exposure frontier diagnostic,ETF simulated exposure,compact_challenge,tier1_exploratory,too_risky,implemented_exploratory,False,False,False,False,False,blocked,"Promotion is blocked by unresolved data, provider, terms, survivorship, instrument, or execution gate.",blocked_by_gate,not_flagged,evidence_missing,evidence/challenge_runs/latest/,,,,,,,,resolve blocker before any candidate_exhaustive queue decision,too_risky,,resolve_blocker_before_review,False,False,audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_exposure_multiplier
SPY_200d_exposure_frontier_1_25x_v1,SPY_200d exposure frontier diagnostic,ETF simulated exposure,compact_challenge,tier1_exploratory,too_risky,implemented_exploratory,False,False,False,False,False,blocked,"Promotion is blocked by unresolved data, provider, terms, survivorship, instrument, or execution gate.",blocked_by_gate,not_flagged,evidence_missing,evidence/challenge_runs/latest/,,,,,,,,resolve blocker before any candidate_exhaustive queue decision,too_risky,,resolve_blocker_before_review,False,False,audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_exposure_multiplier
SPY_200d_vol_target_12_cap_1_00_v1,SPY_200d volatility-control diagnostic,ETF,compact_challenge,tier1_exploratory,exploratory_only,implemented_exploratory,False,False,False,False,False,blocked,"Promotion is blocked by unresolved data, provider, terms, survivorship, instrument, or execution gate.",blocked_by_gate,not_flagged,evidence_missing,evidence/challenge_runs/latest/,,,,,,,,resolve blocker before any candidate_exhaustive queue decision,tier1_exploratory;risk_control_diagnostic;not_paper_forward_allowed,,resolve_blocker_before_review,False,False,run_challenge_audit,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_target_vol;tune_vol_window
