combination_id,benchmark_id,correlation,rolling_60d_correlation_mean,rolling_90d_correlation_mean,stress_period_correlation,drawdown_coincidence_rate,target_window_co_movement_status,correlation_diagnostics_status,drawdown_coincidence_diagnostics_status,notes
combo_plus_top2_50_50_v1,combo_SPY200d_GLD_50_50_v1,0.9250118625891827,0.9330399106531447,0.9291657090892338,0.747909783998579,0.7674571805006588,unavailable,available,available,calculated from full-period standard equity curve daily returns; not raw OHLCV
combo_plus_top2_50_50_v1,asset_class_tsmom_top2_v1,0.9289684252223052,0.9095637246304008,0.9111526421020189,0.8000766124802424,0.9005270092226614,unavailable,available,available,calculated from full-period standard equity curve daily returns; not raw OHLCV
combo_plus_top2_50_50_v1,SPY_200d_trend_model,0.57893085632315,0.575417459434475,0.57726638317948,0.1975448689542668,0.8893280632411067,unavailable,available,available,calculated from full-period standard equity curve daily returns; not raw OHLCV
combo_plus_top2_50_50_v1,GLD_buy_hold,0.7625010535988238,0.7343267672303576,0.7285020266576353,0.5536865330626128,0.9216073781291173,unavailable,available,available,calculated from full-period standard equity curve daily returns; not raw OHLCV
combo_plus_top2_50_50_v1,BIL_cash_proxy,0.020680229845388233,0.019780607326687807,0.020400299217577147,-0.0235788333243701,0.0,unavailable,available,available,calculated from full-period standard equity curve daily returns; not raw OHLCV
combo_plus_managed_futures_80_20_v1,combo_SPY200d_GLD_50_50_v1,0.9555649491264439,0.9466032409485556,0.9480306361781409,0.9256112210653509,0.9553571428571429,unavailable,available,available,calculated from full-period standard equity curve daily returns; not raw OHLCV
combo_plus_managed_futures_80_20_v1,asset_class_tsmom_top2_v1,0.8167979910547517,0.765808220928575,0.7707118713145157,0.7258400022120879,0.9196428571428571,unavailable,available,available,calculated from full-period standard equity curve daily returns; not raw OHLCV
combo_plus_managed_futures_80_20_v1,SPY_200d_trend_model,0.5452737192596565,0.5530813881861361,0.5589593157324536,0.15218559474006574,0.8571428571428571,unavailable,available,available,calculated from full-period standard equity curve daily returns; not raw OHLCV
combo_plus_managed_futures_80_20_v1,GLD_buy_hold,0.8464302915050185,0.8132689443430716,0.8075798744352006,0.7370028158396996,0.9732142857142857,unavailable,available,available,calculated from full-period standard equity curve daily returns; not raw OHLCV
combo_plus_managed_futures_80_20_v1,BIL_cash_proxy,0.12585950065012388,0.15071074954697602,0.15596860118845993,0.0744364802952962,0.0,unavailable,available,available,calculated from full-period standard equity curve daily returns; not raw OHLCV
top2_plus_managed_futures_80_20_v1,combo_SPY200d_GLD_50_50_v1,0.7775972388187589,0.6689246156378162,0.6816270827836568,0.6499715405030818,0.6793349168646081,unavailable,available,available,calculated from full-period standard equity curve daily returns; not raw OHLCV
top2_plus_managed_futures_80_20_v1,asset_class_tsmom_top2_v1,0.9150437042134267,0.844041746314456,0.8627451869704333,0.9496873297067573,0.9928741092636579,unavailable,available,available,calculated from full-period standard equity curve daily returns; not raw OHLCV
top2_plus_managed_futures_80_20_v1,SPY_200d_trend_model,0.44317291479473964,0.4573098390635069,0.45948030355640507,0.09622546244985167,0.9239904988123515,unavailable,available,available,calculated from full-period standard equity curve daily returns; not raw OHLCV
top2_plus_managed_futures_80_20_v1,GLD_buy_hold,0.6891434684306827,0.5327959771683993,0.5375023199723511,0.5955152491512272,0.9097387173396675,unavailable,available,available,calculated from full-period standard equity curve daily returns; not raw OHLCV
top2_plus_managed_futures_80_20_v1,BIL_cash_proxy,0.1257179130303382,0.22960841833712367,0.21706688289871026,0.08224643708894637,0.0,unavailable,available,available,calculated from full-period standard equity curve daily returns; not raw OHLCV
