window_start,window_end,final_equity,profit_dollars,total_return,max_drawdown,absolute_600_stop_hit,target_300_before_stop,target_400_before_stop,days_to_300,days_to_400,strategy_id,horizon,sampled_results_are_final,exploratory_results_are_final
2023-03-09,2023-04-21,2528.8117493329446,-471.1882506670554,-0.15706275022235183,-501.26623557853236,False,False,False,,,mf_wrapper_top1_trend_v1,30,False,False
2023-03-14,2023-04-26,3014.89331546552,14.893315465520118,0.004964438488506806,-33.18370168870479,False,False,False,,,mf_wrapper_top1_trend_v1,30,False,False
2023-03-17,2023-05-01,3028.2541924496936,28.25419244969362,0.009418064149897765,-33.14389313544871,False,False,False,,,mf_wrapper_top1_trend_v1,30,False,False
2023-03-22,2023-05-04,3131.6448510096643,131.6448510096643,0.04388161700322146,-30.094497628653244,False,False,False,,,mf_wrapper_top1_trend_v1,30,False,False
2023-03-28,2023-05-10,3117.3151865565674,117.31518655656737,0.039105062185522454,-38.093597675471756,False,False,False,,,mf_wrapper_top1_trend_v1,30,False,False
2023-03-31,2023-05-15,3072.658246775495,72.65824677549517,0.024219415591831828,-37.526055413025006,False,False,False,,,mf_wrapper_top1_trend_v1,30,False,False
2023-04-05,2023-05-18,3118.5122578460023,118.51225784600229,0.0395040859486675,-37.89871941593492,False,False,False,,,mf_wrapper_top1_trend_v1,30,False,False
2023-04-12,2023-05-24,3107.1278816652384,107.12788166523842,0.03570929388841271,-37.70582008790552,False,False,False,,,mf_wrapper_top1_trend_v1,30,False,False
2023-04-17,2023-05-30,3120.52183828054,120.52183828054012,0.040173946093513324,-37.683259891746275,False,False,False,,,mf_wrapper_top1_trend_v1,30,False,False
2023-04-20,2023-06-02,3122.692668998542,122.6926689985421,0.04089755633284731,-37.526055413025006,False,False,False,,,mf_wrapper_top1_trend_v1,30,False,False
2023-04-26,2023-06-08,3107.050636722177,107.05063672217693,0.03568354557405895,-37.370159485813474,False,False,False,,,mf_wrapper_top1_trend_v1,30,False,False
2023-05-01,2023-06-13,3095.8244853363667,95.8244853363667,0.03194149511212219,-37.16064662760937,False,False,False,,,mf_wrapper_top1_trend_v1,30,False,False
2023-05-04,2023-06-16,3020.329314696679,20.32931469667892,0.0067764382322264005,-45.40556440931414,False,False,False,,,mf_wrapper_top1_trend_v1,30,False,False
2023-05-10,2023-06-23,3001.989328186307,1.9893281863069205,0.0006631093954356793,-61.06939760723708,False,False,False,,,mf_wrapper_top1_trend_v1,30,False,False
2023-05-15,2023-06-28,3038.6078539659024,38.60785396590245,0.012869284655300905,-61.03388530836628,False,False,False,,,mf_wrapper_top1_trend_v1,30,False,False
2023-05-18,2023-07-03,3038.410562478732,38.41056247873212,0.01280352082624403,-60.73365817553804,False,False,False,,,mf_wrapper_top1_trend_v1,30,False,False
2023-05-24,2023-07-10,3003.698439082823,3.6984390828229152,0.0012328130276075822,-60.645924870248564,False,False,False,,,mf_wrapper_top1_trend_v1,30,False,False
2023-05-30,2023-07-13,3020.9156615413062,20.915661541306235,0.006971887180435399,-60.34948940205322,False,False,False,,,mf_wrapper_top1_trend_v1,30,False,False
2023-06-02,2023-07-18,3017.3744752428643,17.374475242864264,0.005791491747621391,-60.05594879295177,False,False,False,,,mf_wrapper_top1_trend_v1,30,False,False
2023-06-07,2023-07-21,3032.985264546701,32.98526454670082,0.010995088182233603,-60.34948940205322,False,False,False,,,mf_wrapper_top1_trend_v1,30,False,False
