absolute_600_stop_hit_rate,average_profit_dollars,best_window_final_equity,days_to_300,days_to_400,final_equity_75th_percentile,final_equity_90th_percentile,final_equity_mean,final_equity_median,horizon,loss_window_rate,max_drawdown_median,max_drawdown_worst,median_profit_dollars,profit_to_median_drawdown_ratio,profit_to_worst_drawdown_ratio,strategy_id,target_300_before_stop_rate,target_400_before_stop_rate,total_return_median,trailing_drawdown_stop_hit_rate,validation_status,window_count,worst_loss_dollars,worst_window_final_equity
0.0,14.07788793355753,3273.0996738780195,,,3094.556711607589,3144.2114980449805,3014.0778879335576,3028.236951670411,30,0.39166666666666666,-82.68694697919204,-501.26623557853236,28.236951670410917,0.3414922512197321,0.05633124608487038,mf_wrapper_top1_trend_v1,0.0,0.0,0.009412317223470246,not_supported,complete,240,-471.1882506670554,2528.8117493329446
0.0,44.45371391441883,3428.0917126054856,70.0,83.0,3189.157978470086,3259.7196898033844,3044.4537139144186,3079.623977529855,60,0.4,-125.18316711575858,-501.26623557853236,79.62397752985498,0.6360597783584242,0.15884568294921683,mf_wrapper_top1_trend_v1,0.12916666666666668,0.020833333333333332,0.026541325843284946,not_supported,complete,240,-382.45788976572567,2617.5421102342743
0.0,72.85419763913755,3593.949420670092,94.0,113.0,3276.303092986266,3372.292807872518,3072.8541976391375,3086.4026844035484,90,0.4,-184.68809013313194,-501.26623557853236,86.40268440354839,0.4678302988636963,0.17236884966693883,mf_wrapper_top1_trend_v1,0.2916666666666667,0.1375,0.028800894801182753,not_supported,complete,240,-416.90197909571316,2583.098020904287
0.0,134.11360304681065,3805.008279256368,127.0,153.5,3263.598867669607,3520.728165171254,3134.1136030468106,3112.2566389824433,180,0.4125,-331.17878866817205,-588.3910783790179,112.25663898244352,0.3389608357282815,0.19078575985839863,mf_wrapper_top1_trend_v1,0.4,0.31666666666666665,0.037418879660814475,not_supported,complete,240,-570.7882964552218,2429.211703544778
0.0,18.7306822583667,3194.796139669586,,,3067.9110416115045,3121.4590973057975,3018.7306822583673,3017.056493786803,30,0.4166666666666667,-64.66186251538943,-251.0106808102064,17.056493786803003,0.2637798096635955,0.0679512669809446,mf_wrapper_top2_risk_adjusted_v1,0.0,0.0,0.005685497928934358,not_supported,complete,240,-231.42463411370545,2768.5753658862945
0.0,43.3339160849299,3328.589018015182,74.5,,3132.8318223976617,3206.5784252671688,3043.33391608493,3058.1939983872508,60,0.38333333333333336,-99.0551216006113,-256.6725911391304,58.193998387250986,0.5874910599967589,0.22672463050683386,mf_wrapper_top2_risk_adjusted_v1,0.008333333333333333,0.0,0.019397999462416937,not_supported,complete,240,-194.86284923646645,2805.1371507635336
0.0,65.46002476636791,3368.5178691798483,112.0,,3186.0105452054368,3285.0333837173785,3065.460024766368,3083.4135551655872,90,0.3875,-116.11472529769458,-263.9339269199081,83.41355516558724,0.7183718942772489,0.31603953360228465,mf_wrapper_top2_risk_adjusted_v1,0.10416666666666667,0.0,0.027804518388529043,not_supported,complete,240,-253.56034751768448,2746.4396524823155
0.0,113.89549095999124,3687.44530677397,129.0,170.0,3212.124454932787,3503.09462810582,3113.8954909599915,3042.2637820561813,180,0.39166666666666666,-196.28609142506252,-309.50040724312385,42.263782056181526,0.21531725324673276,0.13655485119598498,mf_wrapper_top2_risk_adjusted_v1,0.2125,0.19166666666666668,0.014087927352060547,not_supported,complete,240,-234.63857871096343,2765.3614212890366
0.0,41.78643529823281,3193.1141205351396,,,3113.3174817047843,3145.5765661914147,3041.786435298233,3061.8252762327756,30,0.325,-64.91745350305291,-289.1488975476682,61.82527623277542,0.9523675513530107,0.21381812885032045,mf_wrapper_plus_spy_70_30_v1,0.0,0.0,0.020608425410925113,not_supported,complete,240,-176.95584134547198,2823.044158654528
0.0,83.73294395759332,3321.934012917952,81.0,,3194.3439632285904,3244.828847701587,3083.732943957593,3110.813883091646,60,0.30416666666666664,-111.9034393336874,-299.1749020355137,110.81388309164595,0.9902634248908786,0.37039832665673184,mf_wrapper_plus_spy_70_30_v1,0.029166666666666667,0.0,0.03693796103054858,not_supported,complete,240,-229.79140758398216,2770.208592416018
