run_id,lane,strategy,instrument_family,credibility_tier,data_source,start_date,end_date,starting_equity,target_300_equity,target_400_equity,absolute_stop_equity,trailing_drawdown_dollars,project_stop_mode,leverage_model,leverage_multiplier,standard_or_stress,cost_model,spread_slippage_per_side,financing_cost_assumption,unconditional_final_equity,stop_enforced_final_equity,total_return_unconditional,total_return_stop_enforced,max_equity,min_equity,max_drawdown_dollars,max_drawdown_pct,absolute_floor_stop_hit,trailing_drawdown_stop_hit,any_project_stop_hit,first_project_stop_date,first_project_stop_type,equity_at_first_project_stop,target_300_hit,target_300_before_stop,target_300_first_date,target_400_hit,target_400_before_stop,target_400_first_date,days_to_target_300,days_to_target_400,days_to_first_stop,time_in_market,number_of_trades_or_rebalances,turnover_estimate,benchmark_name,benchmark_stop_enforced_final_equity,benchmark_target_300_before_stop,benchmark_target_400_before_stop,result_status,audit_verdict,main_failure_mode,notes
20260531_033011,etf_validated_lane,current_no_cash_proxy_alpha_AB,daily_etf,ETF evidence lane; not a real-money recommendation,existing_evidence_latest,from_existing_evidence,from_existing_evidence,3000.0,3300.0,3400.0,2400.0,600.0,both,none,1.0,standard,spread_slippage_per_side,0.0005,0.0,3392.201266116984,3402.011905114574,0.130733755372328,0.13400396837152462,4002.011905114574,3392.2012661169842,-609.8106389975896,-0.1523760182267952,False,True,True,2016-01-04,trailing_drawdown,3402.011905114574,True,True,,True,True,,,,,,190.0,,SPY_200d_trend_model,,False,False,watchlist,watchlist,project stop hit,Loaded from evidence/latest/strategy_variant_results.csv; stop equity is approximated from summary drawdown because variant equity curves are not in compact evidence.
20260531_033011,etf_validated_lane,current_no_cash_proxy_alpha_AB,daily_etf,ETF evidence lane; not a real-money recommendation,existing_evidence_latest,from_existing_evidence,from_existing_evidence,3000.0,3300.0,3400.0,2400.0,600.0,both,none,1.0,stress,spread_slippage_per_side,0.001,0.0,3239.9316755965556,3264.3987370391933,0.07997722519885175,0.08813291234639786,3864.3987370391933,3239.9316755965574,-624.4670614426359,-0.161594882913425,False,True,True,2015-12-03,trailing_drawdown,3264.3987370391933,True,True,,True,True,,,,,,188.0,,SPY_200d_trend_model,,False,False,watchlist,watchlist,project stop hit,Loaded from evidence/latest/strategy_variant_results.csv; stop equity is approximated from summary drawdown because variant equity curves are not in compact evidence.
20260531_033011,etf_validated_lane,current_core_only_AB,daily_etf,ETF evidence lane; not a real-money recommendation,existing_evidence_latest,from_existing_evidence,from_existing_evidence,3000.0,3300.0,3400.0,2400.0,600.0,both,none,1.0,standard,spread_slippage_per_side,0.0005,0.0,3305.9478457759783,3307.224537033232,0.10198261525865937,0.10240817901107735,3907.224537033232,3305.94784577598,-601.276691257252,-0.1538884406458512,False,True,True,2016-05-17,trailing_drawdown,3307.224537033232,True,True,,True,True,,,,,,198.0,,SPY_200d_trend_model,,False,False,watchlist,watchlist,project stop hit,Loaded from evidence/latest/strategy_variant_results.csv; stop equity is approximated from summary drawdown because variant equity curves are not in compact evidence.
20260531_033011,etf_validated_lane,current_core_only_AB,daily_etf,ETF evidence lane; not a real-money recommendation,existing_evidence_latest,from_existing_evidence,from_existing_evidence,3000.0,3300.0,3400.0,2400.0,600.0,both,none,1.0,stress,spread_slippage_per_side,0.001,0.0,3159.6287668532505,3166.8679037572547,0.05320958895108352,0.05562263458575156,3766.8679037572547,3159.6287668532514,-607.2391369040033,-0.1612053176322732,False,True,True,2016-04-25,trailing_drawdown,3166.8679037572547,True,True,,True,True,,,,,,195.0,,SPY_200d_trend_model,,False,False,watchlist,watchlist,project stop hit,Loaded from evidence/latest/strategy_variant_results.csv; stop equity is approximated from summary drawdown because variant equity curves are not in compact evidence.
20260531_033011,etf_validated_lane,current_momentum_only_A,daily_etf,ETF evidence lane; not a real-money recommendation,existing_evidence_latest,from_existing_evidence,from_existing_evidence,3000.0,3300.0,3400.0,2400.0,600.0,both,none,1.0,standard,spread_slippage_per_side,0.0005,0.0,3409.440841137106,3410.2622537586967,0.13648028037903526,0.13675408458623228,4010.2622537586967,3409.440841137107,-600.8214126215898,-0.1498209779319191,False,True,True,2016-05-04,trailing_drawdown,3410.2622537586967,True,True,,True,True,,,,,,191.0,,SPY_200d_trend_model,,False,False,watchlist,watchlist,project stop hit,Loaded from evidence/latest/strategy_variant_results.csv; stop equity is approximated from summary drawdown because variant equity curves are not in compact evidence.
20260531_033011,etf_validated_lane,current_momentum_only_A,daily_etf,ETF evidence lane; not a real-money recommendation,existing_evidence_latest,from_existing_evidence,from_existing_evidence,3000.0,3300.0,3400.0,2400.0,600.0,both,none,1.0,stress,spread_slippage_per_side,0.001,0.0,3268.951773593808,3271.667469057493,0.08965059119793595,0.09055582301916432,3871.667469057493,3268.9517735938084,-602.7156954636844,-0.1556734146929224,False,True,True,2016-03-14,trailing_drawdown,3271.667469057493,True,True,,True,True,,,,,,188.0,,SPY_200d_trend_model,,False,False,watchlist,watchlist,project stop hit,Loaded from evidence/latest/strategy_variant_results.csv; stop equity is approximated from summary drawdown because variant equity curves are not in compact evidence.
20260531_033011,etf_benchmark,SPY_buy_hold,daily_etf_benchmark,ETF benchmark,existing_evidence_latest,from_existing_evidence,from_existing_evidence,3000.0,3300.0,3400.0,2400.0,600.0,both,none,1.0,standard,spread_slippage_per_side,0.0005,0.0,5010.15508199935,2400.0,0.6700516939997834,-0.19999999999999996,3000.0,1444.4854632336558,-1555.5145367663442,-0.5185048455887814,True,True,True,,absolute_floor,2400.0,True,False,,True,False,,,,,,,,,,False,False,benchmark,benchmark_only,benchmark,Loaded from evidence/latest/benchmark_summary.csv; stop date unavailable in compact benchmark summary.
20260531_033011,etf_benchmark,BIL_cash_proxy,daily_etf_benchmark,ETF benchmark,existing_evidence_latest,from_existing_evidence,from_existing_evidence,3000.0,3300.0,3400.0,2400.0,600.0,both,none,1.0,standard,spread_slippage_per_side,0.0005,0.0,3043.2981690952124,3043.2981690952124,0.014432723031737371,0.014432723031737371,3065.88263998415,3042.1933127580246,-23.68932722612544,-0.0077267560464245,False,False,False,,,,False,False,,False,False,,,,,,,,,,False,False,benchmark,benchmark_only,benchmark,Loaded from evidence/latest/benchmark_summary.csv; stop date unavailable in compact benchmark summary.
20260531_033011,etf_benchmark,SPY_200d_trend_model,daily_etf_benchmark,ETF benchmark,existing_evidence_latest,from_existing_evidence,from_existing_evidence,3000.0,3300.0,3400.0,2400.0,600.0,both,none,1.0,standard,spread_slippage_per_side,0.0005,0.0,10872.794323983217,5896.3828320865,2.6242647746610723,0.9654609440288331,6496.3828320865,5867.078029944495,-629.3048021420045,-0.096870030355013,False,True,True,,trailing_drawdown,5896.3828320865,True,True,,True,True,,,,,,,,,,False,False,benchmark,benchmark_only,benchmark,Loaded from evidence/latest/benchmark_summary.csv; stop date unavailable in compact benchmark summary.
20260531_033011,crypto_spot_momentum,BTC_buy_hold,crypto_spot,Tier 1 exploratory screen,yfinance,2018-01-01,2026-05-31,3000.0,3300.0,3400.0,2400.0,600.0,both,none,1.0,standard,spread_slippage_per_side,0.001,0.0,16203.613106028823,3203.1665680656724,,,27378.703337131115,710.3530323809648,-13617.84323156678,-0.8153271113852913,True,True,True,2018-01-09,trailing_drawdown,3203.1665680656724,True,True,2018-01-03,True,True,2018-01-04,2.0,3.0,8.0,0.9996744791666666,1.0,1.0,BTC_buy_hold,3203.1665680656724,True,True,non_final,exploratory_only,project stop hit in exploratory lane,Crypto rows are Tier 1 exploratory and non-final. Raw OHLCV is excluded from challenge evidence.
20260531_033011,simulated_leverage_scenario,BTC_buy_hold,crypto_spot,Tier 1 exploratory screen; approximate simulated leverage,yfinance,2018-01-01,2026-05-31,3000.0,3300.0,3400.0,2400.0,600.0,both,approximate_simulated_leverage,1.5,standard,spread_slippage_per_side_plus_financing,0.0015,0.05,7762.493487394988,3462.17330909362,,,18327.616971705353,264.0600401292972,-12063.841022983666,-0.9388519030145902,True,True,True,2018-01-08,trailing_drawdown,3462.17330909362,True,True,2018-01-02,True,True,2018-01-02,1.0,1.0,7.0,0.9996744791666666,1.0,1.0,BTC_buy_hold,3203.1665680656724,True,True,exploratory,too_risky,simulated leverage increased stop risk,Crypto rows are Tier 1 exploratory and non-final. Raw OHLCV is excluded from challenge evidence.
20260531_033011,simulated_leverage_scenario,BTC_buy_hold,crypto_spot,Tier 1 exploratory screen; approximate simulated leverage,yfinance,2018-01-01,2026-05-31,3000.0,3300.0,3400.0,2400.0,600.0,both,approximate_simulated_leverage,2.0,standard,spread_slippage_per_side_plus_financing,0.002,0.08,1012.8060508815314,3569.8225009649327,,,5693.366598397999,63.74915819212379,-5562.15697622001,-0.9867820255409341,True,True,True,2018-01-08,trailing_drawdown,3569.8225009649327,True,True,2018-01-02,True,True,2018-01-02,1.0,1.0,7.0,0.9996744791666666,1.0,1.0,BTC_buy_hold,3203.1665680656724,True,True,exploratory,too_risky,simulated leverage increased stop risk,Crypto rows are Tier 1 exploratory and non-final. Raw OHLCV is excluded from challenge evidence.
20260531_033011,crypto_spot_momentum,ETH_buy_hold,crypto_spot,Tier 1 exploratory screen,yfinance,2018-01-01,2026-05-31,3000.0,3300.0,3400.0,2400.0,600.0,both,none,1.0,standard,spread_slippage_per_side,0.001,0.0,7859.808635803201,4087.6789901723732,,,18742.707436486246,327.0651427390527,-14813.276440707225,-0.9396254038538313,True,True,True,2018-01-16,trailing_drawdown,4087.6789901723732,True,True,2018-01-02,True,True,2018-01-02,1.0,1.0,15.0,0.9996744791666666,1.0,1.0,BTC_buy_hold,3203.1665680656724,True,True,non_final,exploratory_only,project stop hit in exploratory lane,Crypto rows are Tier 1 exploratory and non-final. Raw OHLCV is excluded from challenge evidence.
20260531_033011,simulated_leverage_scenario,ETH_buy_hold,crypto_spot,Tier 1 exploratory screen; approximate simulated leverage,yfinance,2018-01-01,2026-05-31,3000.0,3300.0,3400.0,2400.0,600.0,both,approximate_simulated_leverage,1.5,standard,spread_slippage_per_side_plus_financing,0.0015,0.05,953.4569387549438,5350.308214579455,,,9374.991359878153,59.577596522501786,-8671.554621772693,-0.9915699850444797,True,True,True,2018-01-11,trailing_drawdown,5350.308214579455,True,True,2018-01-02,True,True,2018-01-02,1.0,1.0,10.0,0.9996744791666666,1.0,1.0,BTC_buy_hold,3203.1665680656724,True,True,exploratory,too_risky,simulated leverage increased stop risk,Crypto rows are Tier 1 exploratory and non-final. Raw OHLCV is excluded from challenge evidence.
20260531_033011,simulated_leverage_scenario,ETH_buy_hold,crypto_spot,Tier 1 exploratory screen; approximate simulated leverage,yfinance,2018-01-01,2026-05-31,3000.0,3300.0,3400.0,2400.0,600.0,both,approximate_simulated_leverage,2.0,standard,spread_slippage_per_side_plus_financing,0.002,0.08,12.742557190502593,6298.698288895799,,,9054.287767652095,2.974823330075175,-9051.31294432202,-0.9996714459042596,True,True,True,2018-01-11,trailing_drawdown,6298.698288895799,True,True,2018-01-02,True,True,2018-01-02,1.0,1.0,10.0,0.9996744791666666,1.0,1.0,BTC_buy_hold,3203.1665680656724,True,True,exploratory,too_risky,simulated leverage increased stop risk,Crypto rows are Tier 1 exploratory and non-final. Raw OHLCV is excluded from challenge evidence.
20260531_033011,crypto_spot_momentum,crypto_buy_hold_equal_weight,crypto_spot,Tier 1 exploratory screen,yfinance,2018-01-01,2026-05-31,3000.0,3300.0,3400.0,2400.0,600.0,both,none,1.0,standard,spread_slippage_per_side,0.001,0.0,13631.22962097375,2332.791886831467,,,26753.55271440317,477.8800798579503,-14868.296730511116,-0.8407066400473499,True,True,True,2018-02-04,absolute_floor,2332.791886831467,True,False,2020-11-30,True,False,2020-12-16,1064.0,1080.0,34.0,0.9899088541666666,2.0,1.0,BTC_buy_hold,3203.1665680656724,True,True,non_final,exploratory_only,project stop hit in exploratory lane,Crypto rows are Tier 1 exploratory and non-final. Raw OHLCV is excluded from challenge evidence.
20260531_033011,simulated_leverage_scenario,crypto_buy_hold_equal_weight,crypto_spot,Tier 1 exploratory screen; approximate simulated leverage,yfinance,2018-01-01,2026-05-31,3000.0,3300.0,3400.0,2400.0,600.0,both,approximate_simulated_leverage,1.5,standard,spread_slippage_per_side_plus_financing,0.0015,0.05,4570.157519361164,2298.0070766397916,,,14599.66847736238,146.28388280320627,-13288.646008103164,-0.9512387057322645,True,True,True,2018-02-02,absolute_floor,2298.0070766397916,True,False,2021-01-05,True,False,2021-01-05,1100.0,1100.0,32.0,0.9899088541666666,2.0,1.0,BTC_buy_hold,3203.1665680656724,True,True,exploratory,too_risky,simulated leverage increased stop risk,Crypto rows are Tier 1 exploratory and non-final. Raw OHLCV is excluded from challenge evidence.
