run_id,experiment_id,display_name,experiment_type,family_group,strategy_family,evidence_tier,run_status,starting_equity,independent_account,shared_capital,standard_or_stress,final_validation_completed,sampled_results_are_final,unconditional_final_equity,stop_enforced_final_equity,total_return_unconditional,total_return_stop_enforced,max_equity,min_equity,max_drawdown_dollars,max_drawdown_pct,any_project_stop_hit,first_project_stop_date,target_300_before_stop,target_400_before_stop,target_600_before_stop,target_900_before_stop,target_1200_before_stop,days_to_target_300,days_to_target_400,days_to_target_600,days_to_target_900,days_to_target_1200,stress_degradation,run_validation_scope,selected_horizons,omitted_horizons,selected_horizons_completed,full_horizon_validation_completed,candidate_exhaustive_completed,reduced_validation,reduced_validation_reason,evidence_finality,risk_framework_verdict,profit_verdict,promotion_blockers,notes,accounting_integrity_status,rolling_rebase_check_passed,buy_hold_reference_check_passed,combination_return_check_passed,profit_results_usable,integrity_error_count,integrity_notes,canonical_rule_hash,duplicate_of,duplicate_status,qqq_selection_frequency,spy_selection_frequency,gld_selection_frequency,ief_selection_frequency,bil_allocation_frequency,max_single_asset_allocation,qqq_allocation_share,equity_asset_allocation_share,defensive_asset_allocation_share,concentration_warning,equity_beta_duplicate_warning,mtum_selection_frequency,vtv_selection_frequency,qual_selection_frequency,usmv_selection_frequency,mtum_allocation_share,vtv_allocation_share,qual_allocation_share,usmv_allocation_share,spy_allocation_share,bil_allocation_share,max_single_etf_allocation,equity_factor_allocation_share,cash_treasury_allocation_share,xlb_selection_frequency,xle_selection_frequency,xlf_selection_frequency,xli_selection_frequency,xlk_selection_frequency,xlp_selection_frequency,xlu_selection_frequency,xlv_selection_frequency,xly_selection_frequency,xlb_allocation_share,xle_allocation_share,xlf_allocation_share,xli_allocation_share,xlk_allocation_share,xlp_allocation_share,xlu_allocation_share,xlv_allocation_share,xly_allocation_share,equity_sector_allocation_share,max_single_sector_allocation,top_sector_dominance,sector_turnover,required_label,wrapper_proxy_warning,short_history_warning,dbmf_selection_frequency,kmlm_selection_frequency,dbmf_allocation_share,kmlm_allocation_share,max_single_proxy_allocation,proxy_concentration_warning,too_slow_warning,wrapper_proxy_only_warning,direct_futures_claim_disallowed,correlation_to_combo_if_available,correlation_to_top2_if_available,correlation_to_spy200d_if_available,drawdown_coincidence_warning_if_available,fixed_combination_batch_warning,component_combo_allocation_share,component_top2_allocation_share,component_managed_futures_allocation_share,max_single_sleeve_allocation,duplicate_correlation_warning,correlation_diagnostics_status,drawdown_coincidence_diagnostics_status
20260606_153017,SPY_200d_trend_model,SPY 200-Day Trend Model,exact_family,broad_etf_trend,absolute_trend,tier3_candidate_validation,completed,3000.0,True,False,standard,False,False,14398.18366100178,2998.7910372983606,3.79939455366726,-0.0004029875672131311,14398.18366100178,2562.098542934538,-1966.9698800688138,0.1366123621131777,True,2010-06-21,True,True,False,False,False,751,805,1577,1656.0,1755.0,55.77808893374731,all_horizons,"30,60,90,180",,False,False,False,False,,sampled_non_final,watchlist,too_risky,research_only;no_real_money_recommendation,"computed from cached adjusted SPY/BIL prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable",passed,True,True,True,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable",,,canonical_unique,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,False,False,False,False,,,,False,False,,,,,False,not_applicable,not_applicable
20260606_153017,SPY_200d_trend_model,SPY 200-Day Trend Model,exact_family,broad_etf_trend,absolute_trend,tier3_candidate_validation,completed,3000.0,True,False,stress,False,False,12954.755340612995,2943.0129483646133,3.3182517802043314,-0.01899568387846229,12954.755340612995,2522.6752336935065,-1983.799242921581,0.15313289913722997,True,2010-06-07,True,True,False,False,False,759,810,1601,1717.0,1823.0,55.77808893374731,all_horizons,"30,60,90,180",,False,False,False,False,,sampled_non_final,watchlist,too_risky,research_only;no_real_money_recommendation,"computed from cached adjusted SPY/BIL prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable",passed,True,True,True,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable",,,canonical_unique,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,False,False,False,False,,,,False,False,,,,,False,not_applicable,not_applicable
20260606_153017,SPY_buy_hold,SPY Buy And Hold,benchmark_family,broad_etf_buy_hold,buy_and_hold,benchmark,completed,3000.0,True,False,standard,False,False,22894.90626489561,2754.2753996929423,6.63163542163187,-0.08190820010235256,22894.90626489561,1507.459123637637,-3429.4152178529293,0.14978944129206576,True,2008-07-02,True,False,False,False,False,131,1431,1525,1594.0,1689.0,0.0,all_horizons,"30,60,90,180",,False,False,False,False,,sampled_non_final,watchlist,too_risky,research_only;no_real_money_recommendation,"computed from cached adjusted SPY prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable",passed,True,True,True,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable",,,canonical_unique,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,False,False,False,False,,,,False,False,,,,,False,not_applicable,not_applicable
20260606_153017,SPY_buy_hold,SPY Buy And Hold,benchmark_family,broad_etf_buy_hold,buy_and_hold,benchmark,completed,3000.0,True,False,stress,False,False,22894.90626489561,2754.2753996929423,6.63163542163187,-0.08190820010235256,22894.90626489561,1507.459123637637,-3429.4152178529293,0.14978944129206576,True,2008-07-02,True,False,False,False,False,131,1431,1525,1594.0,1689.0,0.0,all_horizons,"30,60,90,180",,False,False,False,False,,sampled_non_final,watchlist,too_risky,research_only;no_real_money_recommendation,"computed from cached adjusted SPY prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable",passed,True,True,True,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable",,,canonical_unique,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,False,False,False,False,,,,False,False,,,,,False,not_applicable,not_applicable
20260606_153017,GLD_buy_hold,GLD Buy And Hold,benchmark_family,gold_commodity_etf,buy_and_hold,benchmark,completed,3000.0,True,False,standard,False,False,20092.485707747644,4133.42963586178,5.6974952359158815,0.37780987862059345,23887.283411187163,2898.3622036749475,-4588.631074911653,0.19209514099718233,True,2008-04-29,True,True,True,True,True,74,177,197,213.0,257.0,0.0,all_horizons,"30,60,90,180",,False,False,False,False,,sampled_non_final,watchlist,too_risky,research_only;no_real_money_recommendation,"computed from cached adjusted GLD prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable",passed,True,True,True,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable",,,canonical_unique,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,False,False,False,False,,,,False,False,,,,,False,not_applicable,not_applicable
20260606_153017,GLD_buy_hold,GLD Buy And Hold,benchmark_family,gold_commodity_etf,buy_and_hold,benchmark,completed,3000.0,True,False,stress,False,False,20092.485707747644,4133.42963586178,5.6974952359158815,0.37780987862059345,23887.283411187163,2898.3622036749475,-4588.631074911653,0.19209514099718233,True,2008-04-29,True,True,True,True,True,74,177,197,213.0,257.0,0.0,all_horizons,"30,60,90,180",,False,False,False,False,,sampled_non_final,watchlist,too_risky,research_only;no_real_money_recommendation,"computed from cached adjusted GLD prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable",passed,True,True,True,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable",,,canonical_unique,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,False,False,False,False,,,,False,False,,,,,False,not_applicable,not_applicable
20260606_153017,BIL_cash_proxy,BIL Cash Proxy,benchmark_family,cash_treasury_proxy,cash_proxy,benchmark,completed,3000.0,True,False,standard,False,False,3870.861683204045,3870.861683204045,0.29028722773468174,0.29028722773468174,3880.9841263520625,2998.5,-24.504552555487408,0.006314004839416981,False,,True,True,True,False,False,3964,4163,4427,,,1.936399041138884,all_horizons,"30,60,90,180",,False,False,False,False,,sampled_non_final,watchlist,watchlist,research_only;no_real_money_recommendation,"computed from cached adjusted BIL prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable",passed,True,True,True,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable",,,canonical_unique,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,False,False,False,False,,,,False,False,,,,,False,not_applicable,not_applicable
20260606_153017,BIL_cash_proxy,BIL Cash Proxy,benchmark_family,cash_treasury_proxy,cash_proxy,benchmark,completed,3000.0,True,False,stress,False,False,3868.9252841629063,3868.9252841629063,0.2896417613876354,0.2896417613876354,3879.042663557473,2997.0,-24.49229415000036,0.006314004839415316,False,,True,True,True,False,False,3975,4164,4427,,,1.936399041138884,all_horizons,"30,60,90,180",,False,False,False,False,,sampled_non_final,watchlist,watchlist,research_only;no_real_money_recommendation,"computed from cached adjusted BIL prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable",passed,True,True,True,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable",,,canonical_unique,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,False,False,False,False,,,,False,False,,,,,False,not_applicable,not_applicable
20260606_153017,asset_class_tsmom_equal_weight_v1,Asset Class TSMOM Equal Weight,strategy_variant,multi_asset_etf,asset_class_time_series_momentum,tier2_credible_prototype,completed,3000.0,True,False,standard,False,False,13465.21293883946,2972.684575243292,3.4884043129464866,-0.00910514158556941,14256.974239769512,2878.0044112064043,-1713.569927232541,0.120191696948752,True,2008-08-14,True,True,False,False,False,259,285,701,826.0,969.0,6.924258373208886,all_horizons,"30,60,90,180",,False,False,False,False,,sampled_non_final,diagnostic_only,too_risky,research_only;no_real_money_recommendation,"predeclared asset-class TSMOM equal-weight eligible SPY/GLD/IEF with BIL fallback; all rolling windows rebased to $3,000; reference/combination checks passed where applicable",passed,True,True,True,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable",53e5237d0853d047a69f1dee02befbba0092e80aff46cadff10fef41b12b23ef,,canonical_unique,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,False,False,False,False,,,,False,False,,,,,False,not_applicable,not_applicable
20260606_153017,asset_class_tsmom_equal_weight_v1,Asset Class TSMOM Equal Weight,strategy_variant,multi_asset_etf,asset_class_time_series_momentum,tier2_credible_prototype,completed,3000.0,True,False,stress,False,False,12913.166925628046,2965.760316870083,3.3043889752093483,-0.011413227709972329,13683.994526677881,2868.4335640813892,-1697.2141108010255,0.12402914276910816,True,2008-08-14,True,True,False,False,False,259,289,704,838.0,1038.0,6.924258373208886,all_horizons,"30,60,90,180",,False,False,False,False,,sampled_non_final,diagnostic_only,too_risky,research_only;no_real_money_recommendation,"predeclared asset-class TSMOM equal-weight eligible SPY/GLD/IEF with BIL fallback; all rolling windows rebased to $3,000; reference/combination checks passed where applicable",passed,True,True,True,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable",53e5237d0853d047a69f1dee02befbba0092e80aff46cadff10fef41b12b23ef,,canonical_unique,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,False,False,False,False,,,,False,False,,,,,False,not_applicable,not_applicable
