id,version,current_tier,status,promotion_requirements,risk_framework_status,paper_forward_allowed_by_risk_framework,promotion_blockers,next_possible_tier,current_blockers
SPY_200d_trend_model,v1,tier4_paper_forward,active_observation,No promotion in current project; observe fixed rules only.,paper_forward_allowed,True,no_real_money_promotion;rules_frozen_observe_only,observe_only,no_real_money_promotion;rules_frozen_observe_only
current_no_cash_proxy_alpha_AB,v1,tier4_paper_forward,active_observation,No rule changes during observation; improvements require new version id.,paper_forward_allowed,True,no_real_money_promotion;rules_frozen_observe_only,observe_only,no_real_money_promotion;rules_frozen_observe_only
SPY_buy_hold,v1,benchmark,benchmark,Benchmark only; no promotion.,benchmark_allowed,True,benchmark_only;no_real_money_promotion,none,benchmark_only;no_real_money_promotion
BIL_cash_proxy,v1,benchmark,benchmark,Benchmark only; no promotion.,benchmark_allowed,True,benchmark_only;no_real_money_promotion,none,benchmark_only;no_real_money_promotion
SPY_200d_trend_model_sim_1_25x_v1,v1,tier1_exploratory,too_risky,Not eligible without separate Tier 2 leverage feasibility review and fixed risk model.,,,,tier2_credible_prototype_after_review,too_risky;tier1_exploratory;nan
SPY_200d_trend_model_sim_1_5x_v1,v1,tier1_exploratory,too_risky,Not eligible without separate Tier 2 leverage feasibility review and fixed risk model.,,,,tier2_credible_prototype_after_review,too_risky;tier1_exploratory;nan
SPY_buy_hold_sim_1_25x_v1,v1,tier1_exploratory,too_risky,Not eligible without separate Tier 2 leverage feasibility review and fixed risk model.,,,,tier2_credible_prototype_after_review,too_risky;tier1_exploratory;nan
SPY_buy_hold_sim_1_5x_v1,v1,tier1_exploratory,too_risky,Not eligible without separate Tier 2 leverage feasibility review and fixed risk model.,,,,tier2_credible_prototype_after_review,too_risky;tier1_exploratory;nan
SPY_200d_exposure_frontier_1_05x_v1,v1,tier1_exploratory,too_risky,Not eligible without separate Tier 2 exposure feasibility review and fixed risk model.,,,,tier2_credible_prototype_after_review,too_risky;tier1_exploratory;nan
SPY_200d_exposure_frontier_1_10x_v1,v1,tier1_exploratory,too_risky,Not eligible without separate Tier 2 exposure feasibility review and fixed risk model.,,,,tier2_credible_prototype_after_review,too_risky;tier1_exploratory;nan
SPY_200d_exposure_frontier_1_15x_v1,v1,tier1_exploratory,too_risky,Not eligible without separate Tier 2 exposure feasibility review and fixed risk model.,,,,tier2_credible_prototype_after_review,too_risky;tier1_exploratory;nan
SPY_200d_exposure_frontier_1_20x_v1,v1,tier1_exploratory,too_risky,Not eligible without separate Tier 2 exposure feasibility review and fixed risk model.,,,,tier2_credible_prototype_after_review,too_risky;tier1_exploratory;nan
SPY_200d_exposure_frontier_1_25x_v1,v1,tier1_exploratory,too_risky,Not eligible without separate Tier 2 exposure feasibility review and fixed risk model.,,,,tier2_credible_prototype_after_review,too_risky;tier1_exploratory;nan
SPY_200d_vol_target_12_cap_1_00_v1,v1,tier1_exploratory,exploratory_only,"Tier 2 review would require fixed-rule evidence, benchmark comparison, stress survival, and no parameter tuning.",diagnostic_only,False,tier1_exploratory;risk_control_diagnostic;not_paper_forward_allowed,tier2_credible_prototype_after_review,tier1_exploratory;risk_control_diagnostic;not_paper_forward_allowed
SPY_200d_vol_target_12_cap_1_10_v1,v1,tier1_exploratory,exploratory_only,"Tier 2 review would require fixed-rule evidence, benchmark comparison, stress survival, and a credible exposure/financing model.",diagnostic_only,False,tier1_exploratory;risk_control_diagnostic;exposure_above_1x;not_paper_forward_allowed,tier2_credible_prototype_after_review,tier1_exploratory;risk_control_diagnostic;exposure_above_1x;not_paper_forward_allowed
portfolio_spy200d_100_v1,v1,tier3_candidate_validation,watchlist_diagnostic,Exact compact challenge evidence plus separate promotion review; no automatic paper-forward.,diagnostic_only,False,diagnostic_only;not_paper_forward_allowed;requires_separate_promotion,tier4_paper_forward_if_frozen,diagnostic_only;not_paper_forward_allowed;requires_separate_promotion
portfolio_spy200d_80_bil_20_v1,v1,tier3_candidate_validation,duplicate_or_near_duplicate,Exact compact challenge evidence plus separate promotion review; no automatic paper-forward.,diagnostic_only,False,diagnostic_only;not_paper_forward_allowed;requires_separate_promotion,tier4_paper_forward_if_frozen,diagnostic_only;not_paper_forward_allowed;requires_separate_promotion
portfolio_spy200d_70_bil_30_v1,v1,tier3_candidate_validation,duplicate_or_near_duplicate,Exact compact challenge evidence plus separate promotion review; no automatic paper-forward.,diagnostic_only,False,diagnostic_only;not_paper_forward_allowed;requires_separate_promotion,tier4_paper_forward_if_frozen,diagnostic_only;not_paper_forward_allowed;requires_separate_promotion
portfolio_spy200d_60_ief_20_bil_20_v1,v1,tier3_candidate_validation,too_slow,Exact compact challenge evidence plus separate promotion review; no automatic paper-forward.,diagnostic_only,False,diagnostic_only;not_paper_forward_allowed;requires_separate_promotion,tier4_paper_forward_if_frozen,diagnostic_only;not_paper_forward_allowed;requires_separate_promotion
portfolio_spy200d_70_gld_15_bil_15_v1,v1,tier3_candidate_validation,too_slow,Exact compact challenge evidence plus separate promotion review; no automatic paper-forward.,diagnostic_only,False,diagnostic_only;not_paper_forward_allowed;requires_separate_promotion,tier4_paper_forward_if_frozen,diagnostic_only;not_paper_forward_allowed;requires_separate_promotion
portfolio_spy200d_60_ief_20_gld_10_bil_10_v1,v1,tier3_candidate_validation,too_slow,Exact compact challenge evidence plus separate promotion review; no automatic paper-forward.,diagnostic_only,False,diagnostic_only;not_paper_forward_allowed;requires_separate_promotion,tier4_paper_forward_if_frozen,diagnostic_only;not_paper_forward_allowed;requires_separate_promotion
portfolio_spy200d_80_ab_20_v1,v1,tier2_credible_prototype,incomplete_evidence,Exact compact challenge evidence plus separate promotion review; no automatic paper-forward.,diagnostic_only,False,diagnostic_only;not_paper_forward_allowed;requires_separate_promotion,tier3_candidate_validation,diagnostic_only;not_paper_forward_allowed;requires_separate_promotion
portfolio_spy200d_70_ab_20_bil_10_v1,v1,tier2_credible_prototype,incomplete_evidence,Exact compact challenge evidence plus separate promotion review; no automatic paper-forward.,diagnostic_only,False,diagnostic_only;not_paper_forward_allowed;requires_separate_promotion,tier3_candidate_validation,diagnostic_only;not_paper_forward_allowed;requires_separate_promotion
