id,display_name,lane,instrument_family,strategy_family,version,parent_id,credibility_tier,status,role,rules_frozen,paper_forward_active,implementation_status,data_source,evidence_source,latest_evidence_path,latest_known_result_summary,allowed_next_action,forbidden_next_actions,promotion_requirements,demotion_or_kill_criteria,notes,risk_framework_status,paper_forward_allowed_by_risk_framework,promotion_blockers
SPY_200d_trend_model_sim_1_25x_v1,SPY 200-Day Trend Model Simulated 1.25x,compact_challenge,ETF simulated leverage,trend leverage diagnostic,v1,SPY_200d_trend_model,tier1_exploratory,too_risky,simulated_leverage_diagnostic,True,False,implemented_exploratory,existing_adjusted_etf_cache,compact_challenge_diagnostic,evidence/challenge_runs/latest/,"Target odds improved, but exact diagnostic showed worst 90-day drawdown beyond the -$600 risk budget.",audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_leverage_multiplier,Not eligible without separate Tier 2 leverage feasibility review and fixed risk model.,"Stop risk, drawdown, or stress degradation is materially worse than unlevered SPY_200d.","Diagnostic only; no real margin, liquidation, or leveraged product model.",,,
SPY_200d_trend_model_sim_1_5x_v1,SPY 200-Day Trend Model Simulated 1.5x,compact_challenge,ETF simulated leverage,trend leverage diagnostic,v1,SPY_200d_trend_model,tier1_exploratory,too_risky,simulated_leverage_diagnostic,True,False,implemented_exploratory,existing_adjusted_etf_cache,compact_challenge_diagnostic,evidence/challenge_runs/latest/,Approximate 1.5x return-multiplier diagnostic; expected higher stop-risk burden.,audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_leverage_multiplier,Not eligible without separate Tier 2 leverage feasibility review and fixed risk model.,"Stop risk, drawdown, or stress degradation remains materially worse than unlevered SPY_200d.",Diagnostic only; not a paper-forward or real-money candidate.,,,
SPY_buy_hold_sim_1_25x_v1,SPY Buy And Hold Simulated 1.25x,compact_challenge,ETF simulated leverage,buy_hold leverage diagnostic,v1,SPY_buy_hold,tier1_exploratory,too_risky,simulated_leverage_diagnostic,True,False,implemented_exploratory,existing_adjusted_etf_cache,compact_challenge_diagnostic,evidence/challenge_runs/latest/,Approximate buy-hold leverage diagnostic; benchmark stress scenario only.,audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_leverage_multiplier,Not eligible without separate Tier 2 leverage feasibility review and fixed risk model.,Drawdown or stop risk remains materially worse than unlevered benchmark.,Diagnostic only; buy-hold leverage must not be treated as a practical candidate.,,,
SPY_buy_hold_sim_1_5x_v1,SPY Buy And Hold Simulated 1.5x,compact_challenge,ETF simulated leverage,buy_hold leverage diagnostic,v1,SPY_buy_hold,tier1_exploratory,too_risky,simulated_leverage_diagnostic,True,False,implemented_exploratory,existing_adjusted_etf_cache,compact_challenge_diagnostic,evidence/challenge_runs/latest/,Approximate buy-hold leverage diagnostic; high-risk benchmark stress scenario only.,audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_leverage_multiplier,Not eligible without separate Tier 2 leverage feasibility review and fixed risk model.,Drawdown or stop risk remains materially worse than unlevered benchmark.,"Diagnostic only; no real margin, liquidation, or leveraged ETF path-dependency model.",,,
SPY_200d_exposure_frontier_1_05x_v1,SPY 200-Day Exposure Frontier 1.05x,compact_challenge,ETF simulated exposure,SPY_200d exposure frontier diagnostic,v1,SPY_200d_trend_model,tier1_exploratory,too_risky,risk_budget_diagnostic,True,False,implemented_exploratory,existing_adjusted_etf_cache,compact_challenge_exposure_frontier,evidence/challenge_runs/latest/,"Target odds improved, but diagnostic score favored 1.00x and drawdown/stop risk worsened.",audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_exposure_multiplier,Not eligible without separate Tier 2 exposure feasibility review and fixed risk model.,"Stop risk, overshoot, drawdown, or stress degradation is materially worse than unlevered SPY_200d.","Diagnostic only; no real margin, liquidation, or leveraged ETF path-dependency model.",,,
SPY_200d_exposure_frontier_1_10x_v1,SPY 200-Day Exposure Frontier 1.10x,compact_challenge,ETF simulated exposure,SPY_200d exposure frontier diagnostic,v1,SPY_200d_trend_model,tier1_exploratory,too_risky,risk_budget_diagnostic,True,False,implemented_exploratory,existing_adjusted_etf_cache,compact_challenge_exposure_frontier,evidence/challenge_runs/latest/,"Target odds improved, but stop-hit rate and worst drawdown worsened versus 1.00x.",audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_exposure_multiplier,Not eligible without separate Tier 2 exposure feasibility review and fixed risk model.,"Stop risk, overshoot, drawdown, or stress degradation is materially worse than unlevered SPY_200d.","Diagnostic only; no real margin, liquidation, or leveraged ETF path-dependency model.",,,
SPY_200d_exposure_frontier_1_15x_v1,SPY 200-Day Exposure Frontier 1.15x,compact_challenge,ETF simulated exposure,SPY_200d exposure frontier diagnostic,v1,SPY_200d_trend_model,tier1_exploratory,too_risky,risk_budget_diagnostic,True,False,implemented_exploratory,existing_adjusted_etf_cache,compact_challenge_exposure_frontier,evidence/challenge_runs/latest/,"Target odds improved, but stop-hit rate and worst drawdown worsened versus 1.00x.",audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_exposure_multiplier,Not eligible without separate Tier 2 exposure feasibility review and fixed risk model.,"Stop risk, overshoot, drawdown, or stress degradation is materially worse than unlevered SPY_200d.","Diagnostic only; no real margin, liquidation, or leveraged ETF path-dependency model.",,,
SPY_200d_exposure_frontier_1_20x_v1,SPY 200-Day Exposure Frontier 1.20x,compact_challenge,ETF simulated exposure,SPY_200d exposure frontier diagnostic,v1,SPY_200d_trend_model,tier1_exploratory,too_risky,risk_budget_diagnostic,True,False,implemented_exploratory,existing_adjusted_etf_cache,compact_challenge_exposure_frontier,evidence/challenge_runs/latest/,Pre-specified 1.20x exposure diagnostic; expected higher drawdown burden.,audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_exposure_multiplier,Not eligible without separate Tier 2 exposure feasibility review and fixed risk model.,"Stop risk, overshoot, drawdown, or stress degradation remains materially worse than unlevered SPY_200d.","Diagnostic only; no real margin, liquidation, or leveraged ETF path-dependency model.",,,
SPY_200d_exposure_frontier_1_25x_v1,SPY 200-Day Exposure Frontier 1.25x,compact_challenge,ETF simulated exposure,SPY_200d exposure frontier diagnostic,v1,SPY_200d_trend_model,tier1_exploratory,too_risky,risk_budget_diagnostic,True,False,implemented_exploratory,existing_adjusted_etf_cache,compact_challenge_exposure_frontier,evidence/challenge_runs/latest/,Pre-specified 1.25x exposure diagnostic; prior broad leverage check was too risky.,audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_exposure_multiplier,Not eligible without separate Tier 2 exposure feasibility review and fixed risk model.,"Stop risk, overshoot, drawdown, or stress degradation remains materially worse than unlevered SPY_200d.","Diagnostic only; no real margin, liquidation, or leveraged ETF path-dependency model.",,,
SPY_200d_vol_target_12_cap_1_00_v1,SPY 200-Day Vol Target 12% Cap 1.00,compact_challenge,ETF,SPY_200d volatility-control diagnostic,v1,SPY_200d_trend_model,tier1_exploratory,exploratory_only,risk_control_diagnostic,True,False,implemented_exploratory,existing_adjusted_etf_cache,compact_challenge_volatility_control_diagnostic,evidence/challenge_runs/latest/,Predeclared 12% target-volatility diagnostic with 60-day realized volatility and 1.00 cap.,run_challenge_audit,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_target_vol;tune_vol_window,"Tier 2 review would require fixed-rule evidence, benchmark comparison, stress survival, and no parameter tuning.","Target probability collapses, drawdown is not improved, or stress costs make it too slow.",Tier 1 diagnostic only; does not modify frozen SPY_200d_trend_model v1.,diagnostic_only,False,tier1_exploratory;risk_control_diagnostic;not_paper_forward_allowed
