experiment_id,display_name,standard_or_stress,run_status,stop_enforced_final_equity,max_drawdown_dollars,max_drawdown_pct,any_project_stop_hit,first_project_stop_date,target_300_before_stop,target_400_before_stop,target_600_before_stop,run_validation_scope,selected_horizons,omitted_horizons,selected_horizons_completed,full_horizon_validation_completed,candidate_exhaustive_completed,reduced_validation,reduced_validation_reason,risk_framework_verdict,profit_verdict,accounting_integrity_status,profit_results_usable,integrity_error_count,integrity_notes,notes
SPY_200d_trend_model,SPY 200-Day Trend Model,standard,completed,2966.663066194596,-2031.3188369707868,0.14066911712497124,True,2010-06-22,True,True,False,all_horizons,"30,60,90,180",,False,False,False,False,,watchlist,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","computed from cached adjusted SPY/BIL prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
SPY_200d_trend_model,SPY 200-Day Trend Model,stress,completed,2903.4862307113303,-2043.994597379662,0.157320017616912,True,2010-06-22,True,True,False,all_horizons,"30,60,90,180",,False,False,False,False,,watchlist,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","computed from cached adjusted SPY/BIL prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
SPY_buy_hold,SPY Buy And Hold,standard,completed,2754.2749378848903,-3429.4133706207394,0.14978936060895717,True,2008-07-02,True,False,False,all_horizons,"30,60,90,180",,False,False,False,False,,watchlist,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","computed from cached adjusted SPY prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
SPY_buy_hold,SPY Buy And Hold,stress,completed,2754.2749378848903,-3429.4133706207394,0.14978936060895717,True,2008-07-02,True,False,False,all_horizons,"30,60,90,180",,False,False,False,False,,watchlist,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","computed from cached adjusted SPY prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
GLD_buy_hold,GLD Buy And Hold,standard,completed,4133.42963586178,-4588.631074911653,0.19209514099718233,True,2008-04-29,True,True,True,all_horizons,"30,60,90,180",,False,False,False,False,,watchlist,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","computed from cached adjusted GLD prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
GLD_buy_hold,GLD Buy And Hold,stress,completed,4133.42963586178,-4588.631074911653,0.19209514099718233,True,2008-04-29,True,True,True,all_horizons,"30,60,90,180",,False,False,False,False,,watchlist,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","computed from cached adjusted GLD prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
IEF_buy_hold,IEF Buy And Hold,standard,completed,5665.2849136049645,-1507.5980099562457,0.23924748301860485,True,2022-03-14,True,True,True,all_horizons,"30,60,90,180",,False,False,False,False,,watchlist,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","computed from cached adjusted IEF prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
IEF_buy_hold,IEF Buy And Hold,stress,completed,5665.2849136049645,-1507.5980099562457,0.23924748301860485,True,2022-03-14,True,True,True,all_horizons,"30,60,90,180",,False,False,False,False,,watchlist,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","computed from cached adjusted IEF prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
BIL_cash_proxy,BIL Cash Proxy,standard,completed,3870.8587865925588,-24.50801348259529,0.006331415025390067,False,,True,True,True,all_horizons,"30,60,90,180",,False,False,False,False,,watchlist,watchlist,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","computed from cached adjusted BIL prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
BIL_cash_proxy,BIL Cash Proxy,stress,completed,3868.922389000432,-24.495753345813227,0.006331415025397268,False,,True,True,True,all_horizons,"30,60,90,180",,False,False,False,False,,watchlist,watchlist,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","computed from cached adjusted BIL prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
A_ETF_sector_momentum,A ETF Sector Momentum,standard,incomplete_evidence,,,,,,,,,all_horizons,"30,60,90,180",,,False,False,False,,incomplete_evidence,incomplete_evidence,not_applicable,False,0,exact fresh-window stream is not exposed in compact profit exploration; no summary-metric approximation used,exact fresh-window stream is not exposed in compact profit exploration; no summary-metric approximation used
current_no_cash_proxy_alpha_AB,Current No-Cash-Proxy Alpha A/B,standard,incomplete_evidence,,,,,,,,,all_horizons,"30,60,90,180",,,False,False,False,,incomplete_evidence,incomplete_evidence,not_applicable,False,0,exact fresh-window stream is not exposed in compact profit exploration; no summary-metric approximation used,exact fresh-window stream is not exposed in compact profit exploration; no summary-metric approximation used
GLD_200d_trend_model_v1,GLD 200-Day Trend Model,standard,completed,3436.925401181297,-2301.349858266441,0.19339143044946247,True,2008-05-01,True,True,True,all_horizons,"30,60,90,180",,False,False,False,False,,diagnostic_only,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","predeclared GLD 200-day trend model; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
GLD_200d_trend_model_v1,GLD 200-Day Trend Model,stress,completed,3431.8353686777223,-2509.8230016675,0.2449798082557984,True,2008-05-01,True,True,True,all_horizons,"30,60,90,180",,False,False,False,False,,diagnostic_only,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","predeclared GLD 200-day trend model; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
asset_class_tsmom_equal_weight_v1,Asset Class TSMOM Equal Weight,standard,completed,2972.6836808407793,-1713.5722522015349,0.12054544691680101,True,2008-08-14,True,True,False,all_horizons,"30,60,90,180",,False,False,False,False,,diagnostic_only,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","predeclared asset-class TSMOM equal-weight eligible SPY/GLD/IEF with BIL fallback; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
asset_class_tsmom_equal_weight_v1,Asset Class TSMOM Equal Weight,stress,completed,2965.7594250354964,-1697.221433450195,0.12439418786161721,True,2008-08-14,True,True,False,all_horizons,"30,60,90,180",,False,False,False,False,,diagnostic_only,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","predeclared asset-class TSMOM equal-weight eligible SPY/GLD/IEF with BIL fallback; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
asset_class_tsmom_top1_v1,Asset Class TSMOM Top 1,standard,completed,3178.702825215407,-3014.183003771257,0.25928446530535393,True,2008-08-11,True,True,True,all_horizons,"30,60,90,180",,False,False,False,False,,diagnostic_only,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","predeclared asset-class TSMOM top-1 SPY/GLD/IEF with BIL fallback; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
asset_class_tsmom_top1_v1,Asset Class TSMOM Top 1,stress,completed,3174.0081525857345,-2929.5862642641373,0.2682821086118774,True,2008-08-11,True,True,True,all_horizons,"30,60,90,180",,False,False,False,False,,diagnostic_only,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","predeclared asset-class TSMOM top-1 SPY/GLD/IEF with BIL fallback; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
asset_class_tsmom_top2_v1,Asset Class TSMOM Top 2,standard,completed,3014.744249794655,-2129.0798296959856,0.1288626592134632,True,2008-08-14,True,True,True,all_horizons,"30,60,90,180",,False,False,False,False,,diagnostic_only,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","predeclared asset-class TSMOM top-2 SPY/GLD/IEF with BIL fallback; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
asset_class_tsmom_top2_v1,Asset Class TSMOM Top 2,stress,completed,3008.7298940794885,-2048.62473961278,0.128862659213463,True,2008-08-14,True,True,True,all_horizons,"30,60,90,180",,False,False,False,False,,diagnostic_only,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","predeclared asset-class TSMOM top-2 SPY/GLD/IEF with BIL fallback; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
qqq_spy_gld_ief_dual_momentum_v1,QQQ/SPY/GLD/IEF Dual Momentum,standard,completed,2978.6672714261967,-3993.2174191537442,0.22113952434892664,True,2008-08-11,True,True,True,all_horizons,"30,60,90,180",,False,False,False,False,,diagnostic_only,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","predeclared QQQ/SPY/GLD/IEF dual momentum top-1 with BIL fallback; cache-only research_sample row; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
qqq_spy_gld_ief_dual_momentum_v1,QQQ/SPY/GLD/IEF Dual Momentum,stress,completed,2971.2848988806886,-3874.1077646179165,0.2299771668042014,True,2008-08-11,True,True,True,all_horizons,"30,60,90,180",,False,False,False,False,,diagnostic_only,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","predeclared QQQ/SPY/GLD/IEF dual momentum top-1 with BIL fallback; cache-only research_sample row; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
value_momentum_factor_etf_rotation_v1,Value/Momentum Factor ETF Rotation,standard,completed,3255.9916383136515,-2804.0809100928354,0.2072229569190518,True,2010-08-19,True,True,True,all_horizons,"30,60,90,180",,False,False,False,False,,diagnostic_only,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","predeclared value/momentum factor ETF top-2 rotation Option A with BIL fallback; cache-only research_sample row; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
value_momentum_factor_etf_rotation_v1,Value/Momentum Factor ETF Rotation,stress,completed,3238.0839382510144,-2712.9584345901276,0.21151160691562557,True,2010-08-19,True,True,True,all_horizons,"30,60,90,180",,False,False,False,False,,diagnostic_only,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","predeclared value/momentum factor ETF top-2 rotation Option A with BIL fallback; cache-only research_sample row; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
dual_momentum_SPY_GLD_IEF_v1,Dual Momentum SPY GLD IEF,standard,duplicate_skipped,,,,,,,,,all_horizons,"30,60,90,180",,,False,False,False,,duplicate_skipped,duplicate_skipped,not_applicable,False,0,duplicate canonical rule hash; duplicate_of=asset_class_tsmom_top1_v1,duplicate canonical rule hash; duplicate_of=asset_class_tsmom_top1_v1
IEF_200d_trend_model_v1,IEF 200-Day Trend Model,standard,completed,4063.5883580065115,-777.0784956998809,0.16576473108611073,True,2023-06-07,True,True,True,all_horizons,"30,60,90,180",,False,False,False,False,,diagnostic_only,watchlist,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","predeclared IEF 200-day trend model; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
IEF_200d_trend_model_v1,IEF 200-Day Trend Model,stress,completed,3085.4998934269192,-919.4558145574028,0.2175570707807322,True,2010-04-14,True,True,True,all_horizons,"30,60,90,180",,False,False,False,False,,diagnostic_only,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","predeclared IEF 200-day trend model; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
SPY_GLD_dual_momentum_v1,SPY GLD Dual Momentum,standard,completed,3178.702825215407,-3324.499482609241,0.21180339627214653,True,2008-08-11,True,True,True,all_horizons,"30,60,90,180",,False,False,False,False,,diagnostic_only,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","predeclared SPY/GLD dual momentum; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
SPY_GLD_dual_momentum_v1,SPY GLD Dual Momentum,stress,completed,3174.0081525857345,-3281.5887427642765,0.2188055592951118,True,2008-08-11,True,True,True,all_horizons,"30,60,90,180",,False,False,False,False,,diagnostic_only,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","predeclared SPY/GLD dual momentum; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
