experiment_id,display_name,standard_or_stress,run_status,stop_enforced_final_equity,max_drawdown_dollars,max_drawdown_pct,any_project_stop_hit,first_project_stop_date,target_300_before_stop,target_400_before_stop,target_600_before_stop,risk_framework_verdict,profit_verdict,accounting_integrity_status,profit_results_usable,integrity_error_count,integrity_notes,notes
SPY_200d_trend_model,SPY 200-Day Trend Model,standard,completed,2966.663066194596,-2031.3188369707868,0.14066911712497124,True,2010-06-22,True,True,False,watchlist,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","computed from cached adjusted SPY/BIL prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
SPY_200d_trend_model,SPY 200-Day Trend Model,stress,completed,2903.4862307113303,-2043.994597379662,0.157320017616912,True,2010-06-22,True,True,False,watchlist,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","computed from cached adjusted SPY/BIL prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
SPY_buy_hold,SPY Buy And Hold,standard,completed,2752.9007161024706,-3427.702294326209,0.14978936060895737,True,2008-07-02,True,False,False,watchlist,invalid_accounting,failed,False,1,buy-hold reference check failed,computed from cached adjusted SPY prices; buy-hold reference check failed
SPY_buy_hold,SPY Buy And Hold,stress,completed,2751.526494320048,-3425.991218031686,0.14978936060895712,True,2008-07-02,True,False,False,watchlist,invalid_accounting,failed,False,1,buy-hold reference check failed,computed from cached adjusted SPY prices; buy-hold reference check failed
GLD_buy_hold,GLD Buy And Hold,standard,completed,4131.341801422975,-4586.3133139167585,0.1920951409971819,True,2008-04-29,True,True,True,watchlist,invalid_accounting,failed,False,1,buy-hold reference check failed,computed from cached adjusted GLD prices; buy-hold reference check failed
GLD_buy_hold,GLD Buy And Hold,stress,completed,4129.253966984177,-4583.995552921868,0.19209514099718225,True,2008-04-29,True,True,True,watchlist,invalid_accounting,failed,False,1,buy-hold reference check failed,computed from cached adjusted GLD prices; buy-hold reference check failed
IEF_buy_hold,IEF Buy And Hold,standard,completed,5662.46251372709,-1506.8469366203026,0.23924748301860643,True,2022-03-14,True,True,True,watchlist,invalid_accounting,failed,False,1,buy-hold reference check failed,computed from cached adjusted IEF prices; buy-hold reference check failed
IEF_buy_hold,IEF Buy And Hold,stress,completed,5659.640113849184,-1506.0958632843422,0.2392474830186067,True,2022-03-14,True,True,True,watchlist,invalid_accounting,failed,False,1,buy-hold reference check failed,computed from cached adjusted IEF prices; buy-hold reference check failed
BIL_cash_proxy,BIL Cash Proxy,standard,completed,3870.8587865925588,-24.50801348259529,0.006331415025390067,False,,True,True,True,watchlist,invalid_accounting,failed,False,1,buy-hold reference check failed,computed from cached adjusted BIL prices; buy-hold reference check failed
BIL_cash_proxy,BIL Cash Proxy,stress,completed,3868.922389000432,-24.495753345813227,0.006331415025397268,False,,True,True,True,watchlist,invalid_accounting,failed,False,1,buy-hold reference check failed,computed from cached adjusted BIL prices; buy-hold reference check failed
A_ETF_sector_momentum,A ETF Sector Momentum,standard,incomplete_evidence,,,,,,,,,incomplete_evidence,incomplete_evidence,not_applicable,False,0,exact fresh-window stream is not exposed in compact profit exploration; no summary-metric approximation used,exact fresh-window stream is not exposed in compact profit exploration; no summary-metric approximation used
combo_SPY200d_GLD_50_50_v1,Combo SPY200d GLD 50/50,standard,completed,3052.376980583062,-2537.3297729012265,0.12672932196072312,True,2008-11-12,True,True,True,diagnostic_only,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","predeclared fixed monthly combination account using window-local sleeve returns; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
combo_SPY200d_GLD_50_50_v1,Combo SPY200d GLD 50/50,stress,completed,3029.588455879097,-2417.1678290157506,0.12717114541516242,True,2008-11-12,True,True,True,diagnostic_only,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","predeclared fixed monthly combination account using window-local sleeve returns; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
individual_stock_momentum,Individual Stock Momentum,standard,blocked_by_gate,,,,,,,,,blocked_by_gate,blocked_by_gate,not_applicable,False,0,Gate 1A continue_defer; no survivorship-free data/delisting treatment.,Gate 1A continue_defer; no survivorship-free data/delisting treatment.
