candidate_id,latest_verdict,deserves_candidate_exhaustive,recommended_next_action,risk_label,duplicate_label,paper_forward_active
qqq_spy_gld_ief_dual_momentum_v1,high_upside_high_risk,False,archive_reference_high_upside_high_risk,high_upside_high_drawdown_stop_risk,canonical_unique,false
value_momentum_factor_etf_rotation_v1,duplicate_or_near_duplicate,False,archive_reference_equity_beta_duplicate,equity_beta_duplicate_risk,canonical_unique,false
sector_top2_momentum_simple_v1,duplicate_or_near_duplicate,False,watchlist_only,equity_beta_duplicate_watchlist,canonical_unique,false
managed_futures_proxy_etf_trend_v1,too_slow,False,too_slow_watchlist_diversifier_only,too_slow_short_history_wrapper_proxy,canonical_unique,false
combo_SPY200d_GLD_50_50_v1,leading_profit_candidate,True,continue_promotion_review_path,drawdown_aware_practical_leader,canonical_unique,false
asset_class_tsmom_top2_v1,watchlist,True,maintain_serious_challenger_review,serious_challenger_uses_more_drawdown_budget,canonical_unique,false
SPY_200d_trend_model,watchlist,False,maintain_frozen_paper_forward_candidate,frozen_paper_forward_reference,canonical_unique,true
GLD_buy_hold,high_upside_high_risk,False,benchmark_high_upside_high_risk_only,high_upside_high_risk_benchmark,canonical_unique,false
SPY_buy_hold,too_risky,False,benchmark_too_risky_only,too_risky_benchmark,canonical_unique,true
BIL_cash_proxy,benchmark_only,False,benchmark_defensive_cash_only,defensive_too_slow_benchmark,canonical_unique,true
