id,version,parent_id,lane,strategy_family,status,rules_frozen,notes
SPY_200d_trend_model,v1,,paper_forward,absolute_trend,active_observation,True,Frozen paper-forward benchmark-like candidate; not real-money validated.
current_no_cash_proxy_alpha_AB,v1,,paper_forward,sector_momentum_plus_trend_following,active_observation,True,Frozen strategy-control row; A/B signal extraction may be limited in compact paper-forward packet.
SPY_buy_hold,v1,,paper_forward,buy_and_hold,benchmark,True,"Aggressive benchmark, not a strategy recommendation."
BIL_cash_proxy,v1,,paper_forward,cash_proxy,benchmark,True,Defensive comparator only.
SPY_200d_trend_model_sim_1_25x_v1,v1,SPY_200d_trend_model,compact_challenge,trend leverage diagnostic,exploratory_only,True,"Diagnostic only; no real margin, liquidation, or leveraged product model."
SPY_200d_trend_model_sim_1_5x_v1,v1,SPY_200d_trend_model,compact_challenge,trend leverage diagnostic,too_risky,True,Diagnostic only; not a paper-forward or real-money candidate.
SPY_buy_hold_sim_1_25x_v1,v1,SPY_buy_hold,compact_challenge,buy_hold leverage diagnostic,too_risky,True,Diagnostic only; buy-hold leverage must not be treated as a practical candidate.
SPY_buy_hold_sim_1_5x_v1,v1,SPY_buy_hold,compact_challenge,buy_hold leverage diagnostic,too_risky,True,"Diagnostic only; no real margin, liquidation, or leveraged ETF path-dependency model."
A_ETF_sector_momentum,v1,current_no_cash_proxy_alpha_AB,etf_research,cross_sectional_momentum,watchlist,True,Can be studied as comparator; current paper-forward version remains frozen.
B_ETF_trend_following,v1,current_no_cash_proxy_alpha_AB,etf_research,trend_following,watchlist,True,Comparator only unless a new version is proposed.
C_swing_trend_pullback,v1,,archive,swing_pullback,rejected,True,Must not be active paper-forward.
D_mean_reversion,v1,,archive,mean_reversion,rejected,True,Must not be active paper-forward.
E_breakout_vcb,v1,,archive,breakout,rejected,True,Must not be active paper-forward.
crypto_time_series_momentum,v1,,crypto_exploratory,time_series_momentum,exploratory_only,True,Exploratory only; no real-money conclusion.
crypto_dual_momentum_cash_filter,v1,,crypto_exploratory,dual_momentum,exploratory_only,True,Exploratory only.
crypto_cross_sectional_momentum,v1,,crypto_exploratory,cross_sectional_momentum,exploratory_only,True,Exploratory only.
crypto_buy_hold_equal_weight,v1,,crypto_exploratory,buy_and_hold,exploratory_only,True,Exploratory benchmark only.
crypto_simulated_leverage_1_5x,v1,crypto_buy_hold_equal_weight,crypto_exploratory,simulated_leverage_diagnostic,too_risky,True,Diagnostic only; not a strategy candidate.
crypto_simulated_leverage_2_0x,v1,crypto_buy_hold_equal_weight,crypto_exploratory,simulated_leverage_diagnostic,too_risky,True,Diagnostic only; not a strategy candidate.
individual_stock_momentum_gate1a,gate1a,,stock_memo,individual_stock_momentum,deferred,True,Implementation remains blocked.
options_directional_gate0_needed,memo_placeholder,,options_memo,directional_options,memo_only,True,Memo-only placeholder.
futures_trend_following_gate0_needed,memo_placeholder,,futures_memo,trend_following,memo_only,True,Memo-only placeholder.
forex_momentum_carry_gate0_needed,memo_placeholder,,forex_memo,momentum_carry,memo_only,True,Memo-only placeholder.
intraday_orb_gate0_needed,memo_placeholder,,intraday_memo,opening_range_breakout,memo_only,True,Memo-only placeholder.
volatility_products_gate0_needed,memo_placeholder,,volatility_memo,volatility,memo_only,True,Memo-only placeholder.
