reference_month,month_end_session,SPY,IYR,GSG,GLD,AGG,TIP
2006-08,2006-08-31,0.021822242901430311,0.029790288749586002,-0.071330028214478092,-0.013774523970655372,0.015909533458740466,0.016627938842489032
2006-09,2006-09-29,0.027001424483403369,0.02381081711128763,-0.10736264075143953,-0.045272108739386141,0.010114756664564073,0.0011083099870992097
2006-10,2006-10-31,0.031516987153903164,0.064808355016873653,-0.025433793738673605,0.012947712156690105,0.0068583607372278976,-0.00073412926298610515
2006-11,2006-11-30,0.019885407609935291,0.046257611593053083,0.049999981391720683,0.068891062343132026,0.010619107372326519,0.010723313706287652
2006-12,2006-12-29,0.013370909369370798,-0.017486856017937424,-0.069221825668952186,-0.018325831904969392,-0.0060050819523986831,-0.023038801581906743
2007-01,2007-01-31,0.017655762772535333,0.096580176727803613,-0.025455464575294795,0.02562890001654794,0.0026511400062136925,0.0023280924745572307
2007-02,2007-02-28,-0.019618060299551709,-0.035776973791223354,0.037131902465271427,0.025451202827030173,0.016254345814912918,0.019791732780457982
2007-03,2007-03-30,0.011589360256195835,-0.02527176550729926,0.024691358024691468,-0.011131249335096238,-0.0019518573729926381,0.0032566658370589696
2007-04,2007-04-30,0.044295134715725437,0.0029332599847613494,0.0045782801616620628,0.020535420109362379,0.0058972795108691578,0.0066450569878129251
2007-05,2007-05-31,0.033920731472460108,0.0015203794705165308,-0.011753367232197554,-0.023103227112383773,-0.0091716716835923418,-0.013114556429087099
2007-06,2007-06-29,-0.014621094462132667,-0.08710434725855043,0.031310701253377982,-0.019377544319808759,-0.003768781148814182,-0.0021473037504567971
2007-07,2007-07-31,-0.031310553182996692,-0.090674491908290467,0.047775916665252716,0.023650293322754035,0.010730926709332067,0.023006961837461981
2007-08,2007-08-31,0.012833355883461683,0.052556986916916459,-0.031895821407049385,0.011095846137414656,0.012795712903809653,0.0082210456113775976
2007-09,2007-09-28,0.03871424799589307,0.041223527205230148,0.094431550786898688,0.10508126647496829,0.0063280368020441902,0.012805568128141376
2007-10,2007-10-31,0.013566715176624333,0.0075845581935392037,0.05999580116409331,0.069514358071729898,0.010079314116761662,0.011661773483090387
2007-11,2007-11-30,-0.038732398034356685,-0.091239710099894622,-0.0045999908447265092,-0.016535271004099905,0.018035333375957752,0.041178252262868309
2007-12,2007-12-31,-0.011261357430350838,-0.050887775781925493,0.059674526690502105,0.066476971157987563,-9.3457311355682471e-05,0.00062363371937568246
2008-01,2008-01-31,-0.060460439687311518,0.0010656255292516015,-0.0045506573915181647,0.10841623260567879,0.023129982631977741,0.035727845719295992
2008-02,2008-02-29,-0.025842510146395381,-0.041965108307299936,0.11257142566499256,0.052297578769114894,-0.0016002688171701251,0.014227393309132585
