run_id,lane,strategy,leverage_multiplier,standard_or_stress,horizon,rolling_method,number_of_windows,possible_window_count,sampled_results_are_final,pct_target_300_hit,pct_target_300_before_stop,pct_target_400_hit,pct_target_400_before_stop,pct_any_project_stop_hit,pct_absolute_floor_stop_hit,pct_trailing_drawdown_stop_hit,median_final_equity,median_stop_enforced_final_equity,mean_stop_enforced_final_equity,median_max_drawdown,worst_max_drawdown,pct_positive_return,pct_loss,pct_below_2400,pct_above_3300,pct_above_3400,rolling_metric_quality,rolling_notes
20260531_150829,etf_validated_lane,current_no_cash_proxy_alpha_AB,1.0,standard,90,deterministic_stratified_sample,500,4541,False,0.186,0.186,0.048,0.048,0.0,0.0,0.0,3044.6855368332967,3044.6855368332967,3070.762834024583,-151.0928743684974,-341.37262661437035,0.592,0.336,0.0,0.098,0.022,sampled_existing_summary,Loaded from existing ETF independent rolling summary; not recomputed by compact challenge audit.
20260531_150829,etf_validated_lane,current_no_cash_proxy_alpha_AB,1.0,standard,180,deterministic_stratified_sample,500,4451,False,0.254,0.254,0.138,0.138,0.0,0.0,0.0,3090.122882435435,3090.122882435435,3091.571594081574,-184.06647101933663,-443.67370008246735,0.66,0.308,0.0,0.156,0.082,sampled_existing_summary,Loaded from existing ETF independent rolling summary; not recomputed by compact challenge audit.
20260531_150829,etf_validated_lane,current_no_cash_proxy_alpha_AB,1.0,stress,90,deterministic_stratified_sample,500,4541,False,0.156,0.156,0.052,0.052,0.0,0.0,0.0,3025.20759589318,3025.20759589318,3057.235020867985,-154.2438129178322,-340.7260525061538,0.558,0.37,0.0,0.064,0.02,sampled_existing_summary,Loaded from existing ETF independent rolling summary; not recomputed by compact challenge audit.
20260531_150829,etf_validated_lane,current_no_cash_proxy_alpha_AB,1.0,stress,180,deterministic_stratified_sample,500,4451,False,0.226,0.226,0.124,0.124,0.0,0.0,0.0,3061.09370807771,3061.09370807771,3068.0422126691506,-187.8803858550109,-447.8604894568748,0.614,0.354,0.0,0.124,0.062,sampled_existing_summary,Loaded from existing ETF independent rolling summary; not recomputed by compact challenge audit.
20260531_150829,etf_benchmark,SPY_buy_hold,1.0,standard,30,all_possible,4853,4853,True,0.0453327838450443,0.0453327838450443,0.01483618380383268,0.01483618380383268,0.018957345971563982,0.013805893261899856,0.018957345971563982,3060.473094126224,3060.3104252514827,3037.011256532155,-114.28945676509738,-1038.9222145998228,0.6696888522563363,0.3303111477436637,0.010921079744487945,0.030290541932825057,0.009684731094168555,exact,Computed from cached adjusted ETF benchmark equity curve.
20260531_150829,etf_benchmark,SPY_buy_hold,1.0,standard,60,all_possible,4823,4823,True,0.16483516483516483,0.1646278250051835,0.055152394775036286,0.055152394775036286,0.041675305826249225,0.03234501347708895,0.041675305826249225,3113.5238954059832,3112.260487487997,3074.4432110690373,-174.89368459068146,-1258.7595438343915,0.7250673854447439,0.2749326145552561,0.022185361808003318,0.11009744972009122,0.036284470246734396,exact,Computed from cached adjusted ETF benchmark equity curve.
20260531_150829,etf_benchmark,SPY_buy_hold,1.0,standard,90,all_possible,4793,4793,True,0.31879824744418944,0.3150427707072814,0.15147089505528896,0.14959315668683495,0.06426037972042561,0.04882119757980388,0.06426037972042561,3156.2288646920265,3152.5499343907036,3112.9949832373936,-221.20842090935275,-1329.5804799262269,0.7356561652409764,0.26434383475902357,0.02587106196536616,0.22094721468808678,0.10723972459837262,exact,Computed from cached adjusted ETF benchmark equity curve.
20260531_150829,etf_benchmark,SPY_buy_hold,1.0,standard,180,all_possible,4703,4703,True,0.6651073782691899,0.6425685732511163,0.48586008930469915,0.4714012332553689,0.15926004677865194,0.10099936210929195,0.15926004677865194,3308.765129147297,3293.381895322973,3214.411545950823,-328.42924234157454,-1572.233822713335,0.7261322560068042,0.27386774399319586,0.031681905166914735,0.49415266850946205,0.3504146289602382,exact,Computed from cached adjusted ETF benchmark equity curve.
20260531_150829,etf_benchmark,SPY_buy_hold,1.0,stress,30,all_possible,4853,4853,True,0.044508551411498044,0.044508551411498044,0.014218009478672985,0.014218009478672985,0.018957345971563982,0.013805893261899856,0.018957345971563982,3058.9447245792503,3058.788192739165,3035.4926934753294,-114.39092816950324,-1038.4174775258734,0.665567690088605,0.334432309911395,0.010921079744487945,0.02967236760766536,0.009478672985781991,exact,Computed from cached adjusted ETF benchmark equity curve.
20260531_150829,etf_benchmark,SPY_buy_hold,1.0,stress,60,all_possible,4823,4823,True,0.16276176653535143,0.1625544267053701,0.05432303545511093,0.05432303545511093,0.041675305826249225,0.032552353307070285,0.041675305826249225,3111.9568894795275,3110.7160467330996,3072.882802915772,-174.92228469779047,-1258.148003720961,0.7234086668048932,0.27659133319510676,0.022392701637984656,0.10885341074020319,0.03607713041675306,exact,Computed from cached adjusted ETF benchmark equity curve.
20260531_150829,etf_benchmark,SPY_buy_hold,1.0,stress,90,all_possible,4793,4793,True,0.31650323388274565,0.3131650323388275,0.1487586063008554,0.14688086793240143,0.06426037972042561,0.04902983517629877,0.06426037972042561,3154.6590230588235,3150.974831186248,3111.415187367163,-221.12614217003056,-1328.929268823561,0.7323179636970583,0.2676820363029418,0.026288337158355934,0.21865220112664302,0.1057792614229084,exact,Computed from cached adjusted ETF benchmark equity curve.
20260531_150829,etf_benchmark,SPY_buy_hold,1.0,stress,180,all_possible,4703,4703,True,0.6648947480331703,0.6423559430150968,0.48394641718052306,0.46948756113119283,0.15926004677865194,0.1012119923453115,0.15926004677865194,3307.10340436165,3291.7338536237016,3212.780610862734,-328.26630314638896,-1571.474610522894,0.7254943652987454,0.2745056347012545,0.03231979587497342,0.49138847544120773,0.34765043589198386,exact,Computed from cached adjusted ETF benchmark equity curve.
20260531_150829,etf_benchmark,SPY_200d_trend_model,1.0,standard,30,all_possible,4853,4853,True,0.00741809190191634,0.00741809190191634,0.00123634865031939,0.00123634865031939,0.0,0.0,0.0,3023.69960004554,3023.69960004554,3028.5227013875424,-78.96903466612912,-561.003611999457,0.6358953224809396,0.34906243560684114,0.0,0.005151452709664125,0.000618174325159695,exact,Computed from cached adjusted ETF benchmark equity curve.
20260531_150829,etf_benchmark,SPY_200d_trend_model,1.0,standard,60,all_possible,4823,4823,True,0.09620568111134149,0.09620568111134149,0.016587186398507155,0.016587186398507155,0.0,0.0,0.0,3063.3696282916126,3063.3696282916126,3059.1558153938277,-128.94799603618958,-578.5049525173449,0.6767572050590919,0.3143271822517106,0.0,0.06054323035455111,0.01036699149906697,exact,Computed from cached adjusted ETF benchmark equity curve.
20260531_150829,etf_benchmark,SPY_200d_trend_model,1.0,standard,90,all_possible,4793,4793,True,0.23805549760066763,0.23805549760066763,0.0986855831420822,0.0986855831420822,0.004590027122887545,0.002712288754433549,0.004590027122887545,3095.5867363347493,3095.5867363347493,3091.2657592857654,-167.57122114804224,-661.4912486768249,0.6755685374504485,0.3217191737951179,0.0025036511579386604,0.1652409764239516,0.06613811808887962,exact,Computed from cached adjusted ETF benchmark equity curve.
20260531_150829,etf_benchmark,SPY_200d_trend_model,1.0,standard,180,all_possible,4703,4703,True,0.5358281947692962,0.5358281947692962,0.3831596853072507,0.3831596853072507,0.04890495428449926,0.0027641930682543057,0.04890495428449926,3192.1476744786182,3192.1476744786182,3187.164121508026,-249.11839128223073,-743.032223591701,0.6706357644056985,0.3293642355943015,0.0025515628322347436,0.3959174994684244,0.28641292791835,exact,Computed from cached adjusted ETF benchmark equity curve.
20260531_150829,etf_benchmark,SPY_200d_trend_model,1.0,stress,30,all_possible,4853,4853,True,0.007212033793529775,0.007212033793529775,0.00123634865031939,0.00123634865031939,0.0,0.0,0.0,3020.654643521403,3020.654643521403,3025.287142600189,-79.44640253979878,-573.8314854051082,0.6173500927261488,0.367607665361632,0.0,0.005151452709664125,0.000618174325159695,exact,Computed from cached adjusted ETF benchmark equity curve.
20260531_150829,etf_benchmark,SPY_200d_trend_model,1.0,stress,60,all_possible,4823,4823,True,0.09288824383164006,0.09288824383164006,0.016172506738544475,0.016172506738544475,0.0,0.0,0.0,3060.2061161286124,3060.2061161286124,3054.0551449772406,-130.04277691704874,-591.7316642831893,0.6649388347501555,0.3261455525606469,0.0,0.05909185154468173,0.010159651669085631,exact,Computed from cached adjusted ETF benchmark equity curve.
20260531_150829,etf_benchmark,SPY_200d_trend_model,1.0,stress,90,all_possible,4793,4793,True,0.23638639682870854,0.23638639682870854,0.09576465679115377,0.09576465679115377,0.011475067807218861,0.004172751929897768,0.011475067807218861,3090.962480800366,3090.962480800366,3084.4742898321924,-169.58279143539312,-687.7452304026879,0.6655539328186939,0.3317337784268725,0.0014604631754642186,0.16294596286250781,0.06342582933444607,exact,Computed from cached adjusted ETF benchmark equity curve.
20260531_150829,etf_benchmark,SPY_200d_trend_model,1.0,stress,180,all_possible,4703,4703,True,0.528173506272592,0.528173506272592,0.37954497129491815,0.37954497129491815,0.05485860089304699,0.0044652349564108015,0.05485860089304699,3180.287552270429,3180.287552270429,3174.0596783076226,-257.0866076441789,-772.4956231342135,0.6521369338719966,0.3478630661280034,0.001488411652136934,0.38805018073570063,0.2813098022538805,exact,Computed from cached adjusted ETF benchmark equity curve.
20260531_150829,etf_benchmark,BIL_cash_proxy,1.0,standard,30,all_possible,4853,4853,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2999.4139832851906,2999.4139832851906,3003.069809939336,-1.8281577912484863,-24.674171298818692,0.4483824438491655,0.5365753142386153,0.0,0.0,0.0,exact,Computed from cached adjusted ETF benchmark equity curve.
20260531_150829,etf_benchmark,BIL_cash_proxy,1.0,standard,60,all_possible,4823,4823,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2999.813829670762,2999.813829670762,3007.7657306004758,-2.1536499702683614,-24.674171298818692,0.4849678623263529,0.5061165249844495,0.0,0.0,0.0,exact,Computed from cached adjusted ETF benchmark equity curve.
20260531_150829,etf_benchmark,BIL_cash_proxy,1.0,standard,90,all_possible,4793,4793,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.4623768570827,3000.4623768570827,3012.4618000339447,-2.1553560726774776,-24.674171298818692,0.5090757354475276,0.4882119757980388,0.0,0.0,0.0,exact,Computed from cached adjusted ETF benchmark equity curve.
20260531_150829,etf_benchmark,BIL_cash_proxy,1.0,standard,180,all_possible,4703,4703,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3002.4919525787805,3002.4919525787805,3026.1675489342347,-2.626019506024477,-24.674171298818692,0.5532638741229002,0.4467361258770997,0.0,0.0,0.0,exact,Computed from cached adjusted ETF benchmark equity curve.
20260531_150829,etf_benchmark,BIL_cash_proxy,1.0,stress,30,all_possible,4853,4853,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2997.91254373398,2997.91254373398,3001.590176598447,-3.327190113684992,-26.168074458362753,0.40201936946218836,0.5829383886255924,0.0,0.0,0.0,exact,Computed from cached adjusted ETF benchmark equity curve.
20260531_150829,etf_benchmark,BIL_cash_proxy,1.0,stress,60,all_possible,4823,4823,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2998.313189261706,2998.313189261706,3006.274553104145,-3.652923832286433,-26.168074458362753,0.4466099937798051,0.5444743935309974,0.0,0.0,0.0,exact,Computed from cached adjusted ETF benchmark equity curve.
20260531_150829,etf_benchmark,BIL_cash_proxy,1.0,stress,90,all_possible,4793,4793,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2998.9666284532236,2998.9666284532236,3010.9589631390636,-3.653743792343903,-26.168074458362753,0.4708950552889631,0.5263926559566033,0.0,0.0,0.0,exact,Computed from cached adjusted ETF benchmark equity curve.
20260531_150829,etf_benchmark,BIL_cash_proxy,1.0,stress,180,all_possible,4703,4703,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.990610833492,3000.990610833492,3024.653783376085,-3.9826774230677984,-26.168074458362753,0.5194556665957899,0.4805443334042101,0.0,0.0,0.0,exact,Computed from cached adjusted ETF benchmark equity curve.
