id,version,parent_id,lane,strategy_family,status,rules_frozen,notes
SPY_200d_trend_model,v1,,paper_forward,absolute_trend,active_observation,True,Frozen paper-forward benchmark-like candidate; not real-money validated.
current_no_cash_proxy_alpha_AB,v1,,paper_forward,sector_momentum_plus_trend_following,active_observation,True,Frozen strategy-control row; A/B signal extraction may be limited in compact paper-forward packet.
SPY_buy_hold,v1,,paper_forward,buy_and_hold,benchmark,True,"Aggressive benchmark, not a strategy recommendation."
BIL_cash_proxy,v1,,paper_forward,cash_proxy,benchmark,True,Defensive comparator only.
SPY_200d_trend_model_sim_1_25x_v1,v1,SPY_200d_trend_model,compact_challenge,trend leverage diagnostic,too_risky,True,"Diagnostic only; no real margin, liquidation, or leveraged product model."
SPY_200d_trend_model_sim_1_5x_v1,v1,SPY_200d_trend_model,compact_challenge,trend leverage diagnostic,too_risky,True,Diagnostic only; not a paper-forward or real-money candidate.
SPY_buy_hold_sim_1_25x_v1,v1,SPY_buy_hold,compact_challenge,buy_hold leverage diagnostic,too_risky,True,Diagnostic only; buy-hold leverage must not be treated as a practical candidate.
SPY_buy_hold_sim_1_5x_v1,v1,SPY_buy_hold,compact_challenge,buy_hold leverage diagnostic,too_risky,True,"Diagnostic only; no real margin, liquidation, or leveraged ETF path-dependency model."
SPY_200d_exposure_frontier_1_05x_v1,v1,SPY_200d_trend_model,compact_challenge,SPY_200d exposure frontier diagnostic,too_risky,True,"Diagnostic only; no real margin, liquidation, or leveraged ETF path-dependency model."
SPY_200d_exposure_frontier_1_10x_v1,v1,SPY_200d_trend_model,compact_challenge,SPY_200d exposure frontier diagnostic,too_risky,True,"Diagnostic only; no real margin, liquidation, or leveraged ETF path-dependency model."
SPY_200d_exposure_frontier_1_15x_v1,v1,SPY_200d_trend_model,compact_challenge,SPY_200d exposure frontier diagnostic,too_risky,True,"Diagnostic only; no real margin, liquidation, or leveraged ETF path-dependency model."
SPY_200d_exposure_frontier_1_20x_v1,v1,SPY_200d_trend_model,compact_challenge,SPY_200d exposure frontier diagnostic,too_risky,True,"Diagnostic only; no real margin, liquidation, or leveraged ETF path-dependency model."
SPY_200d_exposure_frontier_1_25x_v1,v1,SPY_200d_trend_model,compact_challenge,SPY_200d exposure frontier diagnostic,too_risky,True,"Diagnostic only; no real margin, liquidation, or leveraged ETF path-dependency model."
SPY_200d_vol_target_12_cap_1_00_v1,v1,SPY_200d_trend_model,compact_challenge,SPY_200d volatility-control diagnostic,exploratory_only,True,Tier 1 diagnostic only; does not modify frozen SPY_200d_trend_model v1.
