experiment_id,display_name,standard_or_stress,run_status,stop_enforced_final_equity,max_drawdown_dollars,max_drawdown_pct,any_project_stop_hit,first_project_stop_date,target_300_before_stop,target_400_before_stop,target_600_before_stop,risk_framework_verdict,profit_verdict,notes
SPY_200d_trend_model,SPY 200-Day Trend Model,standard,completed,2966.663066194596,-2031.3188369707868,0.14066911712497124,True,2010-06-22,True,True,False,watchlist,too_risky,computed from cached adjusted SPY/BIL prices
SPY_200d_trend_model,SPY 200-Day Trend Model,stress,completed,2903.4862307113303,-2043.994597379662,0.157320017616912,True,2010-06-22,True,True,False,watchlist,too_risky,computed from cached adjusted SPY/BIL prices
SPY_buy_hold,SPY Buy And Hold,standard,completed,2752.9007161024706,-3427.702294326209,0.14978936060895737,True,2008-07-02,True,False,False,watchlist,too_risky,computed from cached adjusted SPY prices
SPY_buy_hold,SPY Buy And Hold,stress,completed,2751.526494320048,-3425.991218031686,0.14978936060895712,True,2008-07-02,True,False,False,watchlist,too_risky,computed from cached adjusted SPY prices
GLD_buy_hold,GLD Buy And Hold,standard,completed,4131.341801422975,-4586.3133139167585,0.1920951409971819,True,2008-04-29,True,True,True,watchlist,too_risky,computed from cached adjusted GLD prices
GLD_buy_hold,GLD Buy And Hold,stress,completed,4129.253966984177,-4583.995552921868,0.19209514099718225,True,2008-04-29,True,True,True,watchlist,too_risky,computed from cached adjusted GLD prices
IEF_buy_hold,IEF Buy And Hold,standard,completed,5662.46251372709,-1506.8469366203026,0.23924748301860643,True,2022-03-14,True,True,True,watchlist,too_risky,computed from cached adjusted IEF prices
IEF_buy_hold,IEF Buy And Hold,stress,completed,5659.640113849184,-1506.0958632843422,0.2392474830186067,True,2022-03-14,True,True,True,watchlist,too_risky,computed from cached adjusted IEF prices
BIL_cash_proxy,BIL Cash Proxy,standard,completed,3870.8587865925588,-24.50801348259529,0.006331415025390067,False,,True,True,True,watchlist,watchlist,computed from cached adjusted BIL prices
BIL_cash_proxy,BIL Cash Proxy,stress,completed,3868.922389000432,-24.495753345813227,0.006331415025397268,False,,True,True,True,watchlist,watchlist,computed from cached adjusted BIL prices
A_ETF_sector_momentum,A ETF Sector Momentum,standard,incomplete_evidence,,,,,,,,,incomplete_evidence,incomplete_evidence,exact fresh-window stream is not exposed in compact profit exploration; no summary-metric approximation used
current_no_cash_proxy_alpha_AB,Current No-Cash-Proxy Alpha A/B,standard,incomplete_evidence,,,,,,,,,incomplete_evidence,incomplete_evidence,exact fresh-window stream is not exposed in compact profit exploration; no summary-metric approximation used
GLD_200d_trend_model_v1,GLD 200-Day Trend Model,standard,completed,3436.925401181297,-2301.349858266441,0.19339143044946247,True,2008-05-01,True,True,True,diagnostic_only,too_risky,predeclared GLD 200-day trend model
GLD_200d_trend_model_v1,GLD 200-Day Trend Model,stress,completed,3431.8353686777223,-2509.8230016675,0.2449798082557984,True,2008-05-01,True,True,True,diagnostic_only,too_risky,predeclared GLD 200-day trend model
IEF_200d_trend_model_v1,IEF 200-Day Trend Model,standard,completed,4063.5883580065115,-777.0784956998809,0.16576473108611073,True,2023-06-07,True,True,True,diagnostic_only,watchlist,predeclared IEF 200-day trend model
IEF_200d_trend_model_v1,IEF 200-Day Trend Model,stress,completed,3085.4998934269192,-919.4558145574028,0.2175570707807322,True,2010-04-14,True,True,True,diagnostic_only,too_risky,predeclared IEF 200-day trend model
SPY_GLD_dual_momentum_v1,SPY GLD Dual Momentum,standard,completed,3178.702825215407,-3324.499482609241,0.21180339627214653,True,2008-08-11,True,True,True,diagnostic_only,too_risky,predeclared SPY/GLD dual momentum
SPY_GLD_dual_momentum_v1,SPY GLD Dual Momentum,stress,completed,3174.0081525857345,-3281.5887427642765,0.2188055592951118,True,2008-08-11,True,True,True,diagnostic_only,too_risky,predeclared SPY/GLD dual momentum
