variant_name,slippage_label,horizon_trading_days,number_of_windows,median_final_equity,mean_final_equity,pct_windows_positive_return,pct_windows_loss,pct_windows_target_300_hit,pct_windows_target_300_before_stop,pct_windows_target_400_hit,pct_windows_target_400_before_stop,pct_windows_absolute_stop_hit,pct_windows_trailing_stop_hit,pct_windows_any_stop_hit,median_max_drawdown,worst_max_drawdown,median_number_of_trades,pct_windows_above_3300,pct_windows_above_3400,pct_windows_below_2400,10th_percentile_final_equity,25th_percentile_final_equity,75th_percentile_final_equity,90th_percentile_final_equity,possible_window_count,window_sampling_method
core_only_AB,standard,30,4601,3000.0,3008.9341649083194,0.46576831123668766,0.42316887633123235,0.008041730058682896,0.008041730058682896,0.0010867202782003911,0.0010867202782003911,0.0,0.0,0.0,-72.5061000081505,-302.09738416209893,7.0,0.0041295370571614864,0.00021734405564007825,0.0,2912.9836557315166,2958.6394610018315,3051.8295094831356,3116.660366085764,4601,all_possible
core_only_AB,standard,60,4571,3000.948029663892,3015.2470710298335,0.5022970903522205,0.4375410194705754,0.031284182892146135,0.031284182892146135,0.007000656311529206,0.007000656311529206,0.0,0.0,0.0,-108.37511111620051,-377.6328479125241,12.0,0.010063443447823233,0.0017501640778823015,0.0,2877.998827359592,2940.418748818299,3082.573232140923,3162.3207726520673,4571,all_possible
core_only_AB,standard,90,4541,3002.2556271744074,3017.8866055339568,0.5058357190046245,0.4569478088526756,0.07223078617044704,0.07223078617044704,0.016516185862144903,0.016516185862144903,0.0,0.0,0.0,-132.33384124506165,-406.0204244096831,17.0,0.026866329002422373,0.006386258533362696,0.0,2848.8606386034735,2931.9673154796565,3104.006806254086,3198.947456262478,4541,all_possible
core_only_AB,standard,180,4451,3018.5432933819566,3031.3361949803675,0.5295439227139969,0.4527072567962256,0.16850146034598967,0.16850146034598967,0.06874859582116379,0.06874859582116379,0.0,0.0,0.0,-201.0273230296707,-475.32995524359694,30.0,0.08133003819366434,0.030105594248483487,0.0,2766.8570736537076,2887.357549362004,3162.412772370775,3277.6912780359166,4451,all_possible
core_only_AB,stress,30,4601,3000.0,2999.653015606321,0.4136057378830689,0.47533144968485114,0.009563138448163443,0.009563138448163443,0.0010867202782003911,0.0010867202782003911,0.0,0.0,0.0,-82.77992849214843,-306.9225064492348,8.0,0.0039121930015214084,0.00021734405564007825,0.0,2894.4146080879036,2940.261769979776,3045.451985294133,3115.5644796783495,4601,all_possible
core_only_AB,stress,60,4571,3000.0,2998.777408910813,0.4462918398599869,0.49354626996280904,0.030627871362940276,0.030627871362940276,0.007000656311529206,0.007000656311529206,0.0,0.0,0.0,-120.55010560935261,-389.5040238184338,14.0,0.011376066506234959,0.0017501640778823015,0.0,2853.8543499979746,2922.352142060993,3067.743579843156,3153.4199380202967,4571,all_possible
core_only_AB,stress,90,4541,2984.660947032832,2994.5043817144424,0.42501651618586217,0.537767011671438,0.06364236952213169,0.06364236952213169,0.016736401673640166,0.016736401673640166,0.0,0.0,0.0,-153.0144594934277,-421.3156361849956,20.0,0.023563091829993395,0.004844747852895838,0.0,2828.468347021342,2898.453432925169,3081.834795083537,3183.6702973459714,4541,all_possible
core_only_AB,stress,180,4451,2969.460436925582,2985.5515017757402,0.4367557852168052,0.5454953942934172,0.15726802965625702,0.15726802965625702,0.050325769490002246,0.050325769490002246,0.0,0.0,0.0,-221.42001517355857,-480.38143112962734,35.0,0.05953718265558301,0.01617614019321501,0.0,2756.9937652593126,2825.6185415362374,3120.9444740480662,3234.249622995277,4451,all_possible
momentum_only_A,standard,30,4601,3000.0,3000.0171672501615,0.41295370571614864,0.4577265811780048,0.0010867202782003911,0.0010867202782003911,0.0,0.0,0.0,0.0,0.0,-51.698729641444515,-215.68469420670226,4.0,0.000869376222560313,0.0,0.0,2924.30230944708,2963.0076991107435,3031.691778703478,3082.3896230408473,4601,all_possible
momentum_only_A,standard,60,4571,3000.0,2999.9775829202663,0.4333843797856049,0.488952089258368,0.0010938525486764385,0.0010938525486764385,0.0,0.0,0.0,0.0,0.0,-83.9144805838323,-251.25314266144505,7.0,0.0006563115292058631,0.0,0.0,2890.6133741350172,2949.8289832921814,3047.440102721654,3108.2445015618537,4571,all_possible
momentum_only_A,standard,90,4541,3000.0,3001.695231924322,0.4538647874917419,0.4908610438229465,0.007267121779343757,0.007267121779343757,0.0008808632459810614,0.0008808632459810614,0.0,0.0,0.0,-111.23389772015162,-261.96312509481595,10.0,0.003743668795419511,0.0,0.0,2865.6204763033766,2935.8385824978523,3062.9324437260034,3134.0131867404193,4541,all_possible
momentum_only_A,standard,180,4451,2988.4201022914867,3011.5691683837404,0.4655133677825208,0.5162884745001123,0.07975735789710177,0.07975735789710177,0.012581442372500562,0.012581442372500562,0.0,0.0,0.0,-144.57447684635827,-292.5045021488804,18.0,0.029880925634688835,0.004942709503482363,0.0,2861.86031665092,2868.3267087999006,3110.3476542915673,3214.1850193697283,4451,all_possible
momentum_only_A,stress,30,4601,3000.0,2995.3373978384484,0.3768745924798957,0.49380569441425776,0.0010867202782003911,0.0010867202782003911,0.0,0.0,0.0,0.0,0.0,-54.21340088532861,-219.02557359662933,5.0,0.000869376222560313,0.0,0.0,2917.2267951732765,2956.275863847639,3027.4952054559453,3079.9956233565845,4601,all_possible
momentum_only_A,stress,60,4571,2994.5352856686627,2991.0431761833247,0.3907241303872238,0.5316123386567491,0.0010938525486764385,0.0010938525486764385,0.0,0.0,0.0,0.0,0.0,-89.49912872678215,-250.3443287712762,8.0,0.0006563115292058631,0.0,0.0,2867.9916311794414,2937.6004280513635,3036.361535464829,3100.359894623789,4571,all_possible
momentum_only_A,stress,90,4541,2984.0504292492733,2987.4280986628905,0.3827350803787712,0.5619907509359172,0.007267121779343757,0.007267121779343757,0.0,0.0,0.0,0.0,0.0,-118.13144604215267,-268.6124099475837,11.0,0.0030830213609337152,0.0,0.0,2863.494160023829,2912.6951267663667,3047.4334696930664,3124.0481413362318,4541,all_possible
momentum_only_A,stress,180,4451,2944.2852009309872,2981.2503908412064,0.380588631768142,0.6012132105144912,0.06672657829701191,0.06672657829701191,0.006515389800044934,0.006515389800044934,0.0,0.0,0.0,-152.38037521754995,-315.6972512593543,19.0,0.022916198607054593,0.0029206919793304874,0.0,2856.251009257604,2864.9871450081932,3070.573484849051,3191.2428184837563,4451,all_possible
no_cash_proxy_alpha_AB,standard,30,4601,3000.0,3015.612848218349,0.49315366224733753,0.3942621169311019,0.014127363616605085,0.014127363616605085,0.001738752445120626,0.001738752445120626,0.0,0.0,0.0,-83.73927540648947,-302.09738416209893,6.0,0.008693762225603129,0.00021734405564007825,0.0,2903.947915209366,2954.462914505294,3070.574569627357,3136.1972991223547,4601,all_possible
no_cash_proxy_alpha_AB,standard,60,4571,3017.0530302480383,3030.3778619861646,0.5464887333187486,0.39181798293590026,0.05469262743382192,0.05469262743382192,0.011376066506234959,0.011376066506234959,0.0,0.0,0.0,-125.26009818404373,-375.1242683585615,11.0,0.02559614963902866,0.0037190986654998905,0.0,2868.892783486316,2941.219913495651,3115.9688316512324,3201.822791502045,4571,all_possible
no_cash_proxy_alpha_AB,standard,90,4541,3024.793587110975,3042.106532502397,0.5582470821404977,0.4045364457168025,0.12618365998678704,0.12618365998678704,0.0336930191587756,0.0336930191587756,0.0,0.0,0.0,-155.69407607117682,-406.0204244096831,16.0,0.061440211407179035,0.012332085443734861,0.0,2846.111739860632,2928.36761411473,3151.364331769076,3253.0632175628775,4541,all_possible
no_cash_proxy_alpha_AB,standard,180,4451,3075.8797760602265,3077.4650160450906,0.6104246236800719,0.3718265558301505,0.2745450460570658,0.2745450460570658,0.14693327342170298,0.14693327342170298,0.0,0.0,0.0,-208.06854647000773,-475.32995524359694,28.0,0.1664794428218378,0.07414064255223546,0.0,2761.6356075124904,2910.99720677887,3222.8493752955856,3369.961218021431,4451,all_possible
no_cash_proxy_alpha_AB,stress,30,4601,3000.0,3011.0240952068425,0.4725059769615301,0.4149098022169094,0.013692675505324929,0.013692675505324929,0.0015214083894805478,0.0015214083894805478,0.0,0.0,0.0,-86.17929991322262,-306.9225064492348,6.0,0.008259074114322973,0.00021734405564007825,0.0,2897.15982227064,2948.7341194559526,3066.8081387782577,3132.0637618896603,4601,all_possible
no_cash_proxy_alpha_AB,stress,60,4571,3006.3415830845297,3021.8155174429517,0.52089258367972,0.4174141325749289,0.05206738131699847,0.05206738131699847,0.01028221395755852,0.01028221395755852,0.0,0.0,0.0,-128.03468825738082,-384.94433609113275,11.0,0.02340844454167578,0.0030627871362940277,0.0,2860.319773067284,2932.0603528675165,3107.1742741716494,3195.2815350291803,4571,all_possible
no_cash_proxy_alpha_AB,stress,90,4541,3007.781757227577,3029.2223787922862,0.5188284518828452,0.443955075974455,0.111208984805109,0.111208984805109,0.03523452983924246,0.03523452983924246,0.0,0.0,0.0,-158.6067606201177,-421.3156361849956,16.0,0.05307201057035895,0.010570358951772737,0.0,2832.7889088123625,2915.922882707423,3137.307369420499,3240.1670417419614,4541,all_possible
no_cash_proxy_alpha_AB,stress,180,4451,3039.447713202597,3052.340236691503,0.5621208717142215,0.4201303077960009,0.23859806784992135,0.23859806784992135,0.13390249382161312,0.13390249382161312,0.0,0.0,0.0,-212.40118180412264,-480.38143112962734,28.0,0.13794652886991687,0.05908784542799371,0.0,2755.272700870735,2899.434373592929,3195.857234483092,3344.416922494488,4451,all_possible
