rank_overall,rank_target_300,rank_target_400,rank_risk_control,lane,strategy,portfolio_id,portfolio_role,family_id,family_group,family_role,implementation_status,run_status,final_validation_completed,sampled_results_are_final,role,leverage_multiplier,exposure_multiplier,standard_or_stress,pct_90d_target_300_before_stop,pct_90d_target_400_before_stop,pct_90d_any_stop_hit,median_90d_stop_enforced_equity,worst_90d_max_drawdown,worst_stop_enforced_loss,pct_90d_stop_overshoot_gt_50,pct_90d_stop_overshoot_gt_100,average_exposure,target_300_gain_vs_1x,target_400_gain_vs_1x,stop_hit_increase_vs_1x,worst_drawdown_worsening_vs_1x,target_300_change_vs_spy_200d,target_400_change_vs_spy_200d,stop_hit_change_vs_spy_200d,worst_drawdown_change_vs_spy_200d,median_equity_change_vs_spy_200d,diversification_score,max_single_sleeve_weight,cash_weight,bond_weight,gold_weight,crypto_weight,diagnostic_score,family_comparison_score,stop_enforced_final_equity,stress_result_available,stress_degradation_pct,benchmark_relative_result,credibility_tier,audit_verdict,stop_enforced_metric_quality,benchmark_comparison_available,benchmark_comparison_notes,risk_framework_name,risk_band,risk_budget_used_pct,target_300_progress_pct,target_400_progress_pct,drawdown_warning_hit,drawdown_review_hit,hard_stop_hit,risk_framework_verdict,exposure_policy_status,instrument_risk_role,paper_forward_allowed_by_risk_framework,promotion_blockers,ranking_penalty_notes,reason
1,3,3,13,independent_family_challenge,SPY_200d_trend_model,,,family_broad_etf_spy200d_v1,broad_etf_trend,leading_practical_etf_candidate,implemented,completed,True,True,leading_practical_etf_candidate,1.0,1.0,standard,0.23805549760066763,0.0986855831420822,0.004590027122887545,3095.5867363347493,-661.4912486768249,-641.9013683895955,0.001043187982474442,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.1043187982474442,15.794112317574479,2966.663066194596,True,-0.021295588367675332,-33.33693380540399,tier3_candidate_validation,benchmark_candidate,exact,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",balanced_speculative_research_v1,hard_stop,1.1024854144613747,0.31862245444916426,0.2389668408368732,True,True,True,benchmark_candidate,paper_forward_eligible_if_candidate_validated,core,True,none,90d +300 before stop 23.8%; 90d stop hit 0.5%; 90d +400 before stop 9.9%; large recovery after stop warning; worst 90d drawdown beyond $600 (-661.49); independent family row family_id=family_broad_etf_spy200d_v1 group=broad_etf_trend run_status=completed; not a portfolio mix; no shared capital,90d +300 before stop 23.8%; 90d stop hit 0.5%; 90d +400 before stop 9.9%; large recovery after stop warning; worst 90d drawdown beyond $600 (-661.49); independent family row family_id=family_broad_etf_spy200d_v1 group=broad_etf_trend run_status=completed; not a portfolio mix; no shared capital
2,4,4,2,independent_family_challenge,IEF_buy_hold,,,family_bond_treasury_ief_v1,bond_treasury_etf,bond_defensive_benchmark,implemented_if_data_available,completed,True,True,bond_defensive_benchmark,1.0,1.0,standard,0.044439808053411224,0.006050490298351763,0.0,3036.7882722873073,-398.52784239373113,-347.31289283246133,0.0,0.0,,,,,,-0.19361568954725641,-0.09263509284373043,-0.004590027122887545,262.9634062830937,-58.79846404744194,0.0,,0.0,0.0,0.0,0.0,0.0,4.615526707006634,5662.46251372709,True,-0.0004984403642520677,2662.4625137270896,benchmark,too_slow,exact,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",balanced_speculative_research_v1,warning,0.6642130706562186,0.12262757429102446,0.09197068071826835,True,False,False,watchlist,paper_forward_eligible_if_candidate_validated,defensive_benchmark,False,none,90d +300 before stop 4.4%; 90d stop hit 0.0%; 90d +400 before stop 0.6%; independent family row family_id=family_bond_treasury_ief_v1 group=bond_treasury_etf run_status=completed; not a portfolio mix; no shared capital,90d +300 before stop 4.4%; 90d stop hit 0.0%; 90d +400 before stop 0.6%; independent family row family_id=family_bond_treasury_ief_v1 group=bond_treasury_etf run_status=completed; not a portfolio mix; no shared capital
3,5,5,1,independent_family_challenge,BIL_cash_proxy,,,family_cash_treasury_bil_v1,cash_treasury_proxy,defensive_benchmark,implemented,completed,True,True,defensive_benchmark,1.0,1.0,standard,0.0,0.0,0.0,3000.4623768570827,-24.674171298818692,-14.342627892100154,0.0,0.0,,,,,,-0.23805549760066763,-0.0986855831420822,-0.004590027122887545,636.8170773780062,-95.12435947766653,0.0,,0.0,0.0,0.0,0.0,0.0,-0.010005002501429383,3870.8587865925588,True,-0.0005002501250714692,870.8587865925588,benchmark,benchmark_only,exact,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",balanced_speculative_research_v1,normal,0.041123618831364485,0.001541256190275817,0.001155942142706863,False,False,False,benchmark_only,paper_forward_eligible_if_candidate_validated,defensive_benchmark,True,none,90d +300 before stop 0.0%; 90d stop hit 0.0%; independent family row family_id=family_cash_treasury_bil_v1 group=cash_treasury_proxy run_status=completed; not a portfolio mix; no shared capital,90d +300 before stop 0.0%; 90d stop hit 0.0%; independent family row family_id=family_cash_treasury_bil_v1 group=cash_treasury_proxy run_status=completed; not a portfolio mix; no shared capital
4,1,1,14,independent_family_challenge,GLD_buy_hold,,,family_gold_gld_v1,gold_commodity_etf,gold_defensive_benchmark,implemented_if_data_available,completed,True,True,gold_defensive_benchmark,1.0,1.0,standard,0.4185270185687461,0.2789484665136658,0.05174212393073232,3108.132345477207,-878.652881566878,-687.1035828668478,0.012309618193198415,0.0014604631754642186,,,,,,0.18047152096807845,0.18026288337158358,0.047152096807844775,-217.16163289005317,12.545609142457579,0.0,,0.0,0.0,0.0,0.0,-1.4646359273941165,-11.448631141308244,4131.341801422975,True,-0.0005053647311578894,1131.3418014229746,benchmark,watchlist,exact,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",balanced_speculative_research_v1,hard_stop,1.46442146927813,0.3604411515906895,0.2703308636930171,True,True,True,too_risky,paper_forward_eligible_if_candidate_validated,satellite,False,project_stop_hit,90d +300 before stop 41.9%; 90d stop hit 5.2%; 90d +400 before stop 27.9%; large recovery after stop warning; worst 90d drawdown beyond $600 (-878.65); independent family row family_id=family_gold_gld_v1 group=gold_commodity_etf run_status=completed; not a portfolio mix; no shared capital,90d +300 before stop 41.9%; 90d stop hit 5.2%; 90d +400 before stop 27.9%; large recovery after stop warning; worst 90d drawdown beyond $600 (-878.65); independent family row family_id=family_gold_gld_v1 group=gold_commodity_etf run_status=completed; not a portfolio mix; no shared capital
5,2,2,15,independent_family_challenge,SPY_buy_hold,,,family_broad_etf_spy_buy_hold_v1,broad_etf_buy_hold,aggressive_equity_benchmark,implemented,completed,True,True,aggressive_equity_benchmark,1.0,1.0,standard,0.3150427707072814,0.14959315668683495,0.06426037972042561,3152.5499343907036,-1329.5804799262269,-801.1575717527398,0.021489672438973505,0.008762779052785313,,,,,,0.0769872731066138,0.050907573544752754,0.05967035259753807,-668.089231249402,56.96319805595431,0.0,,0.0,0.0,0.0,0.0,-3.5510118923430007,-92.53904573213862,2752.9007161024706,True,-0.0004991904627668591,-247.0992838975294,benchmark,benchmark_candidate,exact,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",balanced_speculative_research_v1,hard_stop,2.2159674665437112,0.5084997813023453,0.381374835976759,True,True,True,benchmark_candidate,paper_forward_eligible_if_candidate_validated,core,False,project_stop_hit,90d +300 before stop 31.5%; 90d stop hit 6.4%; 90d +400 before stop 15.0%; large recovery after stop warning; worst 90d drawdown beyond $600 (-1329.58); independent family row family_id=family_broad_etf_spy_buy_hold_v1 group=broad_etf_buy_hold run_status=completed; not a portfolio mix; no shared capital,90d +300 before stop 31.5%; 90d stop hit 6.4%; 90d +400 before stop 15.0%; large recovery after stop warning; worst 90d drawdown beyond $600 (-1329.58); independent family row family_id=family_broad_etf_spy_buy_hold_v1 group=broad_etf_buy_hold run_status=completed; not a portfolio mix; no shared capital
6,6,6,3,independent_family_challenge,A_ETF_sector_momentum,,,family_etf_sector_momentum_A_v1,etf_sector_momentum,ETF momentum family reference,implemented_if_exact_stream_available,incomplete_evidence,False,False,ETF momentum family reference,1.0,1.0,standard,,,,,,,0.0,0.0,,,,,,-0.23805549760066763,-0.0986855831420822,-0.004590027122887545,,,0.0,,0.0,0.0,0.0,0.0,-6.0,-800.0,,False,,,tier2_credible_prototype,incomplete_evidence,unavailable,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",balanced_speculative_research_v1,normal,0.0,0.0,0.0,False,False,False,incomplete_evidence,paper_forward_eligible_if_candidate_validated,satellite,False,stop_enforced_metric_quality_unavailable;final_validation_completed_false,90d +300 before stop 0.0%; 90d stop hit 0.0%; unavailable stop-enforced metric penalty; unavailable cost-model penalty; independent family row family_id=family_etf_sector_momentum_A_v1 group=etf_sector_momentum run_status=incomplete_evidence; not a portfolio mix; no shared capital; unavailable/incomplete family evidence; finalist all_possible validation incomplete or unavailable,90d +300 before stop 0.0%; 90d stop hit 0.0%; unavailable stop-enforced metric penalty; unavailable cost-model penalty; independent family row family_id=family_etf_sector_momentum_A_v1 group=etf_sector_momentum run_status=incomplete_evidence; not a portfolio mix; no shared capital; unavailable/incomplete family evidence; finalist all_possible validation incomplete or unavailable
7,7,7,4,independent_family_challenge,current_no_cash_proxy_alpha_AB,,,family_etf_ab_no_cash_v1,etf_ab_strategy,custom ETF strategy family control,implemented_if_exact_stream_available,incomplete_evidence,False,False,custom ETF strategy family control,1.0,1.0,standard,,,,,,,0.0,0.0,,,,,,-0.23805549760066763,-0.0986855831420822,-0.004590027122887545,,,0.0,,0.0,0.0,0.0,0.0,-6.0,-800.0,,False,,,tier3_candidate_validation_if_exhaustive,incomplete_evidence,unavailable,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",balanced_speculative_research_v1,normal,0.0,0.0,0.0,False,False,False,incomplete_evidence,paper_forward_eligible_if_candidate_validated,defensive_benchmark,False,stop_enforced_metric_quality_unavailable;final_validation_completed_false,90d +300 before stop 0.0%; 90d stop hit 0.0%; unavailable stop-enforced metric penalty; unavailable cost-model penalty; independent family row family_id=family_etf_ab_no_cash_v1 group=etf_ab_strategy run_status=incomplete_evidence; not a portfolio mix; no shared capital; unavailable/incomplete family evidence; finalist all_possible validation incomplete or unavailable,90d +300 before stop 0.0%; 90d stop hit 0.0%; unavailable stop-enforced metric penalty; unavailable cost-model penalty; independent family row family_id=family_etf_ab_no_cash_v1 group=etf_ab_strategy run_status=incomplete_evidence; not a portfolio mix; no shared capital; unavailable/incomplete family evidence; finalist all_possible validation incomplete or unavailable
8,8,8,5,independent_family_challenge,family_individual_stock_momentum_v1,,,family_individual_stock_momentum_v1,individual_stock_momentum,blocked_research_family,blocked_by_gate,blocked_by_gate,False,False,blocked_research_family,1.0,1.0,standard,,,,,,,0.0,0.0,,,,,,-0.23805549760066763,-0.0986855831420822,-0.004590027122887545,,,0.0,,0.0,0.0,0.0,0.0,-6.0,-1000.0,,False,,,blocked,blocked_by_gate,unavailable,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",balanced_speculative_research_v1,normal,0.0,0.0,0.0,False,False,False,blocked_by_gate,paper_forward_eligible_if_candidate_validated,blocked_until_gate,False,stop_enforced_metric_quality_unavailable;final_validation_completed_false,90d +300 before stop 0.0%; 90d stop hit 0.0%; unavailable stop-enforced metric penalty; unavailable cost-model penalty; independent family row family_id=family_individual_stock_momentum_v1 group=individual_stock_momentum run_status=blocked_by_gate; not a portfolio mix; no shared capital; blocked reason Gate 1A continue_defer; no survivorship-free data/delisting treatment.; finalist all_possible validation incomplete or unavailable,90d +300 before stop 0.0%; 90d stop hit 0.0%; unavailable stop-enforced metric penalty; unavailable cost-model penalty; independent family row family_id=family_individual_stock_momentum_v1 group=individual_stock_momentum run_status=blocked_by_gate; not a portfolio mix; no shared capital; blocked reason Gate 1A continue_defer; no survivorship-free data/delisting treatment.; finalist all_possible validation incomplete or unavailable
9,9,9,6,independent_family_challenge,family_options_directional_v1,,,family_options_directional_v1,options_directional,blocked_research_family,blocked_by_gate,blocked_by_gate,False,False,blocked_research_family,1.0,1.0,standard,,,,,,,0.0,0.0,,,,,,-0.23805549760066763,-0.0986855831420822,-0.004590027122887545,,,0.0,,0.0,0.0,0.0,0.0,-6.0,-1000.0,,False,,,blocked,blocked_by_gate,unavailable,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",balanced_speculative_research_v1,normal,0.0,0.0,0.0,False,False,False,blocked_by_gate,paper_forward_eligible_if_candidate_validated,blocked_until_gate,False,stop_enforced_metric_quality_unavailable;final_validation_completed_false,"90d +300 before stop 0.0%; 90d stop hit 0.0%; unavailable stop-enforced metric penalty; unavailable cost-model penalty; independent family row family_id=family_options_directional_v1 group=options_directional run_status=blocked_by_gate; not a portfolio mix; no shared capital; blocked reason No option-chain, bid/ask, IV, Greeks, assignment/exercise, margin, or spread-fill model.; finalist all_possible validation incomplete or unavailable","90d +300 before stop 0.0%; 90d stop hit 0.0%; unavailable stop-enforced metric penalty; unavailable cost-model penalty; independent family row family_id=family_options_directional_v1 group=options_directional run_status=blocked_by_gate; not a portfolio mix; no shared capital; blocked reason No option-chain, bid/ask, IV, Greeks, assignment/exercise, margin, or spread-fill model.; finalist all_possible validation incomplete or unavailable"
10,10,10,7,independent_family_challenge,family_options_premium_v1,,,family_options_premium_v1,options_premium,blocked_research_family,blocked_by_gate,blocked_by_gate,False,False,blocked_research_family,1.0,1.0,standard,,,,,,,0.0,0.0,,,,,,-0.23805549760066763,-0.0986855831420822,-0.004590027122887545,,,0.0,,0.0,0.0,0.0,0.0,-6.0,-1000.0,,False,,,blocked,blocked_by_gate,unavailable,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",balanced_speculative_research_v1,normal,0.0,0.0,0.0,False,False,False,blocked_by_gate,paper_forward_eligible_if_candidate_validated,blocked_until_gate,False,stop_enforced_metric_quality_unavailable;final_validation_completed_false,"90d +300 before stop 0.0%; 90d stop hit 0.0%; unavailable stop-enforced metric penalty; unavailable cost-model penalty; independent family row family_id=family_options_premium_v1 group=options_premium run_status=blocked_by_gate; not a portfolio mix; no shared capital; blocked reason No option-chain, margin, assignment, tail-risk, or realistic fill model.; finalist all_possible validation incomplete or unavailable","90d +300 before stop 0.0%; 90d stop hit 0.0%; unavailable stop-enforced metric penalty; unavailable cost-model penalty; independent family row family_id=family_options_premium_v1 group=options_premium run_status=blocked_by_gate; not a portfolio mix; no shared capital; blocked reason No option-chain, margin, assignment, tail-risk, or realistic fill model.; finalist all_possible validation incomplete or unavailable"
