date,event_type,strategy,symbol,project_equity,high_water_mark,drawdown_dollars,drawdown_pct,daily_pnl,weekly_pnl,total_open_risk,cluster_open_risk,notes
2008-05-01,strategy_loss_budget_hit,D_mean_reversion,,2971.31838366496,3131.6123606970536,-160.2939770320936,-0.05118576585143331,0.0,0.0,30.0,0.0,Strategy P&L -76.75 breached max loss 60.00.
2008-09-18,gap_through_stop,A_ETF_sector_momentum,BIL,2790.8677034989273,3131.6123606970536,-340.74465719812633,-0.10880805730447474,0.0,0.0,84.00953644337022,84.00953644337022,Open was below stop; filled at open.
2008-09-19,gap_through_stop,C_swing_trend_pullback,TLT,2747.0098248375693,3131.6123606970536,-384.6025358594843,-0.12281294475855153,0.0,0.0,84.00953644337022,84.00953644337022,Open was below stop; filled at open.
2008-09-19,gap_through_stop,C_swing_trend_pullback,IEF,2745.834889074573,3131.6123606970536,-385.7774716224808,-0.12318813032677267,0.0,0.0,39.009536443370216,39.009536443370216,Open was below stop; filled at open.
2008-12-31,strategy_loss_budget_hit,C_swing_trend_pullback,,2701.142839449268,3131.6123606970536,-430.46952124778545,-0.137459388859983,0.0,0.0,45.743201190657935,0.0,Strategy P&L -151.34 breached max loss 150.00.
2009-06-08,gap_through_stop,E_breakout_vcb,GLD,2714.0857111273,3131.6123606970536,-417.5266495697538,-0.13332641511122978,0.0,0.0,49.766175499046376,11.460751526511727,Open was below stop; filled at open.
2009-10-02,strategy_loss_budget_hit,E_breakout_vcb,,2612.5675420583525,3131.6123606970536,-519.0448186387011,-0.16574363581933527,0.0,0.0,28.459025432944014,0.0,Strategy P&L -96.71 breached max loss 80.00.
2009-12-04,gap_through_stop,B_ETF_trend_following,SHY,2831.145619343127,3131.6123606970536,-300.46674135392686,-0.09594633905680683,0.0,0.0,0.0,0.0,Open was below stop; filled at open.
2010-09-03,gap_through_stop,A_ETF_sector_momentum,IEF,3143.075462570483,3213.124459738922,-70.04899716843875,-0.021800897551951803,0.0,0.0,0.0,0.0,Open was below stop; filled at open.
2010-10-19,gap_through_stop,A_ETF_sector_momentum,GLD,3250.724273475404,3301.3699319905795,-50.645658515175455,-0.015340800806481703,0.0,0.0,0.0,0.0,Open was below stop; filled at open.
2011-01-20,gap_through_stop,A_ETF_sector_momentum,XLB,3389.779301710434,3486.1742501769904,-96.39494846655634,-0.027650639798530552,0.0,0.0,7.084958167720444,7.084958167720444,Open was below stop; filled at open.
