experiment_id,display_name,standard_or_stress,run_status,stop_enforced_final_equity,max_drawdown_dollars,max_drawdown_pct,any_project_stop_hit,first_project_stop_date,target_300_before_stop,target_400_before_stop,target_600_before_stop,risk_framework_verdict,profit_verdict,accounting_integrity_status,profit_results_usable,integrity_error_count,integrity_notes,notes
SPY_200d_trend_model,SPY 200-Day Trend Model,standard,completed,2966.663066194596,-2031.3188369707868,0.14066911712497124,True,2010-06-22,True,True,False,watchlist,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","computed from cached adjusted SPY/BIL prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
SPY_200d_trend_model,SPY 200-Day Trend Model,stress,completed,2903.4862307113303,-2043.994597379662,0.157320017616912,True,2010-06-22,True,True,False,watchlist,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","computed from cached adjusted SPY/BIL prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
SPY_buy_hold,SPY Buy And Hold,standard,completed,2754.2749378848903,-3429.4133706207394,0.14978936060895717,True,2008-07-02,True,False,False,watchlist,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","computed from cached adjusted SPY prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
SPY_buy_hold,SPY Buy And Hold,stress,completed,2754.2749378848903,-3429.4133706207394,0.14978936060895717,True,2008-07-02,True,False,False,watchlist,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","computed from cached adjusted SPY prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
GLD_buy_hold,GLD Buy And Hold,standard,completed,4133.42963586178,-4588.631074911653,0.19209514099718233,True,2008-04-29,True,True,True,watchlist,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","computed from cached adjusted GLD prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
GLD_buy_hold,GLD Buy And Hold,stress,completed,4133.42963586178,-4588.631074911653,0.19209514099718233,True,2008-04-29,True,True,True,watchlist,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","computed from cached adjusted GLD prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
IEF_buy_hold,IEF Buy And Hold,standard,completed,5665.2849136049645,-1507.5980099562457,0.23924748301860485,True,2022-03-14,True,True,True,watchlist,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","computed from cached adjusted IEF prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
IEF_buy_hold,IEF Buy And Hold,stress,completed,5665.2849136049645,-1507.5980099562457,0.23924748301860485,True,2022-03-14,True,True,True,watchlist,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","computed from cached adjusted IEF prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
BIL_cash_proxy,BIL Cash Proxy,standard,completed,3870.8587865925588,-24.50801348259529,0.006331415025390067,False,,True,True,True,watchlist,watchlist,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","computed from cached adjusted BIL prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
BIL_cash_proxy,BIL Cash Proxy,stress,completed,3868.922389000432,-24.495753345813227,0.006331415025397268,False,,True,True,True,watchlist,watchlist,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","computed from cached adjusted BIL prices; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
A_ETF_sector_momentum,A ETF Sector Momentum,standard,incomplete_evidence,,,,,,,,,incomplete_evidence,incomplete_evidence,not_applicable,False,0,exact fresh-window stream is not exposed in compact profit exploration; no summary-metric approximation used,exact fresh-window stream is not exposed in compact profit exploration; no summary-metric approximation used
current_no_cash_proxy_alpha_AB,Current No-Cash-Proxy Alpha A/B,standard,incomplete_evidence,,,,,,,,,incomplete_evidence,incomplete_evidence,not_applicable,False,0,exact fresh-window stream is not exposed in compact profit exploration; no summary-metric approximation used,exact fresh-window stream is not exposed in compact profit exploration; no summary-metric approximation used
GLD_200d_trend_model_v1,GLD 200-Day Trend Model,standard,completed,3436.925401181297,-2301.349858266441,0.19339143044946247,True,2008-05-01,True,True,True,diagnostic_only,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","predeclared GLD 200-day trend model; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
GLD_200d_trend_model_v1,GLD 200-Day Trend Model,stress,completed,3431.8353686777223,-2509.8230016675,0.2449798082557984,True,2008-05-01,True,True,True,diagnostic_only,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","predeclared GLD 200-day trend model; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
IEF_200d_trend_model_v1,IEF 200-Day Trend Model,standard,completed,4063.5883580065115,-777.0784956998809,0.16576473108611073,True,2023-06-07,True,True,True,diagnostic_only,watchlist,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","predeclared IEF 200-day trend model; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
IEF_200d_trend_model_v1,IEF 200-Day Trend Model,stress,completed,3085.4998934269192,-919.4558145574028,0.2175570707807322,True,2010-04-14,True,True,True,diagnostic_only,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","predeclared IEF 200-day trend model; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
SPY_GLD_dual_momentum_v1,SPY GLD Dual Momentum,standard,completed,3178.702825215407,-3324.499482609241,0.21180339627214653,True,2008-08-11,True,True,True,diagnostic_only,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","predeclared SPY/GLD dual momentum; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
SPY_GLD_dual_momentum_v1,SPY GLD Dual Momentum,stress,completed,3174.0081525857345,-3281.5887427642765,0.2188055592951118,True,2008-08-11,True,True,True,diagnostic_only,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","predeclared SPY/GLD dual momentum; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
SPY_GLD_IEF_dual_momentum_v1,SPY GLD IEF Dual Momentum,standard,completed,3178.702825215407,-3014.183003771257,0.25928446530535393,True,2008-08-11,True,True,True,diagnostic_only,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","predeclared SPY/GLD/IEF dual momentum; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
SPY_GLD_IEF_dual_momentum_v1,SPY GLD IEF Dual Momentum,stress,completed,3174.0081525857345,-2929.5862642641373,0.2682821086118774,True,2008-08-11,True,True,True,diagnostic_only,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","predeclared SPY/GLD/IEF dual momentum; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
multi_asset_top2_momentum_v1,Multi-Asset Top 2 Momentum,standard,completed,6360.975144537808,-1739.7623933770938,0.12886265921346307,True,2018-12-20,True,True,True,diagnostic_only,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","predeclared multi-asset top-2 momentum; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
multi_asset_top2_momentum_v1,Multi-Asset Top 2 Momentum,stress,completed,6231.794840928152,-1679.0696885940379,0.12886265921346304,True,2018-12-20,True,True,True,diagnostic_only,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","predeclared multi-asset top-2 momentum; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
GLD_SPY_rotation_v1,GLD SPY Rotation,standard,completed,3178.702825215407,-3497.6446152194826,0.22655958360841483,True,2008-08-11,True,True,True,diagnostic_only,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","predeclared GLD/SPY rotation; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
GLD_SPY_rotation_v1,GLD SPY Rotation,stress,completed,3174.0081525857345,-3452.461510775647,0.2342843722273214,True,2008-08-11,True,True,True,diagnostic_only,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","predeclared GLD/SPY rotation; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
combo_SPY200d_GLD_50_50_v1,Combo SPY200d GLD 50/50,standard,completed,3053.1441467787595,-2537.967490208597,0.12672932196072342,True,2008-11-12,True,True,True,diagnostic_only,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","predeclared fixed monthly combination account using window-local sleeve returns; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
combo_SPY200d_GLD_50_50_v1,Combo SPY200d GLD 50/50,stress,completed,3031.11171605429,-2418.3831675161164,0.12717114541516225,True,2008-11-12,True,True,True,diagnostic_only,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","predeclared fixed monthly combination account using window-local sleeve returns; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
combo_SPY200d_GLD_BIL_60_30_10_v1,Combo SPY200d GLD BIL 60/30/10,standard,completed,6600.801831624302,-1482.384837630363,0.09496306191773365,True,2020-03-03,True,True,True,diagnostic_only,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","predeclared fixed monthly combination account using window-local sleeve returns; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
combo_SPY200d_GLD_BIL_60_30_10_v1,Combo SPY200d GLD BIL 60/30/10,stress,completed,6323.058480823645,-1401.052194738626,0.09551007829872417,True,2020-03-03,True,True,True,diagnostic_only,too_risky,passed,True,0,"all rolling windows rebased to $3,000; reference/combination checks passed where applicable","predeclared fixed monthly combination account using window-local sleeve returns; all rolling windows rebased to $3,000; reference/combination checks passed where applicable"
individual_stock_momentum,Individual Stock Momentum,standard,blocked_by_gate,,,,,,,,,blocked_by_gate,blocked_by_gate,not_applicable,False,0,Gate 1A continue_defer; no survivorship-free data/delisting treatment.,Gate 1A continue_defer; no survivorship-free data/delisting treatment.
options_directional,Options Directional,standard,blocked_by_gate,,,,,,,,,blocked_by_gate,blocked_by_gate,not_applicable,False,0,"No option-chain, bid/ask, IV, Greeks, assignment/exercise, margin, or spread-fill model.","No option-chain, bid/ask, IV, Greeks, assignment/exercise, margin, or spread-fill model."
options_premium,Options Premium,standard,blocked_by_gate,,,,,,,,,blocked_by_gate,blocked_by_gate,not_applicable,False,0,"No option-chain, margin, assignment, tail-risk, or realistic fill model.","No option-chain, margin, assignment, tail-risk, or realistic fill model."
futures_trend_following,Futures Trend Following,standard,blocked_by_gate,,,,,,,,,blocked_by_gate,blocked_by_gate,not_applicable,False,0,"No continuous contract, roll, margin, leverage, or gap model.","No continuous contract, roll, margin, leverage, or gap model."
forex_momentum_carry,Forex Momentum Carry,standard,blocked_by_gate,,,,,,,,,blocked_by_gate,blocked_by_gate,not_applicable,False,0,"No spread, financing, leverage, or broker execution model.","No spread, financing, leverage, or broker execution model."
intraday_orb,Intraday ORB,standard,blocked_by_gate,,,,,,,,,blocked_by_gate,blocked_by_gate,not_applicable,False,0,"Current daily bars cannot model intraday fills, spreads, queue, or stop behavior.","Current daily bars cannot model intraday fills, spreads, queue, or stop behavior."
volatility_products,Volatility Products,standard,blocked_by_gate,,,,,,,,,blocked_by_gate,blocked_by_gate,not_applicable,False,0,"No product mechanics, decay, roll-yield, path-dependency, or event-risk model.","No product mechanics, decay, roll-yield, path-dependency, or event-risk model."
event_news_momentum,Event News Momentum,standard,blocked_by_gate,,,,,,,,,blocked_by_gate,blocked_by_gate,not_applicable,False,0,No point-in-time event timestamps or reliable historical event data.,No point-in-time event timestamps or reliable historical event data.
